date,FL152000005.Q,LM152010005.Q,LM155035005.Q,LM155035015.Q,LM165035005.Q,LM165015205.Q,LM165013765.Q,LM155111005.Q,FL154090005.Q,LM153091003.Q,FL153020005.Q,FL153030005.Q,FL153034005.Q,LM154022005.Q,LM153061105.Q,LM153061705.Q,LM153062005.Q,LM153063005.Q,FL154023005.Q,FL153069005.Q,FL153065005.Q,FL163066223.Q,LM153064105.Q,LM153081115.Q,LM153064205.Q,FL153040005.Q,FL153050005.Q,FL163070005.Q,FL153090005.Q,FL154190005.Q,FL163162003.Q,FL154123005.Q,FL153165105.Q,FL153166000.Q,FL153168005.Q,FL153169005.Q,FL163165505.Q,FL163170005.Q,FL543077073.Q,FL152090005.Q,FL893131573.Q,FL154023205.Q,LM154023223.Q,FL154023213.Q,LM155012605.Q,LM155012665.Q,LM165012665.Q,LM165013665.Q,FA156012005.Q,FL152090006.Q,FL155035065.Q,FL155035066.Q
1945:Q4,837200,189327,134635,116049,18586,436,257,53999,647873,0,55449,50230,0,35908,23582,61,3869,8396,55818,43629,12189,0,144855,197385,1245,39560,61172,0,6251,30584,0,29442,18706,6800,290,3330,316,504,638,806616,ND,ND,ND,ND,107881,102946,4935,9756,ND,ND,97343,83.88094684142044
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,922658,220716,158074,133422,24652,590,292,61760,701942,0,60651,56568,0,32338,20976,93,3817,7452,58595,44884,13711,0,138515,234182,1298,43360,69381,0,7054,37441,0,36067,23100,9777,174,2602,414,671,703,885217,ND,ND,ND,ND,134947,129012,5935,13314,165324,535.443488474464,110322,82.68651346854342
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1030665,280815,206381,177473,28908,768,310,73356,749850,0,60519,60047,0,30079,18829,148,4458,6644,61966,46896,15070,0,136405,267380,1413,46510,77939,0,7592,46468,0,44913,28267,13298,156,2686,506,771,784,984197,ND,ND,ND,ND,161775,155026,6749,16169,174691,563.3929556914783,149206,84.07250680385185
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
