date,FL152000005.Q,FL152010005.Q,FL154090005.Q,FL154000025.Q,LM154022375.Q,LM154022005.Q,LM154022075.Q,LM544022053.Q,LM574022075.Q,LM344022025.Q,LM223064223.Q,LM654022055.Q,FL154023005.Q,LM153064475.Q,LM153064105.Q,LM153064175.Q,LM543064153.Q,LM573064175.Q,LM343064125.Q,LM223064213.Q,LM653064155.Q,FL153099475.Q,FL154190005.Q,FL152090005.Q,FL154022376.Q,FL154022386.Q,FL153064476.Q,FL153064486.Q
1945:Q4,837200,189327,647873,105679,36968,35908,1060,0,873,0,0,187,55818,145888,144855,1033,0,0,0,0,1033,303520,30584,806616,4.415669151892244,5.70605302587671,17.425696311167922,22.517979437326918
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,922658,220716,701942,117219,33482,32338,1144,0,925,0,0,219,58595,139559,138515,1044,0,0,0,0,1044,353087,37441,885217,3.628865167118852,4.769912531092949,15.125762913145566,19.8818536206559
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1030665,280815,749850,120566,31281,30079,1202,0,978,0,0,224,61966,137558,136405,1153,0,0,0,0,1153,398479,46468,984197,3.035031404712205,4.17163550502069,13.346531439832535,18.344740794719993
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1092127,313686,778441,120393,30677,29392,1285,0,1030,0,0,255,64759,136712,135486,1226,0,0,0,0,1226,425900,55109,1037018,2.808922569634363,3.940825639221984,12.517958807570917,17.56228297386693
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1142485,340071,802414,121208,29404,27990,1414,0,1095,0,0,319,66995,145165,142455,2710,0,0,0,0,2710,439642,63061,1079424,2.573687744151772,3.664441910052908,12.706073370282681,18.09103216816863
