date,FL192000005.A,LM192010005.A,LM155035015.A,LM155111005.A,FL194090005.A,FL193020005.A,FL193030205.A,FL193034005.A,LM194022005.A,LM193061005.A,LM193063005.A,FL194023005.A,FL193069005.A,FL193065005.A,LM193064005.A,LM152090205.A,FL153040005.A,FL153050005.A,FL193090005.A,FL194190005.A,FL194123005.A,FL153165105.A,FL153166000.A,FL193168005.A,FL193169005.A,FL543077073.A,FL192090005.A,FL152090005.A,FL152000005.A,FL192000005.A,FL162000005.A,FL163093005.A,FL153069803.A,FL154190005.A,FL194190005.A,FL164190005.A,FL163193005.A
1945,ND,170048,116049,53999,ND,ND,ND,0,ND,ND,ND,55818,43629,12189,ND,197385,39560,61172,6251,ND,ND,18706,6800,ND,3330,638,ND,806616,837200,ND,ND,ND,0,30584,ND,ND,ND
1946,ND,195182,133422,61760,ND,ND,ND,0,ND,ND,ND,58595,44884,13711,ND,234182,43360,69381,7054,ND,ND,23100,9777,ND,2602,703,ND,885217,922658,ND,ND,ND,0,37441,ND,ND,ND
1947,ND,250829,177473,73356,ND,ND,ND,0,ND,ND,ND,61966,46896,15070,ND,267380,46510,77939,7592,ND,ND,28267,13298,ND,2686,784,ND,984197,1030665,ND,ND,ND,0,46468,ND,ND,ND
1948,ND,282399,199326,83073,ND,ND,ND,0,ND,ND,ND,64759,48491,16268,ND,283079,49353,86476,7987,ND,ND,33422,16332,ND,2787,835,ND,1037018,1092127,ND,ND,ND,0,55109,ND,ND,ND
1949,ND,308317,216535,91782,ND,ND,ND,0,ND,ND,ND,66995,50002,16993,ND,284821,52104,95413,8357,ND,ND,37406,19374,ND,3350,904,ND,1079424,1142485,ND,ND,ND,0,63061,ND,ND,ND
1950,ND,350795,243315,107480,ND,ND,ND,0,ND,ND,ND,68212,50523,17689,ND,301715,55049,104563,8692,ND,ND,45250,23947,ND,4063,1007,ND,1171443,1248246,ND,ND,ND,0,76803,ND,ND,ND
1951,ND,390885,270874,120011,ND,ND,ND,0,ND,ND,ND,68597,49974,18623,ND,328507,57777,118836,9276,ND,ND,51792,25350,ND,4186,1086,ND,1280523,1366090,ND,ND,ND,0,85567,ND,ND,ND
1952,ND,421752,294752,127000,ND,ND,ND,0,ND,ND,ND,69176,49887,19289,ND,330661,60665,135222,10648,ND,ND,58416,30522,ND,4404,1162,ND,1337837,1435727,ND,ND,ND,0,97890,ND,ND,ND
1953,ND,450180,315055,135125,ND,ND,ND,0,ND,ND,ND,70364,50079,20285,ND,330215,63647,152448,11293,ND,ND,65938,34614,ND,4996,1254,ND,1385827,1496451,ND,ND,ND,0,110624,ND,ND,ND
1954,ND,476272,337554,138718,ND,ND,ND,0,ND,ND,ND,72409,50986,21423,ND,333825,66349,169529,11668,ND,ND,75356,35963,ND,6047,1341,ND,1483715,1606807,ND,ND,ND,0,123092,ND,ND,ND
1955,ND,515482,367383,148099,ND,ND,ND,0,ND,ND,ND,73853,51128,22725,ND,343803,69254,187850,12173,ND,ND,87936,42949,ND,6713,1482,ND,1600329,1744755,ND,ND,ND,0,144426,ND,ND,ND
1956,ND,553335,394263,159072,ND,ND,ND,0,ND,ND,ND,75344,51017,24327,ND,360826,72724,207371,12548,ND,ND,98745,46580,ND,7034,1669,ND,1710248,1869847,ND,ND,ND,0,159599,ND,ND,ND
1957,ND,585659,417162,168497,ND,ND,ND,0,ND,ND,ND,75453,49170,26283,ND,373179,75462,237957,12911,ND,ND,107374,49217,ND,7160,1843,ND,1775598,1947673,ND,ND,ND,0,172075,ND,ND,ND
1958,ND,611043,438440,172603,ND,ND,ND,0,ND,ND,ND,77911,49024,28887,ND,387266,78535,261505,13242,ND,ND,117177,49490,ND,8591,1969,ND,1920677,2104823,ND,ND,ND,0,184146,ND,ND,ND
1959,ND,643863,463647,180216,ND,ND,ND,0,ND,ND,ND,76515,45714,30801,ND,388616,81956,282450,13801,ND,ND,130099,57213,ND,9206,2187,ND,2015682,2222380,ND,ND,ND,0,206698,ND,ND,ND
1960,ND,672316,486897,185419,ND,ND,ND,0,ND,ND,ND,79315,45740,33575,ND,398553,85184,307270,14332,ND,ND,141378,61248,ND,9901,2379,ND,2090654,2315199,ND,ND,ND,0,224545,ND,ND,ND
1961,ND,699429,511054,188375,ND,ND,ND,0,ND,ND,ND,82589,45755,36834,ND,415778,88631,331988,14966,ND,ND,154027,63435,ND,11700,2512,ND,2256313,2499221,ND,ND,ND,0,242908,ND,ND,ND
1962,ND,727871,533162,194709,ND,ND,ND,0,ND,ND,ND,85161,46155,39006,ND,432848,92398,346726,15545,ND,ND,168307,69344,ND,12308,2667,ND,2318799,2583843,ND,ND,ND,0,265044,ND,ND,ND
1963,ND,758092,553248,204844,ND,ND,ND,0,ND,ND,ND,87856,47328,40528,ND,438464,96635,371995,16178,ND,ND,185106,77870,ND,14502,2853,ND,2422267,2716266,ND,ND,ND,0,293999,ND,ND,ND
1964,ND,795228,579830,215398,ND,ND,ND,0,ND,ND,ND,90360,48262,42098,ND,458149,101051,401472,17163,ND,ND,202335,87352,ND,14765,3039,ND,2603783,2927146,ND,ND,ND,0,323363,ND,ND,ND
1965,ND,833461,605593,227868,ND,ND,ND,0,ND,ND,ND,92289,49678,42611,ND,485039,105876,435522,18540,ND,ND,219449,97489,ND,15956,3303,ND,2802741,3155520,ND,ND,ND,0,352779,ND,ND,ND
1966,ND,898496,648979,249517,ND,ND,ND,0,ND,ND,ND,95730,51113,44617,ND,518534,110568,475291,19863,ND,ND,232742,103422,ND,17891,3659,ND,2902033,3278048,ND,ND,ND,0,376015,ND,ND,ND
1967,ND,957611,685689,271922,ND,ND,ND,0,ND,ND,ND,100037,53430,46607,ND,543199,115533,519848,21624,ND,ND,245974,108567,ND,22426,3947,ND,3203659,3614513,ND,ND,ND,0,410854,ND,ND,ND
1968,ND,1070223,768164,302059,ND,ND,ND,0,ND,ND,ND,105878,56796,49082,ND,588296,120321,576138,23517,ND,ND,262934,119324,ND,27320,4302,ND,3595301,4031431,ND,ND,ND,0,436130,ND,ND,ND
1969,ND,1162152,832441,329711,ND,ND,ND,0,ND,ND,ND,103989,54752,49237,ND,623254,125359,638481,25752,ND,ND,278689,129231,ND,26775,4688,ND,3659919,4123681,ND,ND,ND,0,463762,ND,ND,ND
1970,ND,1228726,874469,354257,ND,ND,ND,0,ND,ND,ND,105936,55828,50108,ND,654573,130699,715874,28452,ND,ND,286015,133660,ND,28088,5118,ND,3875205,4353923,ND,ND,ND,0,478718,ND,ND,ND
1971,ND,1335131,957235,377896,ND,ND,ND,0,ND,ND,ND,105466,58125,47341,ND,720883,137050,804816,30995,ND,ND,309454,149243,ND,32037,5436,ND,4294012,4818070,ND,ND,ND,0,524058,ND,ND,ND
1972,ND,1508132,1098624,409508,ND,ND,ND,0,ND,ND,ND,108660,60400,48260,ND,802058,143924,910634,33898,ND,ND,343552,168757,ND,37093,5976,ND,4889374,5474765,ND,ND,ND,0,585391,ND,ND,ND
1973,ND,1705442,1251410,454032,ND,ND,ND,0,ND,ND,ND,111158,63927,47231,ND,938099,151271,968997,36934,ND,ND,382218,192980,ND,35323,6376,ND,5100633,5752560,ND,ND,ND,0,651927,ND,ND,ND
1974,ND,1786812,1261141,525671,ND,ND,ND,2379,ND,ND,ND,142474,91880,50594,ND,1051038,158390,1059952,39837,ND,ND,419339,201926,ND,36967,7086,ND,5212660,5921236,ND,ND,ND,0,708576,ND,ND,ND
1975,ND,1991654,1413658,577996,ND,ND,ND,3645,ND,ND,ND,146407,95926,50481,ND,1149591,168615,1181733,43806,ND,ND,459087,206996,ND,40149,7744,ND,5862060,6627791,ND,ND,ND,0,765731,ND,ND,ND
1976,ND,2225498,1589977,635521,ND,ND,ND,3099,ND,ND,ND,156853,104014,52839,ND,1279516,177810,1268575,49675,ND,ND,517073,228961,ND,45896,8375,ND,6523244,7378551,ND,ND,ND,0,855307,ND,ND,ND
1977,ND,2591922,1886806,705116,ND,ND,ND,3197,ND,ND,ND,161926,106548,55378,ND,1443282,187791,1381895,57037,ND,ND,602997,264892,ND,49728,9284,ND,7109888,8096726,ND,ND,ND,0,986838,ND,ND,ND
1978,ND,3005975,2210877,795098,ND,ND,ND,8928,ND,ND,ND,186139,123694,62445,ND,1675017,199349,1521371,64095,ND,ND,708641,311305,ND,55754,10349,ND,7959621,9109819,ND,ND,ND,0,1150198,ND,ND,ND
1979,ND,3498847,2603271,895576,ND,ND,ND,39459,ND,ND,ND,197359,125748,71611,ND,1944220,210280,1683912,71830,ND,ND,826724,354616,ND,61871,11692,ND,9105753,10426924,ND,ND,ND,0,1321171,ND,ND,ND
1980,ND,3934030,2943161,990869,ND,ND,ND,64366,ND,ND,ND,206057,118802,87255,ND,2187652,220528,1883717,78906,ND,ND,926526,358044,ND,76832,12939,ND,10365437,11812320,ND,ND,ND,0,1446883,ND,ND,ND
1981,ND,4353739,3292960,1060779,ND,ND,ND,154610,ND,ND,ND,207001,105594,101407,ND,2345339,230103,2083971,86791,ND,ND,998261,377882,ND,83987,14722,ND,11265151,12821146,ND,ND,ND,0,1555995,ND,ND,ND
1982,ND,4549797,3447373,1102424,ND,ND,ND,186712,ND,ND,ND,217282,106394,110888,ND,2388484,237912,2330979,95310,ND,ND,1031175,396718,ND,92616,15515,ND,12090411,13719363,ND,ND,ND,0,1628952,ND,ND,ND
1983,ND,4814558,3639466,1175092,ND,ND,ND,149944,ND,ND,ND,215849,104536,111313,ND,2446925,246680,2614218,111538,ND,ND,1116384,444878,ND,102820,16099,ND,12990759,14784411,ND,ND,ND,0,1793652,ND,ND,ND
1984,ND,5478973,4209390,1269583,ND,ND,ND,194318,ND,ND,ND,214585,111576,103009,ND,2445060,252717,2895856,114184,ND,ND,1243294,526584,ND,101474,15108,ND,14074561,16088408,ND,ND,ND,0,2013847,ND,ND,ND
1985,ND,6228969,4851839,1377130,ND,ND,ND,204559,ND,ND,ND,253306,137132,116174,ND,2508612,264250,3184150,145234,ND,ND,1450249,610574,ND,122698,15209,ND,15521495,17890656,ND,ND,ND,0,2369161,ND,ND,ND
1986,ND,6893303,5370919,1522384,ND,ND,ND,245010,ND,ND,ND,269635,157033,112602,ND,2626878,282494,3496174,165650,ND,ND,1649024,666355,ND,132153,13885,ND,17151952,19784550,ND,ND,ND,0,2632598,ND,ND,ND
1987,20105609,7538819,5886157,1652662,12566790,434694,2286721,270671,837516,723474,114042,265821,148474,117347,1428315,2733333,313725,3800959,195035,2679839,2664432,1829012,698640,4569,132211,15407,17425770,18419389,21296658,20105609,1339942,148893,0,2877269,2679839,305842,108412
