date,FL102000005.Q,LM102010005.Q,LM105035005.Q,LM105015205.Q,LM105013765.Q,LM105020015.Q,FL104090005.Q,FL103091003.Q,FL103020005.Q,FL103030003.Q,FL103034000.Q,FL102051003.Q,LM104022005.Q,FL103069100.Q,LM103061103.Q,LM103061703.Q,LM103062003.Q,LM123063003.Q,FL104023005.Q,FL103065005.Q,FL103066005.Q,LM103092305.Q,LM103064103.Q,LM103092105.Q,FL103092405.Q,LM103064203.Q,FL103070005.Q,FL103090005.Q,FL104194005.Q,FL104190005.Q,FL104122005.Q,FL103169100.Q,FL103162000.Q,FL103163005.Q,FL104123005.Q,FL103168005.Q,FL103169005.Q,FL103165005.Q,LM103192305.Q,FL103170005.Q,FL103178005.Q,FL103190005.Q,LM103181105.Q,LM103164105.Q,LM103192105.Q,FL102090005.Q,FL103164106.Q,FL104104016.Q,FL104104006.Q,FL102000115.Q,FL102010115.Q,FL105035045.Q,FL105013213.Q,FL105013715.Q,FL105020000.Q,FL102090115.Q,FL105012613.Q,FL105013613.Q
1945:Q4,286179,217410,142811,32465,5846,36287,68769,33,18959,900,0,0,18760,0,18508,0,252,0,2799,5,2794,272,0,6718,4,0,19821,503,191945,87067,24000,95,0,23905,20653,8912,3199,8541,309,13697,10105,18303,104878,103694,1184,199112,52.67297854848334,42.5758233095208,22.42595427866406,193287,124518,66607,26915,4744,26252,106220,1111,57996
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,311970,245036,159407,39279,6662,39688,66934,68,19502,900,0,0,13124,32,12779,0,313,0,3331,10,3321,271,0,6700,3,0,22579,456,197852,99374,24995,137,0,24858,24894,12505,3054,9335,305,20041,8147,20992,98478,97302,1176,212596,46.32160103627084,50.6605269726973,23.466767187165217,210700,143766,70289,30556,5393,37528,111326,1129,60884
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,362919,286870,187736,47266,7773,44094,76049,51,21434,900,0,0,12770,129,12291,0,350,0,4135,16,4119,314,0,7774,2,0,27554,1115,210858,114495,27843,172,0,27671,28937,15574,2869,10495,324,23392,10333,23666,96363,95116,1247,248424,38.78977545456985,58.92290321956326,22.8560618501821,237471,161422,74259,36479,6083,44601,122976,1168,64389
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,396728,314663,199450,57163,8356,49694,82065,10,21861,900,0,0,13485,180,12853,0,452,0,4935,30,4905,362,0,8959,2,0,29600,1951,221045,125518,32137,166,0,31971,30674,16181,2958,11535,359,24980,11108,26260,95527,94141,1386,271210,35.22251573049239,65.75203974896816,23.15952254369992,259240,177175,79137,42472,6702,48864,133722,1230,68933
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,406604,320222,203936,59285,8555,48446,86382,10,22903,900,0,0,15447,265,14697,0,485,0,5501,24,5477,404,0,9963,2,0,28640,2612,232400,127079,35036,162,0,34874,29358,14287,2891,12181,389,24718,8806,28772,105321,103822,1499,279525,37.678607802770145,61.14059313720994,23.03692429645673,268712,182330,83375,46472,7145,45338,141633,1295,73062
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,453834,350201,220715,68488,9455,51544,103633,57,24222,900,0,0,18665,143,17870,0,652,0,6614,23,6591,443,0,10976,2,0,38583,3171,280130,151601,36705,207,0,36498,33734,17974,3126,12634,480,32694,16061,31927,128529,126681,1848,302233,42.526410031329405,54.80394412871845,23.306149993519487,305581,201948,88258,50875,7719,55096,153980,1376,77569
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
