date,FA386000105.Q,FA385090005.Q,FA385050005.Q,FA155111003.Q,FA385012005.Q,FA385013005.Q,FA145020005.Q,FA385420005.Q,FA385000005.Q,FA384090005.Q,FA313011005.Q,FA383091005.Q,FA383020005.Q,FA383030005.Q,FA383034005.Q,FA382051005.Q,FA384022005.Q,FA383069105.Q,FA383061105.Q,FA383061705.Q,FA383062005.Q,FA383063005.Q,FA384023005.Q,FA383069005.Q,FA383065005.Q,FA383066005.Q,FA103092305.Q,FA383064105.Q,FA103092105.Q,FA383094905.Q,FA383064205.Q,FA153040005.Q,FA153050005.Q,FA383070005.Q,FA383078005.Q,FA383090005.Q,FA384194005.Q,FA384190005.Q,FA313111303.Q,FA713014003.Q,FA313112003.Q,FA384122005.Q,FA103169100.Q,FA313161105.Q,FA313161705.Q,FA383162005.Q,FA103163005.Q,FA384123005.Q,FA383168005.Q,FA383169005.Q,FA383165005.Q,FA153166000.Q,FA143192305.Q,FA313140003.Q,FA383170005.Q,FA143178005.Q,FA383190005.Q,FA143181105.Q,FA103164105.Q,FA143192105.Q,FA112090205.Q,FA387005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,55865,57102,53159,15862,8332,22954,6011,0,3943,8664,-89,35,-15499,6533,0,0,-9963,32,-8687,-68,-296,-944,5387,3564,1206,617,16,900,195,760,185,3800,6705,3086,5813,800,4722,3169,0,0,126,-23601,42,-24462,-203,69,953,14361,4367,838,6179,2977,-4,1165,6142,-1958,6938,1552,1018,-8,542,-1237
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,68343,78545,62644,20447,12426,30321,-550,0,15901,42547,1401,-17,2166,3629,0,0,-1938,97,-1924,58,639,-808,8278,6071,1297,910,16,991,711,305,163,3150,7057,5397,9669,1569,26646,25491,0,0,-28,-4857,35,-9279,-37,1611,2813,17578,3702,3189,7166,3521,-27,605,3669,2186,6365,1155,1093,28,34,-10202
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,82545,88949,81069,22947,15982,36482,5658,0,7880,36464,399,-41,-757,2478,0,0,632,51,100,144,293,44,5131,2912,1312,907,10,833,685,4765,148,2843,7357,2202,8415,1364,28584,22758,0,0,-5,-1682,-6,-8157,847,1334,4300,14117,702,3011,7370,3034,-37,213,2942,775,6435,5826,1000,66,4760,-6404
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,72467,79108,74843,25176,15184,37175,-2692,0,4265,26716,149,0,-280,2811,0,0,939,85,1886,-66,-559,-407,3804,2251,917,636,14,530,617,1327,275,2751,7904,-934,5434,1376,22452,19829,0,0,-19,4999,-4,1025,89,986,2903,10334,-2010,3191,6111,3042,-17,84,192,-2302,6558,2623,1212,63,1348,-6641
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,93641,99074,97842,30690,21104,40278,5770,0,1232,58114,-284,47,4340,2474,0,0,4465,-122,2674,-8,2192,-271,3518,909,1314,1295,6,648,579,1990,211,2945,8430,11899,15798,1048,56883,53418,0,0,-10,4763,45,-809,-622,4525,1624,22160,4740,2418,10429,4573,-69,309,10512,7255,8499,3464,1288,149,2027,-5433
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,107504,105221,111321,29961,19315,52135,9910,0,-6100,56729,37,34,7105,5210,0,0,1543,-53,660,163,496,277,2508,141,1634,733,-2,1354,467,1566,266,2728,13803,4402,13956,1752,62828,58999,0,0,24,5504,62,170,-137,2115,3294,17468,5254,1346,9465,1403,-22,173,1716,4476,29661,3829,2107,105,1617,2283
1952:Q1,108463,102250,110253,28967,18949,57605,4732,0,-8003,64483,12,-28,15340,6076,0,320,7796,8,2056,-268,6612,-612,2914,128,2068,718,60,1008,1452,5500,524,2672,16036,8114,4712,-8025,72487,64699,0,0,60,23384,80,10780,-308,8508,4324,11634,772,-40,8516,2386,48,60,5114,384,24015,7788,2292,0,5496,6213
1952:Q2,102552,94965,105519,29185,19449,58408,-1523,0,-10554,51797,116,72,-1068,7892,0,348,17112,1508,2896,3136,8688,884,3086,600,944,1542,92,572,2244,-79,512,2832,15460,-1646,2532,1720,62351,59830,0,0,28,20952,156,2188,2228,10500,5880,17142,168,1652,8940,6382,60,80,-9024,-2552,33144,2521,2656,-48,-87,7587
1952:Q3,104303,145764,108950,27735,19432,56209,5574,0,36814,80143,32,-16,12084,6956,0,2048,4128,-88,820,1460,2836,-900,3750,1440,772,1538,44,412,1148,1627,524,2956,15556,9826,7836,11232,43329,40302,0,0,36,13220,28,1864,2600,4220,4508,19066,1520,3988,9016,4542,36,32,8664,-5772,5020,3027,1560,-156,1623,-41461
1952:Q4,111151,159705,116854,31741,20308,59531,5274,0,42851,46845,-456,-92,-5764,9604,0,-1728,-216,-1008,2512,-3996,2808,-532,4294,1544,1548,1202,-72,468,-1728,2793,460,3092,15876,6874,8776,4664,3994,-2083,0,0,24,10152,-16,4736,-2996,4320,4108,22094,1708,3652,9356,7378,-48,0,3272,-4684,-32893,6077,2772,516,2789,-48554
