date,FA146110005.Q,FA146000105.Q,FA145090005.Q,FA145050005.Q,FA145019005.Q,FA145012005.Q,FA145013005.Q,FA145020005.Q,FA105420005.Q,FA145000005.Q,FA144090005.Q,FA103091003.Q,FA143020005.Q,FA143030005.Q,FA143034005.Q,FA102051003.Q,FA144022005.Q,FA103069100.Q,FA143061105.Q,FA103061703.Q,FA143062005.Q,FA123063003.Q,FA144023005.Q,FA143065005.Q,FA143066005.Q,FA103092305.Q,FA103064103.Q,FA103092105.Q,FA143092405.Q,FA103064203.Q,FA143070005.Q,FA143090005.Q,FA144194005.Q,FA144190005.Q,FA104122005.Q,FA103169100.Q,FA103162000.Q,FA103163005.Q,FA144123005.Q,FA143168005.Q,FA143169005.Q,FA143165005.Q,FA143192305.Q,FA143170005.Q,FA143178005.Q,FA143190005.Q,FA143181105.Q,FA103164105.Q,FA143192105.Q,FA112090205.Q,FA107005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,62239,14019,8196,25128,19187,1161,18026,6011,-70,-16932,290,35,1147,0,0,0,-5636,32,-5729,0,61,0,622,5,617,16,0,195,-39,0,3763,187,17222,15669,995,42,0,953,6171,4483,1,1687,-4,7842,-1958,2623,1552,1018,-8,542,5823
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,68293,20027,15827,25280,25920,1815,24105,-550,-90,-9453,9539,-17,2082,0,0,0,-354,97,-488,0,37,0,916,6,910,16,0,711,-20,0,5286,919,18992,17837,2848,35,0,2813,5805,3720,178,1907,-27,4367,2186,2658,1155,1093,28,34,4200
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
