date,FA516000105.Q,FA515013005.Q,FA514090005.Q,FA513020005.Q,FA513034005.Q,FA512051005.Q,FA514022005.Q,FA513069105.Q,FA513061105.Q,FA513061705.Q,FA513062005.Q,FA513063005.Q,FA513065505.Q,FA513092305.Q,FA513064105.Q,FA513092103.Q,FA513092403.Q,FA513064205.Q,FA513070005.Q,FA513090005.Q,FA513076005.Q,FA513094703.Q,FA513093005.Q,FA514194005.Q,FA514190005.Q,FA512151003.Q,FA513169333.Q,FA513192305.Q,FA513170005.Q,FA513178005.Q,FA513190005.Q,FA513194703.Q,FA513176005.Q,FA513193005.Q,FA513181105.Q,FA513164105.Q,FA513192103.Q,FA513194603.Q,FA517005005.Q,FA513200003.Q,FA513176015.Q,FA513176025.Q,FA263176005.Q,FA263076005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,132,32,868,189,0,0,594,0,594,0,-12,12,5,-1,-41,5,0,0,117,0,0,0,0,709,708,0,0,1,0,-10,717,0,716,1,1,0,1,0,-59,0,716,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,48,40,1060,182,0,0,732,0,591,0,78,63,8,3,34,1,0,0,100,0,0,0,0,829,836,0,0,9,0,10,817,0,824,-7,-7,0,-7,0,-223,0,824,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
