date,FA574090045.Q,FA573020043.Q,FA573030043.Q,FA573034043.Q,FA572051043.Q,FA574022045.Q,FA573069143.Q,FA573061143.Q,FA573061743.Q,FA573063043.Q,FA573065043.Q,FA573064143.Q,FA573064243.Q,FA573090045.Q,FA573095405.Q,FA573074043.Q,FA573073005.Q,FA573093043.Q,FA574190043.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,1382,20,0,0,0,197,0,37,0,160,22,0,0,1143,0,0,1179,-36,1383
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1345,30,0,0,0,198,0,38,0,160,20,0,0,1097,0,0,1017,80,1344
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1192,30,0,0,0,197,0,37,0,160,20,0,0,945,0,0,865,80,1192
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1123,43,0,0,0,235,0,75,0,160,20,0,0,825,0,0,771,54,1123
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,885,60,0,0,0,216,0,34,0,182,20,0,0,589,0,0,844,-255,886
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,4389,65,0,0,0,599,0,75,0,524,18,0,0,3707,0,0,3695,12,4390
1952:Q1,4223,4,780,0,332,768,0,124,0,644,24,360,0,1955,0,556,1139,260,4224
1952:Q2,4247,-36,28,0,12,780,0,-12,0,792,28,376,0,3059,0,24,2991,44,4248
1952:Q3,4204,-36,32,0,16,888,0,-44,0,932,32,392,0,2880,0,24,2816,40,4204
1952:Q4,4164,-8,32,0,12,1072,0,32,0,1040,32,404,0,2620,0,36,2560,24,4164
1953:Q1,4662,36,32,0,4,1112,0,104,0,1008,40,408,0,3030,0,28,2986,16,4664
1953:Q2,4842,72,36,0,8,1080,0,160,0,920,44,416,0,3186,0,32,3154,0,4844
1953:Q3,5015,76,36,0,0,988,0,160,0,828,44,440,0,3431,0,28,3403,0,5016
1953:Q4,5191,40,36,0,4,868,0,48,56,764,44,480,0,3719,0,36,3683,0,5192
1954:Q1,4299,8,40,0,8,884,0,48,-4,840,44,524,0,2791,0,32,2751,8,4300
1954:Q2,4047,-20,40,0,8,936,0,-24,0,960,40,568,0,2475,0,24,2443,8,4048
1954:Q3,3787,-20,44,0,8,1064,0,8,-24,1080,44,588,0,2059,0,32,2011,16,3788
1954:Q4,3539,-4,44,0,12,1232,0,84,-4,1152,56,584,0,1615,0,44,1543,28,3540
1955:Q1,3827,40,44,0,20,1184,0,180,4,1000,68,572,0,1899,0,52,1795,52,3832
1955:Q2,3795,72,48,0,28,1140,0,312,8,820,76,564,0,1867,0,88,1723,56,3800
1955:Q3,3760,76,48,0,28,944,0,292,4,648,88,584,0,1992,0,84,1836,72,3764
1955:Q4,3724,44,52,0,28,684,0,108,20,556,100,644,0,2172,0,60,2028,84,3728
1956:Q1,4169,16,52,0,32,788,0,-68,52,804,112,692,0,2477,0,64,2325,88,4172
1956:Q2,4325,-8,52,0,40,968,0,-164,0,1132,128,732,0,2413,0,24,2269,120,4328
1956:Q3,4477,-12,60,0,32,1276,0,-232,24,1484,136,776,0,2209,0,28,2065,116,4480
