date,FA344090045.Q,FA343020033.Q,FA344022045.Q,FA343061165.Q,FA343061733.Q,FA343062033.Q,FA343063033.Q,FA343069245.Q,FA343064135.Q,FA343073045.Q,FA344190045.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,4047,0,0,0,0,0,0,370,0,3677,4047
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3946,0,0,0,0,0,0,823,0,3123,3946
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,4061,0,0,0,0,0,0,823,0,3238,4061
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,4470,0,0,0,0,0,0,1040,0,3430,4470
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,4967,0,0,0,0,0,0,784,0,4183,4967
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,6409,0,0,0,0,0,0,710,0,5699,6409
1952:Q1,7224,0,0,0,0,0,0,716,0,6508,7224
1952:Q2,7504,0,0,0,0,0,0,748,0,6756,7504
1952:Q3,7544,0,0,0,0,0,0,1928,0,5616,7544
1952:Q4,7804,0,0,0,0,0,0,440,0,7364,7804
1953:Q1,7608,0,0,0,0,0,0,564,0,7044,7608
1953:Q2,7596,0,0,0,0,0,0,476,0,7120,7596
1953:Q3,7608,0,0,0,0,0,0,708,0,6900,7608
1953:Q4,7740,0,0,0,0,0,0,372,0,7368,7740
1954:Q1,7672,0,0,0,0,0,0,396,0,7276,7672
1954:Q2,7688,0,0,0,0,0,0,356,0,7332,7688
1954:Q3,7436,0,0,0,0,0,0,420,0,7016,7436
1954:Q4,7892,0,0,0,0,0,0,500,0,7392,7892
1955:Q1,7800,0,0,0,0,0,0,252,0,7548,7800
1955:Q2,7936,0,0,0,0,0,0,480,0,7456,7936
1955:Q3,7896,0,0,0,0,0,0,1556,0,6340,7896
1955:Q4,8132,0,0,0,0,0,0,468,0,7664,8132
1956:Q1,8336,0,0,0,0,0,0,344,0,7992,8336
1956:Q2,8360,0,0,0,0,0,0,260,0,8100,8360
1956:Q3,8480,0,0,0,0,0,0,2668,0,5812,8480
1956:Q4,8668,0,0,0,0,0,0,180,0,8488,8668
1957:Q1,9168,0,0,0,0,0,0,364,0,8804,9168
1957:Q2,9076,0,0,0,0,0,0,48,0,9028,9076
1957:Q3,9624,0,0,0,0,0,0,772,0,8852,9624
1957:Q4,9912,0,0,0,0,0,0,556,0,9356,9912
1958:Q1,9860,0,0,0,0,0,0,1036,0,8824,9860
1958:Q2,9292,0,0,0,0,0,0,68,0,9224,9292
1958:Q3,10492,0,0,0,0,0,0,1860,0,8632,10492
1958:Q4,10092,0,0,0,0,0,0,772,0,9320,10092
1959:Q1,10248,0,0,0,0,0,0,988,0,9260,10248
1959:Q2,9492,0,0,0,0,0,0,20,0,9472,9492
1959:Q3,11348,0,0,0,0,0,0,1908,0,9440,11348
1959:Q4,10304,0,0,0,0,0,0,620,0,9684,10304
1960:Q1,10664,0,0,0,0,0,0,924,0,9740,10664
1960:Q2,10940,0,0,0,0,0,0,972,0,9968,10940
1960:Q3,10932,0,0,0,0,0,0,1056,0,9876,10932
1960:Q4,10804,0,0,0,0,0,0,752,0,10052,10804
1961:Q1,11116,0,0,0,0,0,0,900,0,10216,11116
1961:Q2,11364,0,0,0,0,0,0,1128,0,10236,11364
1961:Q3,11588,0,0,0,0,0,0,992,0,10596,11588
1961:Q4,11420,0,0,0,0,0,0,644,0,10776,11420
1962:Q1,11896,0,0,0,0,0,0,1004,0,10892,11896
1962:Q2,12128,0,0,0,0,0,0,1180,0,10948,12128
1962:Q3,12192,0,0,0,0,0,0,812,0,11380,12192
1962:Q4,12388,0,0,0,0,0,0,976,0,11412,12388
1963:Q1,12596,0,0,0,0,0,0,1088,0,11508,12596
1963:Q2,12904,0,0,0,0,0,0,1420,0,11484,12904
1963:Q3,12896,0,0,0,0,0,0,1036,0,11860,12896
1963:Q4,13100,0,0,0,0,0,0,1100,0,12000,13100
1964:Q1,13408,0,0,0,0,0,0,1420,0,11988,13408
1964:Q2,13532,0,0,0,0,0,0,1088,0,12444,13532
1964:Q3,13892,0,0,0,0,0,0,1440,0,12452,13892
1964:Q4,13868,0,0,0,0,0,0,1048,0,12820,13868
1965:Q1,14364,0,0,0,0,0,0,1368,0,12996,14364
1965:Q2,14652,0,0,0,0,0,0,1560,0,13092,14652
1965:Q3,14888,0,0,0,0,0,0,1516,0,13372,14888
1965:Q4,14832,0,0,0,0,0,0,816,0,14016,14832
1966:Q1,15492,0,0,0,0,0,0,1272,0,14220,15492
1966:Q2,15856,0,0,0,0,0,0,1464,0,14392,15856
1966:Q3,16156,0,0,0,0,0,0,1264,0,14892,16156
