date,FA224090045.Q,FA223020043.Q,FA223030043.Q,FA223034043.Q,FA222051043.Q,FA224022045.Q,FA223069143.Q,FA223061143.Q,FA223061743.Q,FA223062043.Q,FA223063045.Q,FA223065043.Q,FA223064145.Q,FA223064243.Q,FA223090045.Q,FA223073045.Q,FA223093043.Q,FA224190043.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,878,8,0,0,0,258,0,152,0,86,20,3,1,0,608,608,0,878
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1094,8,0,0,0,321,0,189,0,102,30,4,2,0,759,759,0,1094
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1332,6,0,0,0,419,0,213,0,129,77,10,3,0,894,894,0,1332
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1539,10,0,0,0,502,0,184,0,183,135,17,7,0,1003,1003,0,1539
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1685,18,0,0,0,624,0,241,0,200,183,23,9,0,1011,1011,0,1686
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1854,19,0,0,0,699,0,420,0,163,116,30,12,0,1094,1094,0,1855
1952:Q1,1988,20,0,0,0,964,0,608,20,156,180,32,12,0,960,960,0,1988
1952:Q2,2040,20,0,0,0,708,0,312,20,172,204,36,16,0,1260,1260,0,2040
1952:Q3,2093,20,0,0,0,1360,0,660,20,176,504,36,16,0,661,661,0,2092
1952:Q4,2145,20,0,0,0,792,0,244,20,180,348,40,16,0,1277,1277,0,2144
1953:Q1,2183,24,0,0,0,1096,0,364,8,200,524,44,16,0,1003,1003,0,2184
1953:Q2,2231,36,0,0,0,1484,0,760,4,212,508,44,20,0,647,647,0,2232
1953:Q3,2280,36,0,0,0,1436,0,700,4,224,508,48,20,0,740,740,0,2280
1953:Q4,2328,28,0,0,0,892,0,120,4,244,524,52,20,0,1336,1336,0,2328
1954:Q1,2392,16,0,0,0,1536,0,732,12,252,540,56,24,0,760,760,0,2392
1954:Q2,2444,8,0,0,0,1628,0,764,12,264,588,60,24,0,724,724,0,2444
1954:Q3,2496,0,0,0,0,1204,0,304,12,280,608,64,24,0,1204,1204,0,2496
1954:Q4,2552,-4,0,0,0,1224,0,292,16,296,620,64,24,0,1244,1244,0,2552
1955:Q1,2607,-12,0,0,0,1104,0,220,20,320,544,68,28,0,1419,1419,0,2608
1955:Q2,2659,-24,0,0,0,1084,0,160,20,344,560,68,28,0,1503,1503,0,2660
1955:Q3,2716,-24,0,0,0,1316,0,352,20,360,584,72,28,0,1324,1324,0,2716
1955:Q4,2772,-20,0,0,0,1404,0,400,20,364,620,68,28,0,1292,1292,0,2772
1956:Q1,2856,4,0,0,0,1820,0,852,8,372,588,72,32,0,928,928,0,2856
1956:Q2,2920,12,0,0,0,984,0,96,8,380,500,64,32,0,1828,1828,0,2920
1956:Q3,2984,20,0,0,0,932,0,104,8,392,428,76,36,0,1920,1920,0,2984
1956:Q4,3052,28,0,0,0,852,0,60,12,404,376,96,36,0,2040,2040,0,3052
1957:Q1,3136,40,0,0,0,1380,0,468,28,416,468,120,44,0,1552,1552,0,3136
1957:Q2,3212,56,0,0,0,1372,0,212,32,432,696,140,52,0,1592,1592,0,3212
1957:Q3,3284,56,0,0,0,1624,0,132,28,436,1028,156,52,0,1396,1396,0,3284
1957:Q4,3360,36,0,0,0,1352,0,-356,32,432,1244,164,56,0,1752,1752,0,3360
1958:Q1,3469,20,0,0,0,1916,0,184,20,436,1276,176,56,0,1301,1301,0,3468
1958:Q2,3557,12,0,0,0,968,0,-616,20,448,1116,188,56,0,2333,2333,0,3556
1958:Q3,3645,0,0,0,0,1516,0,40,20,432,1024,200,60,0,1869,1869,0,3644
1958:Q4,3733,-4,0,0,0,1636,0,244,20,380,992,220,60,0,1821,1821,0,3732
1959:Q1,3780,-12,0,0,0,1628,0,324,28,340,936,224,68,0,1872,1872,0,3780
1959:Q2,3852,-28,0,0,0,1276,0,96,32,304,844,220,76,0,2308,2308,0,3852
1959:Q3,3920,-28,0,0,0,2024,0,896,28,272,828,256,76,0,1592,1592,0,3920
1959:Q4,3992,-24,0,0,0,1544,0,448,28,236,832,324,80,0,2068,2068,0,3992
1960:Q1,4101,8,0,0,0,1972,0,804,52,216,900,396,80,0,1645,1645,0,4100
1960:Q2,4189,24,0,0,0,1516,0,244,48,204,1020,472,76,0,2101,2101,0,4188
1960:Q3,4277,28,0,0,0,1124,0,-284,52,148,1208,496,84,0,2545,2545,0,4276
1960:Q4,4361,28,0,0,0,1756,0,232,48,52,1424,468,104,0,2005,2005,0,4360
1961:Q1,4529,32,0,0,0,2220,0,576,72,-28,1600,456,128,0,1693,1693,0,4528
1961:Q2,4645,36,0,0,0,1772,0,68,76,-100,1728,464,148,0,2225,2225,0,4644
1961:Q3,4765,36,0,0,0,1672,0,-28,76,-176,1800,452,160,0,2445,2445,0,4764
1961:Q4,4885,32,0,0,0,1332,0,-260,76,-268,1784,412,172,0,2937,2937,0,4884
1962:Q1,5005,32,0,0,0,2576,0,900,216,-352,1812,376,184,0,1837,1837,0,5004
1962:Q2,5125,36,0,0,0,1672,0,200,72,-468,1868,336,196,0,2885,2885,0,5124
1962:Q3,5245,32,0,0,0,1692,0,200,148,-512,1856,324,204,0,2993,2993,0,5244
1962:Q4,5365,20,0,0,0,1192,0,-100,60,-504,1736,348,204,0,3601,3601,0,5364
1963:Q1,5483,16,0,0,0,1668,0,400,-32,-488,1788,356,200,0,3243,3243,0,5484
1963:Q2,5603,8,0,0,0,2524,0,1100,-24,-516,1964,356,196,0,2519,2519,0,5604
1963:Q3,5724,4,0,0,0,1900,0,300,-120,-508,2228,368,208,0,3244,3244,0,5724
1963:Q4,5844,-4,0,0,0,1808,0,-160,-16,-488,2472,400,232,0,3408,3408,0,5844
1964:Q1,5964,0,0,0,0,2864,0,860,-24,-440,2468,416,248,0,2436,2436,0,5964
1964:Q2,6080,0,0,0,0,2908,0,1000,136,-420,2192,424,264,0,2484,2484,0,6080
1964:Q3,6201,0,0,0,0,1976,0,364,-24,-392,2028,460,280,0,3485,3485,0,6200
1964:Q4,6321,-8,0,0,0,1496,0,-144,48,-364,1956,532,300,0,4001,4001,0,6320
1965:Q1,6563,0,0,0,0,3196,0,1548,-20,-320,1988,604,320,0,2443,2443,0,6564
1965:Q2,6735,0,0,0,0,2540,0,692,20,-288,2116,672,332,0,3191,3191,0,6736
1965:Q3,6904,4,0,0,0,1628,0,-956,416,-256,2424,712,360,0,4200,4200,0,6904
1965:Q4,7076,20,0,0,0,1676,0,-792,28,-236,2676,716,396,0,4268,4268,0,7076
1966:Q1,7203,32,0,0,0,3368,0,636,40,-184,2876,760,440,0,2603,2603,0,7204
1966:Q2,7359,40,0,0,0,2336,0,-1064,480,-144,3064,828,476,0,3679,3679,0,7360
1966:Q3,7511,56,0,0,0,3584,0,480,196,-120,3028,804,508,0,2559,2559,0,7512
1966:Q4,7667,76,0,0,0,2380,0,-204,-76,-128,2788,688,528,0,3995,3995,0,7668
1967:Q1,7987,156,0,0,0,1952,0,-1260,68,-80,3224,660,580,0,4639,4639,0,7988
1967:Q2,8206,32,68,0,0,2700,0,-616,300,-76,3092,664,576,0,4166,4166,0,8208
1967:Q3,8433,-136,208,0,0,2932,0,-1352,60,-72,4296,312,760,0,4357,4357,0,8432
1967:Q4,8651,-312,368,0,0,3796,0,-572,104,-72,4336,312,764,0,3723,3723,0,8652
1968:Q1,9369,248,-212,0,0,2164,0,216,-108,124,1932,580,1080,0,5509,5509,0,9372
1968:Q2,9789,152,-132,0,0,3124,0,-396,1080,-260,2700,484,1172,0,4989,4989,0,9792
1968:Q3,10215,104,284,0,0,3036,0,-388,440,48,2936,24,1284,0,5483,5483,0,10216
