date,FA894123005.Q,FA793068005.Q,FA893169005.Q,FA893065005.Q,FA893065105.Q,FA893065405.Q,FA893065505.Q,FA893065603.Q,FA153166000.Q,FA894123005.Q,FA384123005.Q,FA154123005.Q,FA104123005.Q,FA114123005.Q,FA314123005.Q,FA213169203.Q,FA794123005.Q,FA763169305.Q,FA473169333.Q,FA513169333.Q,FA543169373.Q,FA403169283.Q,FA614123005.Q,FA644123075.Q,FA664123005.Q,FA504123005.Q,FA264123005.Q,FA894123005.Q,FA384023005.Q,FA154023005.Q,FA104023005.Q,FA114023005.Q,FA314023005.Q,FA214023005.Q,FA794023005.Q,FA713068005.Q,FA764023005.Q,FA754023005.Q,FA744023003.Q,FA474023000.Q,FA513065505.Q,FA544023005.Q,FA573065005.Q,FA343069005.Q,FA223065043.Q,FA653069803.Q,FA404023005.Q,FA413065005.Q,FA674023005.Q,FA614023005.Q,FA643065075.Q,FA663069005.Q,FA733069005.Q,FA503069005.Q,FA263069005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,15736,3202,3378,6179,4394,348,1300,137,2977,15736,14361,6625,4306,1865,1586,-21,-1020,96,0,0,0,0,494,0,-1610,0,2395,15736,5387,2777,532,90,1963,25,10349,0,9302,83,13,54,5,451,22,370,3,0,74,0,0,630,0,-658,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,21291,3530,7074,7166,5167,517,1315,167,3521,21291,17578,8846,4066,1739,2908,19,-389,131,0,0,0,0,264,0,-784,0,4102,21291,8278,3371,804,112,3966,25,13013,0,9477,55,17,89,8,1563,20,823,4,0,226,0,0,689,0,42,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
