date,FA893065405.Q,FA103165405.Q,FA113165405.Q,FA313165403.Q,FA893065405.Q,FA153065403.Q,FA103065405.Q,FA113065403.Q,FA313065405.Q,FA213065403.Q,FA763065405.Q,FA753065403.Q,FA543065405.Q,FA573065403.Q,FA223065443.Q,FA403065405.Q,FA413065405.Q,FA673065405.Q,FA613065403.Q,FA643065473.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,348,17,331,0,348,112,0,0,-2,0,146,0,70,7,1,0,0,0,14,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,517,26,491,0,517,207,0,0,0,0,193,0,103,6,2,0,0,0,6,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,875,44,831,0,875,249,0,0,2,0,344,0,273,6,3,0,0,0,-2,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1167,58,1109,0,1167,326,0,0,20,0,348,0,450,6,6,0,0,0,11,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1472,74,1398,0,1472,318,0,0,12,0,785,0,319,6,8,0,0,0,24,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1341,67,1274,0,1341,260,0,0,20,0,643,0,416,6,10,0,0,0,-14,0
1952:Q1,712,36,676,0,712,472,0,0,20,0,-180,0,320,4,12,0,0,0,64,0
1952:Q2,868,43,825,0,868,268,0,0,12,0,312,0,236,8,12,0,0,0,20,0
1952:Q3,952,48,904,0,952,244,0,0,28,0,384,0,244,12,12,0,0,0,28,0
1952:Q4,824,41,783,0,824,256,0,0,-4,0,312,0,228,8,12,0,0,0,12,0
1953:Q1,424,21,403,0,424,212,0,0,88,0,96,0,68,12,16,0,0,0,-68,0
1953:Q2,716,36,680,0,716,208,0,0,96,0,292,0,60,12,16,0,0,0,32,0
1953:Q3,672,34,638,0,672,184,0,0,156,0,204,0,48,12,12,0,0,0,56,0
1953:Q4,748,37,711,0,748,308,0,0,100,0,208,0,124,12,20,0,0,0,-24,0
1954:Q1,212,11,201,0,212,252,0,0,-104,0,4,0,24,12,16,0,0,0,8,0
1954:Q2,552,28,524,0,552,276,0,0,100,0,108,0,28,8,20,0,0,0,12,0
1954:Q3,560,28,532,0,560,220,0,0,272,0,-36,0,36,12,20,0,0,0,36,0
1954:Q4,852,43,809,0,852,392,0,0,68,0,256,0,76,16,20,0,0,0,24,0
1955:Q1,468,23,445,0,468,352,0,0,108,0,-196,0,128,16,20,0,0,0,40,0
1955:Q2,828,41,787,0,828,332,0,0,120,0,192,0,80,20,20,0,0,0,64,0
1955:Q3,760,38,722,0,760,324,0,0,48,0,152,0,96,20,20,0,0,0,100,0
