date,FA263192101.Q,FA103092105.Q,FA763092100.Q,FA513092103.Q,FA543092173.Q,FA613092103.Q,FA663092103.Q,FA733092103.Q,FA103192105.Q,FA115114103.Q,FA753192103.Q,FA513192103.Q,FA543192173.Q,FA613192103.Q,FA663192103.Q,FA733192103.Q,FA503192103.Q,FA263092101.Q,FA263192005.Q,FA263092001.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,221,195,4,5,7,5,5,0,-8,0,1,1,1,0,2,0,0,-3,230,-4
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,720,711,2,1,-1,4,3,0,30,-2,-2,-7,-7,-1,-3,0,0,8,749,10
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,693,685,1,0,-2,4,5,0,65,1,-7,-12,-11,-1,-8,0,0,27,721,34
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,634,617,3,1,0,7,6,0,64,-1,-4,-7,-5,-1,-2,0,0,44,660,56
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,597,579,3,1,0,8,6,0,147,2,-14,-26,-23,-2,-21,0,0,63,621,80
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,488,467,5,0,1,7,8,0,103,2,-6,-10,-8,-1,-9,0,0,71,508,90
1952:Q1,1452,1452,0,0,0,0,0,0,-4,4,0,0,0,0,8,0,0,8,1512,56
1952:Q2,2292,2244,8,8,8,12,12,0,-48,0,12,4,4,4,4,0,0,-20,2384,44
1952:Q3,1196,1148,8,4,8,12,16,0,-160,4,8,4,0,4,8,0,0,-132,1244,-88
1952:Q4,-1664,-1728,8,0,8,24,24,0,508,8,36,4,0,-4,12,0,0,564,-1732,516
1953:Q1,1488,1436,8,8,8,12,16,0,-32,0,8,0,4,4,12,0,0,-4,1548,76
1953:Q2,1680,1628,8,8,8,12,16,0,-260,4,12,4,8,4,16,0,0,-212,1748,-180
1953:Q3,1464,1408,8,8,8,16,16,0,-80,8,16,4,4,4,12,0,0,-32,1524,44
1953:Q4,-1808,-1864,12,0,12,16,16,0,672,8,20,4,12,4,28,0,0,748,-1880,692
1954:Q1,1196,1136,8,8,8,16,20,0,-44,4,12,4,4,4,16,0,0,0,1244,68
1954:Q2,1636,1572,12,8,12,16,16,0,68,8,12,4,8,4,12,0,0,116,1704,200
1954:Q3,868,800,12,8,12,16,20,0,56,4,8,4,4,0,12,0,0,88,904,172
1954:Q4,-1136,-1208,16,8,8,20,20,0,172,12,12,-16,0,0,12,0,0,192,-1184,56
1955:Q1,1204,1132,12,8,12,16,24,0,-68,4,8,4,4,4,12,0,0,-32,1252,56
