date,FA893193005.Q,FA103193005.Q,FA113193003.Q,FA313193005.Q,FA713193005.Q,FA763193005.Q,FA753193005.Q,FA743193005.Q,FA473193005.Q,FA513193005.Q,FA543193005.Q,FA403193005.Q,FA613193005.Q,FA643193075.Q,FA663193005.Q,FA733193005.Q,FA503193005.Q,FA893093005.Q,FA103093005.Q,FA113093005.Q,FA213093003.Q,FA713093005.Q,FA763093005.Q,FA753093005.Q,FA743093005.Q,FA473093005.Q,FA513093005.Q,FA543093005.Q,FA573093005.Q,FA223093005.Q,FA633093005.Q,FA653093005.Q,FA563093003.Q,FA403093005.Q,FA613093005.Q,FA643093075.Q,FA663093005.Q,FA733093005.Q,FA503093023.Q,FA903090005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,1372,1444,0,-400,-183,374,0,0,10,1,84,-202,159,0,-9,0,94,-2626,-307,0,0,-19,-2324,0,44,0,0,7,-91,0,0,0,0,-26,94,0,-4,0,0,3999
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,2224,1641,0,-400,337,126,0,0,9,-7,271,25,224,0,-21,0,19,263,373,0,0,69,-445,0,53,0,0,-15,200,0,0,0,0,-25,59,0,-6,0,0,1960
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
