date,FA886300095.Q,FA886300065.Q,FA886300025.Q,FA886330075.Q,FA886330035.Q,FA886330045.Q,FA836330053.Q,FA366300095.Q,FA886300095.Q,FA156300003.Q,FA106300011.Q,FA116300001.Q,FA316300001.Q,FA216300001.Q,FA796330005.Q,FA716330005.Q,FA706330005.Q,FA766330005.Q,FA756330005.Q,FA746330005.Q,FA476330005.Q,FA516330005.Q,FA546330005.Q,FA576330005.Q,FA226330005.Q,FA406330005.Q,FA676330023.Q,FA616330005.Q,FA666330005.Q,FA736330005.Q,FA156300103.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,25770,8983,14652,2055,0,1422,633,80,25770,2300,7759,3897,9952,1571,291,3,93,92,0,0,1,16,13,0,0,0,0,22,23,121,10727
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,29122,11059,15642,2438,0,1698,740,-17,29122,2970,9485,4905,9512,1875,365,4,101,99,1,0,1,22,19,1,0,0,0,29,29,160,12663
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,31325,12491,16146,2703,0,1914,789,-15,31325,3424,11130,5834,8368,2137,428,5,123,118,3,0,2,28,24,1,0,0,0,30,34,183,15359
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,32283,12799,16588,2888,0,2060,828,8,32283,3657,12019,6439,7518,2176,468,5,139,133,3,0,3,32,27,1,0,0,0,31,39,194,16640
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,33393,13225,17080,3110,0,2247,863,-22,33393,3975,12861,6982,6879,2181,505,5,149,142,4,0,3,38,32,1,0,0,0,32,43,205,18827
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,37725,15240,19072,3513,0,2600,913,-100,37725,4567,14653,7943,7358,2621,574,6,162,154,4,0,4,45,36,1,0,0,0,41,47,236,22720
1952:Q1,39531,15871,20034,3711,0,2770,941,-85,39531,4835,15273,8257,7852,2702,610,6,184,174,5,0,5,44,34,0,0,0,0,54,47,241,22715
1952:Q2,40176,16077,20415,3767,0,2815,952,-83,40176,4916,15456,8325,8086,2773,618,6,186,176,5,0,5,44,34,0,0,0,0,55,48,245,23321
1952:Q3,41004,16361,20875,3852,0,2887,965,-84,41004,4998,15690,8396,8421,2870,631,6,189,179,5,0,5,46,36,1,1,0,0,55,48,249,23487
1952:Q4,41709,16566,21296,3932,0,2953,979,-85,41709,5079,15973,8470,8707,2840,641,6,193,183,5,0,5,46,36,1,1,0,0,56,49,253,24092
1953:Q1,42497,16721,21747,4140,0,3136,1004,-111,42497,5161,16308,8550,8929,2901,650,6,200,188,5,1,6,46,37,0,0,0,0,65,48,248,23563
1953:Q2,43265,16948,22199,4229,0,3210,1019,-111,43265,5240,16618,8623,9241,2884,659,6,203,191,5,1,6,47,37,0,0,0,0,65,49,252,24204
1953:Q3,43816,17126,22521,4280,0,3246,1034,-111,43816,5315,16903,8693,9319,2915,671,6,206,194,5,1,6,48,38,1,1,0,0,66,49,256,24611
1953:Q4,44380,17212,22921,4357,0,3310,1047,-110,44380,5387,17163,8757,9509,2877,685,6,211,199,5,1,6,49,38,1,1,0,0,67,50,262,24798
1954:Q1,44940,17058,23315,4562,0,3479,1083,5,44940,5456,17402,8816,9719,2847,701,7,226,212,6,1,7,49,37,2,1,0,0,74,51,254,26073
1954:Q2,45690,17268,23761,4654,0,3558,1096,7,45690,5537,17634,8874,9959,2972,714,7,231,217,6,1,7,50,38,2,1,0,0,75,52,258,26725
1954:Q3,46300,17412,24132,4750,0,3641,1109,6,46300,5631,17862,8934,10168,2981,723,7,235,220,6,1,8,50,38,2,1,0,0,76,52,262,26525
1954:Q4,46990,17642,24473,4868,0,3745,1123,7,46990,5736,18086,8995,10399,3044,729,7,236,221,6,1,8,51,39,2,1,0,0,76,53,264,26545
1955:Q1,47461,17782,24537,5105,0,3933,1172,37,47461,5855,18307,9057,10497,3013,732,7,236,221,6,1,8,52,38,0,0,0,0,86,50,263,27598
1955:Q2,48178,18055,24873,5212,0,4020,1192,38,48178,5984,18647,9157,10584,3066,740,7,238,223,6,1,8,53,38,0,0,0,0,87,50,267,28039
1955:Q3,49315,18520,25388,5369,0,4151,1218,38,49315,6126,19106,9291,10799,3235,758,7,244,229,6,1,8,54,39,1,1,0,0,88,51,273,28526
1955:Q4,50604,19016,25994,5556,0,4306,1250,38,50604,6279,19685,9462,11066,3329,783,7,253,237,7,1,8,55,40,1,1,0,0,92,53,281,29193
1956:Q1,52144,19524,26735,5881,0,4609,1272,4,52144,6444,20386,9670,11368,3464,813,8,258,240,8,1,9,59,43,2,1,0,0,100,52,290,31264
1956:Q2,53505,20072,27356,6073,0,4766,1307,4,53505,6592,21065,9855,11573,3580,839,8,267,249,8,1,9,61,44,2,1,0,0,104,53,299,31706
1956:Q3,54819,20595,27948,6272,0,4931,1341,4,54819,6723,21723,10018,11792,3698,864,8,275,256,8,1,10,63,46,2,1,0,0,106,55,308,32082
1956:Q4,56032,21060,28494,6474,0,5102,1372,4,56032,6838,22362,10160,12009,3779,884,8,281,262,8,1,10,65,47,2,1,0,0,109,56,315,32820
1957:Q1,57313,21123,29292,6889,0,5460,1429,9,57313,6936,22980,10278,12376,3841,900,9,285,265,9,1,10,69,50,2,1,0,0,113,54,317,31505
1957:Q2,58421,21554,29773,7084,0,5627,1457,10,58421,7027,23550,10401,12568,3951,923,9,293,272,9,1,11,71,51,2,1,0,0,116,55,325,32110
1957:Q3,59487,21924,30242,7311,0,5828,1483,10,59487,7109,24072,10529,12830,3998,950,9,300,279,9,1,11,74,54,2,1,0,0,119,57,334,32853
1957:Q4,60448,22241,30647,7550,0,6042,1508,10,60448,7184,24546,10661,13071,4006,979,9,311,289,9,1,12,76,55,2,1,0,0,123,58,344,33104
1958:Q1,61092,21872,31280,7937,0,6351,1586,3,61092,7251,24972,10799,13081,3976,1012,10,339,316,10,1,12,77,58,2,1,0,0,128,64,333,34744
1958:Q2,62003,22212,31626,8164,0,6555,1609,1,62003,7329,25366,10916,13274,4078,1042,10,351,326,10,1,14,79,59,2,1,0,0,132,66,342,35515
1958:Q3,62943,22527,32023,8390,0,6761,1629,3,62943,7418,25725,11015,13547,4177,1059,10,356,331,10,1,14,80,60,2,1,1,0,134,67,348,35457
1958:Q4,63782,22781,32412,8585,0,6937,1648,4,63782,7519,26052,11093,13797,4246,1074,10,361,336,10,1,14,81,61,2,1,1,0,136,68,353,35544
1959:Q1,64464,22960,32490,9009,2,7306,1701,5,64464,7630,26345,11089,13966,4287,1146,10,424,399,10,1,14,84,63,2,1,1,0,147,64,350,34035
1959:Q2,65122,23135,32797,9186,2,7467,1717,4,65122,7738,26613,11140,14171,4309,1150,10,424,399,10,1,14,85,64,2,1,1,0,147,64,352,34823
1959:Q3,65790,23309,33108,9367,2,7634,1731,6,65790,7843,26856,11183,14411,4345,1152,10,425,400,10,1,14,85,64,2,1,1,0,148,64,352,35201
1959:Q4,66397,23466,33390,9536,4,7788,1744,5,66397,7944,27075,11217,14633,4379,1148,10,424,399,10,1,14,84,63,2,1,1,0,147,64,352,35461
1960:Q1,66985,23800,33134,10043,28,8172,1843,8,66985,8042,27272,11236,14853,4436,1144,10,401,378,9,1,13,90,67,2,1,1,0,157,57,358,36830
1960:Q2,67588,23966,33399,10214,29,8329,1856,9,67588,8134,27479,11306,15070,4493,1102,10,361,338,9,1,13,90,67,2,1,1,0,157,57,356,37164
1960:Q3,68205,24151,33658,10388,32,8487,1869,8,68205,8220,27701,11365,15275,4557,1084,10,340,317,9,1,13,90,67,2,1,1,0,158,57,358,37536
1960:Q4,68826,24350,33903,10566,35,8647,1884,7,68826,8301,27936,11413,15469,4618,1091,10,339,314,10,1,14,93,69,2,1,1,0,159,57,360,37798
1961:Q1,69496,24526,33900,11066,76,9017,1973,4,69496,8376,28186,11448,15689,4683,1115,10,359,334,10,1,14,94,71,2,1,6,0,148,57,367,37900
1961:Q2,70184,24751,34173,11258,81,9188,1989,2,70184,8454,28452,11499,15891,4752,1138,10,372,347,10,1,14,95,72,2,1,6,0,151,58,371,37944
1961:Q3,70961,24988,34512,11458,84,9367,2007,3,70961,8535,28735,11566,16150,4820,1155,10,380,355,10,1,14,97,74,2,1,6,0,152,58,375,38204
1961:Q4,71776,25246,34880,11647,88,9532,2027,3,71776,8618,29035,11651,16404,4900,1169,10,385,360,10,1,14,98,75,2,1,6,0,154,59,379,38504
1962:Q1,72702,25528,35042,12119,129,9889,2101,13,72702,8704,29351,11752,16717,4998,1180,10,394,369,10,1,14,99,77,2,1,5,0,143,61,388,38594
1962:Q2,73529,25808,35407,12299,133,10043,2123,15,73529,8795,29683,11847,16920,5095,1190,10,393,368,10,1,14,100,78,2,1,5,0,146,62,393,38906
1962:Q3,74549,26109,35878,12547,139,10263,2145,15,74549,8892,30027,11934,17318,5175,1201,10,393,368,10,1,14,102,80,2,1,5,0,148,62,398,39310
1962:Q4,75609,26440,36361,12794,145,10481,2168,14,75609,8994,30387,12014,17724,5273,1215,10,395,370,10,1,14,103,81,2,1,5,0,150,63,405,39794
1963:Q1,76518,26554,36738,13226,214,10796,2216,0,76518,9102,30759,12086,17981,5355,1236,11,418,395,9,1,13,102,79,1,0,4,0,138,66,417,40238
1963:Q2,77527,26892,37191,13445,221,10982,2242,-1,77527,9220,31157,12172,18269,5457,1251,11,422,399,9,1,13,103,80,1,0,4,0,140,67,423,40680
1963:Q3,78502,27230,37587,13685,229,11186,2270,0,78502,9347,31578,12272,18487,5548,1269,11,427,402,10,1,14,104,81,2,1,4,0,142,67,430,41267
1963:Q4,79523,27601,37956,13965,237,11428,2300,1,79523,9483,32025,12388,18676,5665,1285,11,433,408,10,1,14,105,82,2,1,4,0,144,68,435,41855
1964:Q1,80616,27823,38267,14533,340,11821,2372,-7,80616,9629,32497,12518,18909,5761,1305,11,448,423,10,1,14,109,86,2,1,3,0,128,72,445,42451
1964:Q2,81756,28222,38696,14843,352,12084,2407,-5,81756,9789,33006,12663,19113,5859,1325,11,453,428,10,1,14,111,87,2,1,3,0,130,73,454,43106
1964:Q3,82945,28649,39172,15127,362,12319,2446,-3,82945,9962,33551,12823,19294,5957,1360,11,461,436,10,1,14,115,91,3,2,3,0,134,75,465,43714
1964:Q4,84238,29119,39720,15403,373,12543,2487,-4,84238,10148,34135,12997,19498,6064,1397,11,473,446,10,1,16,117,93,3,2,3,0,138,77,480,44357
1965:Q1,85615,29518,40314,15778,464,12780,2534,5,85615,10348,34757,13185,19672,6211,1441,11,498,471,10,1,16,128,101,1,0,1,0,131,84,486,44665
1965:Q2,87146,30086,40964,16089,477,13029,2583,7,87146,10554,35455,13393,19894,6364,1485,11,513,485,11,1,16,132,104,1,0,1,0,134,87,502,45525
1965:Q3,88773,30684,41654,16428,493,13298,2637,7,88773,10765,36230,13619,20134,6495,1532,11,527,497,12,1,17,136,108,2,1,1,0,139,89,518,46193
1965:Q4,90490,31335,42374,16775,510,13571,2694,6,90490,10981,37082,13865,20352,6638,1571,11,538,508,12,1,17,140,111,2,1,1,0,143,92,532,46829
1966:Q1,92311,31752,43248,17311,633,13899,2779,0,92311,11203,38012,14130,20567,6788,1610,11,551,521,12,1,17,147,116,2,1,1,0,138,96,547,47369
1966:Q2,94338,32519,44088,17729,655,14232,2842,2,94338,11424,38960,14388,20895,7019,1650,11,563,533,12,1,17,151,119,2,1,1,0,141,99,562,48414
1966:Q3,96289,33226,44941,18120,678,14537,2905,2,96289,11643,39928,14640,21199,7186,1692,11,576,544,13,1,18,155,123,2,1,1,0,145,101,577,49547
1966:Q4,98300,33939,45851,18508,702,14837,2969,2,98300,11862,40915,14884,21533,7371,1733,11,586,554,13,1,18,159,126,2,1,1,0,150,104,593,50758
