date,FA895410005.Q,FA825410005.Q,FA795410005.Q,FA515410073.Q,FA795410003.Q,FA105410003.Q,FA115410003.Q,FA365410005.Q,FA315410005.Q,FA215400033.Q,FA315410073.Q,FA315410093.Q,FA315410043.Q,FA315410053.Q,FA315410063.Q,FA215410073.Q,FA215410073.Q,FA155410035.Q,FA315400053.Q,FA215400053.Q,FA265410005.Q,FA265410073.Q,FA265410003.Q,FA895400005.Q,FA825400005.Q,FA795400005.Q,FA515400073.Q,FA795400003.Q,FA105400005.Q,FA105400073.Q,FA105400003.Q,FA115400005.Q,FA115400075.Q,FA115400003.Q,FA365400005.Q,FA315400005.Q,FA315400053.Q,FA315400003.Q,FA215400005.Q,FA215400073.Q,FA215400053.Q,FA215400033.Q,FA215400003.Q,FA155400005.Q,FA155400073.Q,FA155400003.Q,FA265400005.Q,FA265400033.Q,FA265400073.Q,FA265400003.Q,FA825440005.Q,FA795440005.Q,FA515440005.Q,FA545410003.Q,FA765440005.Q,FA405400033.Q,FA615410003.Q,FA735410003.Q,FA735400033.Q,FA505400033.Q,FA105440005.Q,FA115440005.Q,FA365440005.Q,FA315440005.Q,FA215440005.Q,FA155440005.Q,FA265440005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,961,0,0,0,0,0,0,83,83,83,0,0,0,0,0,0,0,878,725,153,0,0,0,961,0,0,0,0,0,0,0,0,0,0,961,725,725,0,236,0,153,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-878,-642,-236,878,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1139,0,0,0,0,0,0,143,143,143,0,0,0,0,0,0,0,996,819,177,0,0,0,1139,0,0,0,0,0,0,0,0,0,0,1139,819,819,0,320,0,177,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-996,-676,-320,996,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
