date,FU106060005.Q,FU106231005.Q,FU106121075.Q,FU105020601.Q,FU106300015.Q,FU106006065.Q,FU105440005.Q,FU106000105.Q,FU105090005.Q,FU105050005.Q,FU105019005.Q,FU105020005.Q,FU105420005.Q,FU105000005.Q,FU104090005.Q,FU103091003.Q,FU103020005.Q,FU103030003.Q,FU103034000.Q,FU102051003.Q,FU104022005.Q,FU103069100.Q,FU103061103.Q,FU103061703.Q,FU103062003.Q,FU123063003.Q,FU104023005.Q,FU103065005.Q,FU103066005.Q,FU103092305.Q,FU103064103.Q,FU103092105.Q,FU103092405.Q,FU103064203.Q,FU103070005.Q,FU103090005.Q,FU104194005.Q,FU104190005.Q,FU104122005.Q,FU103169100.Q,FU103162000.Q,FU103163005.Q,FU104123005.Q,FU103168005.Q,FU103169005.Q,FU103165005.Q,FU103192305.Q,FU103170005.Q,FU103178005.Q,FU103190005.Q,FU573074005.Q,FU573073005.Q,FU103193005.Q,FU103181105.Q,FU103164105.Q,FU103192105.Q,FU107005005.Q,FU105005305.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,22603,8573,4781,-5263,5843,256,0,10085,4262,19182,13361,5891,-70,-14920,-1605,35,543,0,0,0,-5636,32,-5729,0,61,0,532,5,527,16,0,195,-1,0,2758,-47,13315,12305,995,42,0,953,4306,3656,-145,795,-5,6344,-1958,2623,0,1179,1444,1010,1018,-8,5823,9353
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,29709,10777,5359,-5899,7107,289,0,15070,10870,18347,17296,1141,-90,-7477,8725,-17,1932,0,0,0,-354,97,-488,0,37,0,804,6,798,16,0,711,-0,0,4975,658,16202,15079,2848,35,0,2813,4066,3073,-184,1177,-30,3351,2186,2658,0,1017,1641,1123,1093,30,4200,3566
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
