date,FU366010115.Q,FU366210005.Q,FU366240005.Q,FU366231005.Q,FU316231061.Q,FU366601005.Q,FU366150105.Q,FU366403105.Q,FU366402105.Q,FU366900015.Q,FU366901005.Q,FU366404005.Q,FU366403005.Q,FU366130005.Q,FU366402005.Q,FU366006005.Q,FU366300005.Q,FU313154015.Q,FU365440095.Q,FU366000105.Q,FU365090005.Q,FU365019005.Q,FU365420005.Q,FU365000005.Q,FU364090005.Q,FU313011005.Q,FU363020005.Q,FU363030005.Q,FU213034003.Q,FU212051003.Q,FU364022005.Q,FU213069103.Q,FU213061103.Q,FU363061705.Q,FU213062003.Q,FU363063005.Q,FU364023005.Q,FU363065005.Q,FU313066220.Q,FU363069005.Q,FU363064105.Q,FU313081115.Q,FU213064203.Q,FU363070005.Q,FU363078005.Q,FU363090005.Q,FU364190005.Q,FU313111303.Q,FU713014003.Q,FU313112003.Q,FU364122005.Q,FU313161105.Q,FU313161705.Q,FU213162005.Q,FU364123005.Q,FU313165403.Q,FU363169005.Q,FU313140003.Q,FU363170005.Q,FU363190005.Q,FU367005005.Q,FU374090005.Q,FU374190005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,51936,17210,16832,9104,0,6618,407,1399,366,59297,38490,10122,3144,5813,1728,-7361,11523,1320,-878,3720,8827,4708,70,4049,-15308,-89,-21848,195,0,0,-757,0,-352,-100,-305,0,1988,-321,0,2309,0,257,0,-677,5813,-190,-19357,0,0,126,-24596,-24462,-203,69,1565,0,1565,1165,-1867,4250,-5107,-14630,-18679
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,56989,19790,18106,11193,0,5564,507,1493,336,54465,34142,10428,2916,6244,735,2524,11387,1116,-996,13791,23738,5686,90,17962,16589,1401,189,150,0,0,675,0,711,3,-39,0,3991,-68,0,4059,0,291,0,111,9669,112,-1373,0,0,-28,-7705,-9279,-37,1611,2927,0,2927,605,-798,3626,-9947,15898,-2064
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
