date,FU216010105.Q,FU216210001.Q,FU216240001.Q,FU216231001.Q,FU216601001.Q,FU216150105.Q,FU216403105.Q,FU216402101.Q,FU216900005.Q,FU216901001.Q,FU216404001.Q,FU216403001.Q,FU216130001.Q,FU216402001.Q,FU216006005.Q,FU216300001.Q,FU215440005.Q,FU216000105.Q,FU215090005.Q,FU215019001.Q,FU215420003.Q,FU215000005.Q,FU214090005.Q,FU213020005.Q,FU213030000.Q,FU213034003.Q,FU212051003.Q,FU214022005.Q,FU213069103.Q,FU213061103.Q,FU213061703.Q,FU213062003.Q,FU213063003.Q,FU214023005.Q,FU213065005.Q,FU213069200.Q,FU213064103.Q,FU213064203.Q,FU213070003.Q,FU213078005.Q,FU213093003.Q,FU214190005.Q,FU213162005.Q,FU213162400.Q,FU213162200.Q,FU213169203.Q,FU213170003.Q,FU223073045.Q,FU217005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,12484,859,9141,462,155,407,1094,366,11679,9508,1468,0,703,0,805,1571,-236,2612,1342,1629,70,-357,445,875,179,0,0,-757,0,-352,-100,-305,0,25,25,0,0,0,123,0,0,802,69,1,68,-21,146,608,1270
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,14175,997,10442,604,175,430,1191,336,14114,11202,2045,0,867,0,61,1875,-320,2256,2534,2890,90,-446,1811,741,159,0,0,675,0,711,3,-39,0,25,25,0,0,0,211,0,0,2257,1611,199,1412,19,-132,759,-278
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,16345,1140,11898,671,201,469,1692,274,16275,12645,2695,0,935,0,70,2137,-449,2656,3258,4069,116,-927,1514,499,271,0,0,604,0,387,197,20,0,54,54,0,0,0,86,0,0,2441,1334,165,1169,70,143,894,-602
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,18176,1357,13034,605,194,492,2170,324,17675,13988,2657,0,1030,0,501,2176,-547,3224,4354,5397,199,-1242,823,246,152,0,0,379,0,66,0,313,0,81,81,0,0,0,-35,0,0,2065,986,204,782,-85,161,1003,-1130
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,19815,1480,14216,770,223,537,2235,354,19502,15172,3190,0,1140,0,313,2181,-624,3118,2252,5925,269,-3942,1775,469,101,0,0,693,0,509,-100,284,0,52,52,0,0,0,460,0,0,5717,4525,393,4132,67,114,1011,866
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,21825,1680,15555,883,242,662,2403,400,20225,16318,2644,0,1263,0,1600,2621,-651,4872,5336,7038,272,-1974,1582,414,152,0,0,709,0,480,200,29,0,69,69,0,0,0,238,0,0,3556,2115,312,1803,261,86,1094,-464
1952:Q1,5652,454,4087,211,67,165,562,107,5309,4270,707,0,332,0,343,675,-168,1186,-210,1506,61,-1777,785,315,94,0,80,300,0,348,-80,32,0,28,28,0,0,0,-68,5,31,2562,2246,201,2045,-45,121,240,1395
1952:Q2,5781,461,4197,199,68,162,593,102,5626,4538,749,0,339,0,155,693,-172,1020,-232,1920,61,-2213,765,-21,-6,0,87,677,0,460,205,12,0,25,25,0,0,0,-93,-1,97,2978,2464,-87,2551,73,126,315,1252
1952:Q3,5964,462,4301,198,69,162,676,97,5168,4098,723,0,347,0,796,718,-184,1698,1007,2111,63,-1167,469,-451,-7,0,512,151,0,78,65,8,0,26,26,0,0,0,128,-6,116,1636,1215,163,1052,136,120,165,691
1952:Q4,6137,461,4416,218,74,166,705,97,5555,4464,734,0,357,0,582,710,-185,1477,971,1860,67,-956,606,480,4,0,-432,294,0,320,-24,-2,0,24,24,0,0,0,107,12,117,1562,962,-84,1046,158,123,319,506
1953:Q1,6073,478,4491,216,74,180,530,105,5717,4625,725,0,367,0,356,725,-169,1250,102,1559,77,-1534,184,39,30,0,9,229,0,288,-62,3,0,21,21,0,0,0,-30,2,-116,1718,1564,127,1437,-225,128,251,1147
1953:Q2,6366,481,4561,217,75,186,738,110,5819,4692,750,0,377,0,547,721,-224,1492,957,2044,82,-1169,202,305,84,0,-256,149,0,162,-43,30,0,21,21,0,0,0,12,-4,-109,1371,1158,-128,1286,-74,125,162,536
1953:Q3,6417,488,4647,211,78,189,690,115,5576,4418,770,0,388,0,841,729,-200,1770,1237,2309,84,-1156,579,-574,-46,0,815,183,0,126,-2,59,0,20,20,0,0,0,53,-9,137,1735,1416,214,1202,3,131,185,533
1953:Q4,6473,490,4696,165,79,190,731,123,5887,4761,727,0,399,0,586,719,-205,1510,1232,2084,86,-938,679,645,261,0,-640,341,0,228,23,90,0,21,21,0,0,0,-31,-42,124,1617,1217,-44,1261,-68,134,334,278
1954:Q1,6514,514,4740,180,79,201,668,133,6065,4905,749,0,410,0,450,712,-213,1375,419,1783,79,-1443,287,340,326,0,-391,182,0,60,31,91,0,22,22,0,0,0,-48,-14,-130,1730,1504,189,1315,-104,140,190,956
1954:Q2,6577,522,4803,185,81,200,646,140,6261,5077,761,0,422,0,317,743,-207,1266,1256,2399,84,-1227,254,-47,52,0,216,142,0,64,21,57,0,24,24,0,0,0,6,7,-146,1481,1350,-104,1454,-193,143,181,10
1954:Q3,6760,527,4875,197,82,201,734,145,5966,4758,772,0,435,0,795,745,-211,1751,1529,2721,94,-1286,649,-928,103,0,1006,231,0,172,32,27,0,23,23,0,0,0,98,25,91,1935,1510,159,1351,-24,148,301,222
1954:Q4,6888,529,4964,211,82,202,748,152,6412,5177,785,0,449,0,476,761,-210,1447,1400,2392,109,-1100,633,1006,-19,0,-834,209,0,151,59,-1,0,21,21,0,0,0,119,28,103,1733,1287,-134,1421,-14,149,311,47
1955:Q1,6990,591,5066,234,83,203,643,170,6673,5409,800,0,464,0,317,753,-233,1303,438,1979,135,-1676,337,-52,-42,0,230,251,0,189,73,-11,0,17,17,0,0,0,8,27,-102,2013,1492,105,1387,8,158,355,865
1955:Q2,7151,590,5176,237,84,206,675,183,6862,5558,825,0,479,0,290,767,-244,1301,1588,2616,150,-1178,462,454,75,0,-402,301,0,270,32,-1,0,14,14,0,0,0,92,0,-72,1640,1112,-188,1300,-9,161,376,-288
1955:Q3,7441,602,5328,245,84,212,779,191,6481,5172,815,0,494,0,960,809,-263,2032,2008,2939,162,-1093,805,-874,-139,0,1136,293,0,302,-17,8,0,13,13,0,0,0,208,-4,172,1898,1401,202,1199,3,163,331,24
1955:Q4,7596,606,5469,252,86,219,769,195,6981,5660,812,0,509,0,615,832,-258,1705,2070,2611,169,-710,816,491,43,0,-415,331,0,386,-71,16,0,15,15,0,0,0,177,18,156,1526,1029,-91,1120,10,164,323,-365
1956:Q1,7727,666,5610,261,89,234,675,192,7159,5817,817,0,525,0,568,866,-266,1700,914,2216,168,-1470,173,103,152,0,-158,217,0,262,-61,16,0,16,16,0,0,0,-31,-48,-78,1643,1235,156,1079,7,169,232,787
1956:Q2,7911,667,5755,267,91,243,698,191,7391,6038,812,0,541,0,520,895,-276,1691,1952,2934,170,-1152,401,619,1,0,-563,354,0,333,13,8,0,14,14,0,0,0,96,-20,-100,1553,921,-149,1070,2,173,457,-261
1956:Q3,8190,672,5893,252,94,250,838,191,7002,5627,817,0,558,0,1188,925,-291,2404,2189,3309,172,-1291,583,-1715,-162,0,1878,301,0,248,57,-4,0,19,19,0,0,0,107,-20,175,1874,1185,192,993,35,174,480,214
1956:Q4,8331,673,6013,264,96,256,840,189,7621,6198,846,0,577,0,710,945,-293,1948,2049,2926,173,-1049,485,465,53,0,-586,263,0,209,73,-19,0,31,31,0,0,0,92,100,67,1534,824,-105,929,24,176,510,-101
1957:Q1,8487,717,6146,272,98,267,801,187,7838,6374,869,0,595,0,649,960,-408,2016,818,2466,172,-1820,-126,-70,184,0,-174,71,0,29,57,-15,0,41,41,0,0,0,-32,8,-154,1694,1063,150,913,57,186,388,1198
1957:Q2,8565,722,6253,260,98,270,775,187,8137,6637,887,0,613,0,428,988,-392,1807,1864,3272,174,-1582,-82,1003,139,0,-1118,12,0,-11,14,9,0,52,52,0,0,0,-12,-1,-157,1500,911,-166,1077,2,189,398,-57
1957:Q3,8840,726,6339,255,100,273,952,196,7736,6196,912,0,628,0,1104,1000,-414,2518,2135,3678,177,-1720,242,-2142,19,0,2242,-140,0,-139,-41,40,0,57,57,0,0,0,55,-3,154,1962,1356,247,1109,66,191,349,382
1957:Q4,8891,727,6378,232,101,274,987,193,8420,6846,933,0,641,0,471,1002,-432,1905,1900,3239,181,-1520,318,599,41,0,-422,-180,0,-207,-49,76,0,52,52,0,0,0,100,-36,164,1838,1177,-56,1233,26,197,438,4
1958:Q1,8803,756,6447,222,98,290,802,189,8769,7131,992,0,646,0,34,994,-586,1614,513,2715,189,-2391,-352,-374,650,0,-62,-302,0,-334,-44,76,0,52,52,0,0,0,-130,34,-220,2039,1460,211,1249,51,203,325,1101
1958:Q2,8985,757,6534,227,99,291,892,186,9095,7427,1005,0,663,0,-110,1019,-660,1569,1924,3570,193,-1838,132,1186,681,0,-1758,83,0,69,-25,39,0,51,51,0,0,0,70,14,-195,1970,1143,-116,1259,37,207,583,-355
1958:Q3,9324,769,6685,258,98,293,1035,187,8563,6875,1001,0,687,0,761,1044,-640,2445,2314,3963,196,-1845,437,-1718,-379,0,2093,65,0,76,-29,18,0,53,53,0,0,0,167,35,121,2282,1541,298,1243,59,215,467,131
1958:Q4,9751,782,6856,297,100,295,1230,192,9257,7501,1037,0,719,0,494,1061,-784,2339,2025,3436,198,-1609,406,696,-146,0,-676,126,0,156,-44,14,0,56,56,0,0,0,154,-19,215,2015,1306,22,1284,33,221,455,314
1959:Q1,9722,902,6984,290,101,277,928,241,9509,7663,1084,0,762,0,213,1072,-886,2171,970,2842,198,-2070,228,1100,0,0,-1213,194,0,221,-35,8,0,61,61,0,0,0,70,-12,28,2298,1578,263,1315,25,227,468,1200
1959:Q2,9836,924,7054,318,102,278,902,259,9741,7880,1081,0,780,0,95,1077,-724,1896,2307,3706,200,-1599,526,175,58,0,-204,330,0,317,11,2,0,67,67,0,0,0,117,20,-37,2125,1258,-50,1308,63,227,577,-411
1959:Q3,10441,992,7316,282,104,284,1195,269,9147,7248,1081,0,818,0,1294,1086,-1021,3401,2170,4067,202,-2099,505,-349,-470,0,998,206,0,210,5,-9,0,66,66,0,0,0,62,-17,9,2604,1939,561,1378,43,224,398,1231
1959:Q4,10430,1006,7488,272,106,294,988,277,9942,8001,1093,0,848,0,488,1095,-844,2427,2730,3471,205,-946,910,745,2,0,-422,411,0,467,-32,-24,0,61,61,0,0,0,127,-25,11,1856,1067,-371,1438,54,218,517,-303
1960:Q1,10717,1038,7611,345,112,332,997,282,10247,8251,1106,0,889,0,470,1109,-692,2271,1637,2863,208,-1433,825,591,169,0,-422,322,0,358,-10,-26,0,52,52,0,0,0,86,36,-9,2258,1587,150,1437,38,222,411,634
1960:Q2,11002,1053,7805,316,111,352,1076,289,10669,8629,1125,0,914,0,333,1123,-772,2228,2637,3672,212,-1247,711,-28,400,0,-154,383,0,311,86,-14,0,43,43,0,0,0,61,0,6,1958,1105,-169,1274,98,230,525,-409
1960:Q3,11222,1066,7956,301,119,322,1164,294,9940,7895,1155,0,889,0,1282,1139,-808,3229,2423,4030,219,-1826,693,-350,288,0,155,449,0,264,171,14,0,44,44,0,0,0,90,-15,32,2519,1571,394,1177,79,233,636,807
1960:Q4,11251,1073,8103,287,119,317,1054,298,10820,8762,1175,0,882,0,431,1154,-735,2320,2393,3541,227,-1374,399,-226,521,0,-331,280,0,-36,257,59,0,53,53,0,0,0,102,-22,22,1773,1047,-91,1138,-10,235,501,-73
1961:Q1,11571,1087,8230,290,121,345,1196,303,11199,9084,1213,0,902,0,372,1171,-877,2419,1299,3027,238,-1966,204,-593,326,0,255,138,0,-158,237,59,0,61,61,0,0,0,-3,-16,36,2170,1449,363,1086,50,248,423,1121
1961:Q2,11763,1121,8361,311,117,355,1193,306,11666,9468,1230,0,968,0,97,1188,-793,2077,2987,3974,246,-1232,510,-141,383,0,-79,212,0,365,-171,18,0,69,69,0,0,0,82,6,-22,1742,830,-337,1167,113,243,556,-910
1961:Q3,12119,1162,8524,330,124,357,1313,310,10853,8578,1258,0,1017,0,1266,1205,-800,3270,2711,4411,252,-1951,711,-192,-24,0,556,185,0,-156,358,-17,0,71,71,0,0,0,120,30,-35,2662,1768,392,1376,38,245,611,559
