date,FU544090075.Q,FU543020075.Q,FU543034075.Q,FU542051075.Q,FU544022075.Q,FU543069175.Q,FU543061175.Q,FU543061775.Q,FU543062075.Q,FU543063075.Q,FU544023075.Q,FU543069075.Q,FU543065075.Q,FU543092375.Q,FU543064175.Q,FU543092173.Q,FU543092473.Q,FU543064275.Q,FU543040075.Q,FU543050075.Q,FU543070075.Q,FU543090075.Q,FU544194075.Q,FU544190075.Q,FU542151073.Q,FU543169373.Q,FU543192375.Q,FU543140075.Q,FU543150075.Q,FU543170075.Q,FU543178075.Q,FU543190075.Q,FU543181105.Q,FU543164175.Q,FU543192173.Q,FU543194603.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3531,-6,0,0,2743,0,1046,0,-108,1805,451,-68,519,-3,267,7,0,0,0,0,0,72,3332,3331,0,0,0,2635,400,0,-4,300,1,0,1,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3449,246,0,0,1420,0,-1595,0,-5,3020,1563,43,1520,5,150,-1,0,0,0,0,0,66,3413,3420,0,0,8,2545,500,0,-20,387,-7,0,-7,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,3626,-105,0,0,1268,0,-3228,0,263,4233,2278,120,2158,6,44,-2,0,0,0,0,0,137,3485,3496,0,0,13,2630,600,0,0,253,-11,0,-11,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
