date,FU224090045.Q,FU223020043.Q,FU223030043.Q,FU223034043.Q,FU222051043.Q,FU224022045.Q,FU223069143.Q,FU223061143.Q,FU223061743.Q,FU223062043.Q,FU223063045.Q,FU223065043.Q,FU223064145.Q,FU223064243.Q,FU223090045.Q,FU223073045.Q,FU223093043.Q,FU224190043.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,742
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,878,8,0,0,0,258,0,152,0,86,20,3,1,0,608,608,0,878
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1094,8,0,0,0,321,0,189,0,102,30,4,2,0,759,759,0,1094
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1332,6,0,0,0,419,0,213,0,129,77,10,3,0,894,894,0,1332
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1539,10,0,0,0,502,0,184,0,183,135,17,7,0,1003,1003,0,1539
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1685,18,0,0,0,624,0,241,0,200,183,23,9,0,1011,1011,0,1686
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1854,19,0,0,0,699,0,420,0,163,116,30,12,0,1094,1094,0,1855
1952:Q1,497,5,0,0,0,241,0,152,5,39,45,8,3,0,240,240,0,497
1952:Q2,510,5,0,0,0,177,0,78,5,43,51,9,4,0,315,315,0,510
1952:Q3,523,5,0,0,0,340,0,165,5,44,126,9,4,0,165,165,0,523
1952:Q4,536,5,0,0,0,198,0,61,5,45,87,10,4,0,319,319,0,536
1953:Q1,546,6,0,0,0,274,0,91,2,50,131,11,4,0,251,251,0,546
1953:Q2,558,9,0,0,0,371,0,190,1,53,127,11,5,0,162,162,0,558
1953:Q3,570,9,0,0,0,359,0,175,1,56,127,12,5,0,185,185,0,570
1953:Q4,582,7,0,0,0,223,0,30,1,61,131,13,5,0,334,334,0,582
1954:Q1,598,4,0,0,0,384,0,183,3,63,135,14,6,0,190,190,0,598
1954:Q2,611,2,0,0,0,407,0,191,3,66,147,15,6,0,181,181,0,611
1954:Q3,624,0,0,0,0,301,0,76,3,70,152,16,6,0,301,301,0,624
1954:Q4,638,-1,0,0,0,306,0,73,4,74,155,16,6,0,311,311,0,638
1955:Q1,652,-3,0,0,0,276,0,55,5,80,136,17,7,0,355,355,0,652
1955:Q2,665,-6,0,0,0,271,0,40,5,86,140,17,7,0,376,376,0,665
1955:Q3,679,-6,0,0,0,329,0,88,5,90,146,18,7,0,331,331,0,679
1955:Q4,693,-5,0,0,0,351,0,100,5,91,155,17,7,0,323,323,0,693
1956:Q1,714,1,0,0,0,455,0,213,2,93,147,18,8,0,232,232,0,714
1956:Q2,730,3,0,0,0,246,0,24,2,95,125,16,8,0,457,457,0,730
1956:Q3,746,5,0,0,0,233,0,26,2,98,107,19,9,0,480,480,0,746
1956:Q4,763,7,0,0,0,213,0,15,3,101,94,24,9,0,510,510,0,763
1957:Q1,784,10,0,0,0,345,0,117,7,104,117,30,11,0,388,388,0,784
1957:Q2,803,14,0,0,0,343,0,53,8,108,174,35,13,0,398,398,0,803
1957:Q3,821,14,0,0,0,406,0,33,7,109,257,39,13,0,349,349,0,821
1957:Q4,840,9,0,0,0,338,0,-89,8,108,311,41,14,0,438,438,0,840
1958:Q1,867,5,0,0,0,479,0,46,5,109,319,44,14,0,325,325,0,867
1958:Q2,889,3,0,0,0,242,0,-154,5,112,279,47,14,0,583,583,0,889
1958:Q3,911,0,0,0,0,379,0,10,5,108,256,50,15,0,467,467,0,911
1958:Q4,933,-1,0,0,0,409,0,61,5,95,248,55,15,0,455,455,0,933
1959:Q1,945,-3,0,0,0,407,0,81,7,85,234,56,17,0,468,468,0,945
1959:Q2,963,-7,0,0,0,319,0,24,8,76,211,55,19,0,577,577,0,963
1959:Q3,980,-7,0,0,0,506,0,224,7,68,207,64,19,0,398,398,0,980
1959:Q4,998,-6,0,0,0,386,0,112,7,59,208,81,20,0,517,517,0,998
1960:Q1,1025,2,0,0,0,493,0,201,13,54,225,99,20,0,411,411,0,1025
1960:Q2,1047,6,0,0,0,379,0,61,12,51,255,118,19,0,525,525,0,1047
1960:Q3,1069,7,0,0,0,281,0,-71,13,37,302,124,21,0,636,636,0,1069
1960:Q4,1090,7,0,0,0,439,0,58,12,13,356,117,26,0,501,501,0,1090
1961:Q1,1132,8,0,0,0,555,0,144,18,-7,400,114,32,0,423,423,0,1132
1961:Q2,1161,9,0,0,0,443,0,17,19,-25,432,116,37,0,556,556,0,1161
1961:Q3,1191,9,0,0,0,418,0,-7,19,-44,450,113,40,0,611,611,0,1191
1961:Q4,1221,8,0,0,0,333,0,-65,19,-67,446,103,43,0,734,734,0,1221
1962:Q1,1251,8,0,0,0,644,0,225,54,-88,453,94,46,0,459,459,0,1251
1962:Q2,1281,9,0,0,0,418,0,50,18,-117,467,84,49,0,721,721,0,1281
1962:Q3,1311,8,0,0,0,423,0,50,37,-128,464,81,51,0,748,748,0,1311
1962:Q4,1341,5,0,0,0,298,0,-25,15,-126,434,87,51,0,900,900,0,1341
1963:Q1,1371,4,0,0,0,417,0,100,-8,-122,447,89,50,0,811,811,0,1371
1963:Q2,1401,2,0,0,0,631,0,275,-6,-129,491,89,49,0,630,630,0,1401
1963:Q3,1431,1,0,0,0,475,0,75,-30,-127,557,92,52,0,811,811,0,1431
1963:Q4,1461,-1,0,0,0,452,0,-40,-4,-122,618,100,58,0,852,852,0,1461
1964:Q1,1491,0,0,0,0,716,0,215,-6,-110,617,104,62,0,609,609,0,1491
1964:Q2,1520,0,0,0,0,727,0,250,34,-105,548,106,66,0,621,621,0,1520
1964:Q3,1550,0,0,0,0,494,0,91,-6,-98,507,115,70,0,871,871,0,1550
1964:Q4,1580,-2,0,0,0,374,0,-36,12,-91,489,133,75,0,1000,1000,0,1580
1965:Q1,1641,0,0,0,0,799,0,387,-5,-80,497,151,80,0,611,611,0,1641
1965:Q2,1684,0,0,0,0,635,0,173,5,-72,529,168,83,0,798,798,0,1684
1965:Q3,1726,1,0,0,0,407,0,-239,104,-64,606,178,90,0,1050,1050,0,1726
1965:Q4,1769,5,0,0,0,419,0,-198,7,-59,669,179,99,0,1067,1067,0,1769
1966:Q1,1801,8,0,0,0,842,0,159,10,-46,719,190,110,0,651,651,0,1801
1966:Q2,1840,10,0,0,0,584,0,-266,120,-36,766,207,119,0,920,920,0,1840
1966:Q3,1878,14,0,0,0,896,0,120,49,-30,757,201,127,0,640,640,0,1878
1966:Q4,1917,19,0,0,0,595,0,-51,-19,-32,697,172,132,0,999,999,0,1917
1967:Q1,1997,39,0,0,0,488,0,-315,17,-20,806,165,145,0,1160,1160,0,1997
1967:Q2,2052,8,17,0,0,675,0,-154,75,-19,773,166,144,0,1042,1042,0,2052
1967:Q3,2108,-34,52,0,0,733,0,-338,15,-18,1074,78,190,0,1089,1089,0,2108
1967:Q4,2163,-78,92,0,0,949,0,-143,26,-18,1084,78,191,0,931,931,0,2163
1968:Q1,2342,62,-53,0,0,541,0,54,-27,31,483,145,270,0,1377,1377,0,2343
1968:Q2,2447,38,-33,0,0,781,0,-99,270,-65,675,121,293,0,1247,1247,0,2448
1968:Q3,2554,26,71,0,0,759,0,-97,110,12,734,6,321,0,1371,1371,0,2554
1968:Q4,2659,-52,84,0,0,920,0,-102,272,-2,752,87,433,0,1187,1187,0,2659
1969:Q1,2743,120,-178,0,0,796,0,-71,27,4,836,64,302,0,1639,1639,0,2744
1969:Q2,2840,-182,91,0,0,948,0,-35,28,-18,973,49,530,0,1404,1404,0,2841
1969:Q3,2938,14,68,0,0,1100,0,-119,87,-20,1152,75,430,0,1251,1251,0,2938
1969:Q4,3035,-20,-41,0,0,771,0,-259,14,-17,1033,25,526,0,1774,1774,0,3035
1970:Q1,3165,-73,-32,0,0,960,0,-102,26,-23,1059,75,474,0,1761,1761,0,3165
1970:Q2,3275,70,71,0,0,830,0,-156,17,-149,1118,158,561,0,1585,1585,0,3276
1970:Q3,3385,-32,-42,0,0,1333,0,95,-33,-26,1297,-19,380,0,1765,1765,0,3385
1970:Q4,3497,114,46,0,0,666,0,-170,-85,-101,1022,131,722,0,1818,1818,0,3497
1971:Q1,3733,-36,20,0,0,926,0,-224,-77,8,1219,99,692,0,2032,2032,0,3733
1971:Q2,3894,68,-53,0,0,758,0,-454,-14,2,1224,151,763,0,2207,2207,0,3894
1971:Q3,4054,30,-6,0,0,639,0,-55,48,8,638,8,961,0,2422,2422,0,4055
1971:Q4,4215,98,-26,0,0,583,0,-475,96,102,860,110,769,0,2681,2681,0,4216
1972:Q1,4434,155,-109,0,0,1060,0,-263,124,77,1122,21,513,0,2794,2794,0,4434
1972:Q2,4617,44,-6,0,0,1060,0,90,132,237,601,-52,904,0,2667,2667,0,4617
1972:Q3,4801,-24,32,0,0,1077,0,-80,144,-343,1356,83,1110,0,2523,2523,0,4801
1972:Q4,4985,44,126,0,0,1173,0,-46,161,-94,1152,130,1150,0,2362,2362,0,4985
1973:Q1,5092,-155,113,0,0,1227,0,90,179,-407,1365,162,1347,0,2398,2398,0,5092
1973:Q2,5245,52,125,0,0,1286,0,-227,196,-86,1403,189,840,0,2753,2753,0,5245
1973:Q3,5399,-64,231,0,0,1474,0,-432,360,114,1432,67,561,0,3130,3130,0,5399
1973:Q4,5552,-56,140,0,0,1025,0,-520,494,41,1010,253,663,0,3527,3527,0,5552
1974:Q1,5705,-185,87,0,0,1265,0,-668,483,154,1296,136,735,0,3667,3667,0,5705
1974:Q2,5858,-54,296,0,0,1673,0,46,328,-401,1700,53,538,0,3352,3352,0,5858
1974:Q3,6012,-35,190,0,0,1850,0,-371,256,-196,2161,93,264,0,3650,3650,0,6012
1974:Q4,6165,-16,170,0,0,926,0,70,182,-265,939,279,1032,0,3774,3774,0,6165
1975:Q1,6373,63,268,0,0,1808,0,-26,136,-194,1892,3,407,0,3824,3824,0,6373
1975:Q2,6548,15,-123,0,0,2380,0,656,117,-61,1668,105,499,0,3672,3672,0,6548
1975:Q3,6723,-36,-346,0,0,1876,0,333,209,178,1156,65,727,0,4437,4437,0,6723
1975:Q4,6898,-21,-171,0,0,2966,0,-8,209,1034,1731,-333,755,0,3702,3702,0,6898
1976:Q1,6911,-10,-106,0,0,2342,0,518,282,253,1289,1,532,0,4152,4152,0,6911
1976:Q2,7022,20,68,0,0,3631,0,574,319,957,1781,80,829,0,2394,2394,0,7022
1976:Q3,7132,-31,-78,0,0,2281,0,268,420,233,1360,2,824,0,4134,4134,0,7132
1976:Q4,7242,12,93,0,0,991,0,157,561,-23,296,107,931,0,5108,5108,0,7242
1977:Q1,7558,-30,-50,0,0,1500,0,655,1576,-488,-243,-48,808,0,5378,5378,0,7558
1977:Q2,7751,64,303,0,0,3081,0,1856,207,756,262,180,808,0,3315,3315,0,7751
1977:Q3,7944,20,82,0,0,3255,0,189,220,-72,2918,-242,1022,0,3807,3807,0,7943
1977:Q4,8137,-40,-67,0,0,3380,0,3,746,-12,2643,419,1040,0,3405,3405,0,8136
1978:Q1,8274,52,342,0,0,3289,0,864,1383,-158,1200,41,641,0,3909,3909,0,8274
1978:Q2,8444,55,285,0,0,4486,0,1471,383,346,2286,164,632,0,2822,2822,0,8444
1978:Q3,8615,32,393,0,0,3455,0,448,570,-64,2501,161,716,0,3858,3858,0,8615
1978:Q4,8785,-34,-82,0,0,5004,0,-89,2044,283,2766,179,640,0,3078,3078,0,8785
1979:Q1,9055,74,393,0,0,1962,0,1223,467,122,150,211,268,0,6147,6147,0,9055
1979:Q2,9266,20,97,0,0,4382,0,2650,64,-206,1874,220,747,0,3800,3800,0,9266
1979:Q3,9476,5,211,0,0,972,0,-40,-431,13,1430,305,2015,0,5968,5968,0,9476
1979:Q4,9687,82,403,0,0,2230,0,1419,1295,30,-514,282,1118,0,5572,5572,0,9687
1980:Q1,9910,50,111,0,0,5442,0,1453,621,191,3177,450,896,0,2961,2943,18,9911
1980:Q2,10126,48,-13,0,0,7475,0,1423,1802,-76,4326,241,879,0,1496,1479,17,10127
1980:Q3,10342,-75,3,0,0,3769,0,2417,269,-104,1187,302,1303,0,5040,5022,18,10343
1980:Q4,10558,14,125,0,0,2643,0,928,1031,138,546,293,2254,0,5229,5212,17,10559
1981:Q1,11082,181,423,0,0,3193,0,1505,1118,-139,709,276,1108,0,5901,5883,18,11083
1981:Q2,11422,-68,-346,0,0,6782,0,2099,747,75,3861,436,2132,0,2486,2469,17,11423
1981:Q3,11761,27,535,0,0,3687,0,684,1173,-136,1966,598,2675,0,4239,4221,18,11762
1981:Q4,12100,-119,-483,0,0,6503,0,2349,2129,-3,2028,319,1155,0,4725,4707,18,12102
1982:Q1,12525,28,159,0,0,5986,0,1981,2987,-205,1223,471,1488,0,4393,4363,30,12526
1982:Q2,12898,108,638,0,0,6139,0,2872,656,197,2414,236,553,0,5224,5193,31,12899
1982:Q3,13271,76,473,0,0,5709,0,3432,3446,-298,-871,441,-761,0,7333,7302,31,13272
1982:Q4,13645,145,909,0,0,2636,0,1049,2971,-419,-965,106,4746,0,5103,5072,31,13646
1983:Q1,14084,221,1358,0,164,3147,164,2914,1029,-768,-192,210,4911,0,4073,4038,35,14086
1983:Q2,14484,24,407,0,242,4464,242,3860,817,120,-575,116,3315,0,5916,5864,52,14486
1983:Q3,14884,-65,-452,0,289,-1713,289,2606,250,-60,-4798,50,6421,0,10354,10283,71,14886
1983:Q4,15284,239,1480,0,305,1353,305,2632,2846,-423,-4007,502,5341,0,6064,5977,87,15286
1984:Q1,15159,223,1319,0,321,6559,321,5651,940,151,-504,75,1780,0,4882,4917,-35,15161
1984:Q2,15349,167,989,0,336,10623,336,4616,-1391,113,6949,209,458,0,2567,2602,-35,15351
1984:Q3,15538,213,1634,0,383,7817,383,5154,691,-196,1785,26,2769,0,2696,2713,-17,15541
1984:Q4,15728,-4,-767,0,460,8743,460,3583,3816,-534,1418,294,2266,0,4736,4789,-53,15731
1985:Q1,16219,340,2125,0,539,-678,539,5908,187,16,-7328,64,5267,0,8562,8545,17,16222
1985:Q2,16529,547,529,0,617,5560,617,3368,-2654,-272,4501,26,9868,0,-619,-637,18,16532
1985:Q3,16840,-390,-465,0,664,8518,664,2720,715,-53,4472,-24,4096,0,4441,4405,36,16843
1985:Q4,17150,-145,-822,1427,680,5742,680,5473,-3432,-97,3118,-12,9339,0,941,891,50,17153
1986:Q1,17461,-51,745,67,714,6042,714,9645,-3223,-190,-904,91,6310,2,3541,3442,99,17465
1986:Q2,17772,-100,111,-14,766,7434,766,3479,1123,258,1808,-203,4920,-663,5521,5430,91,17776
1986:Q3,18083,299,-2588,107,875,12788,875,6097,1881,-161,4096,167,6459,-852,828,837,-9,18087
1986:Q4,18394,583,-1704,138,915,18217,915,10725,242,-326,6661,186,6350,-397,-5894,-5925,31,18398
1987:Q1,18831,627,-2488,32,941,11563,941,7486,1770,-156,1522,-217,8554,1675,-1856,-1924,68,18836
1987:Q2,19193,592,-1650,128,959,6084,959,6688,1394,53,-3010,-105,11386,1541,258,263,-5,19198
1987:Q3,19555,411,-734,52,759,4291,759,5911,1616,41,-4036,180,8206,1529,4861,5007,-146,19560
1987:Q4,19916,132,197,78,343,9962,343,3452,34,161,5972,-77,4226,-822,5877,5925,-48,19921
1988:Q1,20244,8,545,97,-25,4055,-25,4704,-2634,-141,2151,117,6115,-377,9709,9753,-44,20251
1988:Q2,20593,243,104,158,-347,8113,-347,-630,-759,75,9774,189,3894,-306,8545,8589,-44,20600
1988:Q3,20941,-359,623,56,-432,5250,-432,5800,-11,-120,13,-51,9023,-935,7766,7737,29,20948
