date,FU506006403.Q,FU504090005.Q,FU503020005.Q,FU503034005.Q,FU502051005.Q,FU504022005.Q,FU503069105.Q,FU503061123.Q,FU503063005.Q,FU503062003.Q,FU503069005.Q,FU503064105.Q,FU503094505.Q,FU503093023.Q,FU504194005.Q,FU504190005.Q,FU504122005.Q,FU503169105.Q,FU503163003.Q,FU504123005.Q,FU713068505.Q,FU503169005.Q,FU503192305.Q,FU503190005.Q,FU663070675.Q,FU503193005.Q,FU503181105.Q,FU503164105.Q,FU503192103.Q,FU503194305.Q,FU503194205.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,94,0,0,0,94,94,0,0,0,0,0,0,0,94,94,0,0,0,0,0,0,0,94,0,94,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,19,0,0,0,19,19,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,19,0,19,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,130,0,0,0,130,130,0,0,0,0,0,0,0,130,130,0,0,0,0,0,0,0,130,0,130,0,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,77,0,0,0,77,77,0,0,0,0,0,0,0,77,77,0,0,0,0,0,0,0,77,0,77,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,146,0,0,0,146,146,0,0,0,0,0,0,0,146,146,0,0,0,0,0,0,0,146,0,146,0,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,0,371,0,0,0,371,371,0,0,0,0,0,0,0,371,371,0,0,0,0,0,0,0,371,0,371,0,0,0,0,0
1952:Q1,0,192,0,0,0,192,192,0,0,0,0,0,0,0,192,192,0,0,0,0,0,0,0,192,0,192,0,0,0,0,0
1952:Q2,0,-96,0,0,0,-96,-96,0,0,0,0,0,0,0,-96,-96,0,0,0,0,0,0,0,-96,0,-96,0,0,0,0,0
1952:Q3,0,149,0,0,0,149,149,0,0,0,0,0,0,0,149,149,0,0,0,0,0,0,0,149,0,149,0,0,0,0,0
1952:Q4,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0
1953:Q1,0,234,0,0,0,234,234,0,0,0,0,0,0,0,234,234,0,0,0,0,0,0,0,234,0,234,0,0,0,0,0
1953:Q2,0,-67,0,0,0,-67,-67,0,0,0,0,0,0,0,-67,-67,0,0,0,0,0,0,0,-67,0,-67,0,0,0,0,0
1953:Q3,0,174,0,0,0,174,174,0,0,0,0,0,0,0,174,174,0,0,0,0,0,0,0,174,0,174,0,0,0,0,0
1953:Q4,0,-73,0,0,0,-73,-73,0,0,0,0,0,0,0,-73,-73,0,0,0,0,0,0,0,-73,0,-73,0,0,0,0,0
1954:Q1,0,124,0,0,0,124,124,0,0,0,0,0,0,0,124,124,0,0,0,0,0,0,0,124,0,124,0,0,0,0,0
1954:Q2,0,-130,0,0,0,-130,-130,0,0,0,0,0,0,0,-130,-130,0,0,0,0,0,0,0,-130,0,-130,0,0,0,0,0
1954:Q3,0,4,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0
1954:Q4,0,-223,0,0,0,-223,-223,0,0,0,0,0,0,0,-223,-223,0,0,0,0,0,0,0,-223,0,-223,0,0,0,0,0
1955:Q1,0,307,0,0,0,307,307,0,0,0,0,0,0,0,307,307,0,0,0,0,0,0,0,307,0,307,0,0,0,0,0
1955:Q2,0,92,0,0,0,92,92,0,0,0,0,0,0,0,92,92,0,0,0,0,0,0,0,92,0,92,0,0,0,0,0
1955:Q3,0,59,0,0,0,59,59,0,0,0,0,0,0,0,59,59,0,0,0,0,0,0,0,59,0,59,0,0,0,0,0
1955:Q4,0,-162,0,0,0,-162,-162,0,0,0,0,0,0,0,-162,-162,0,0,0,0,0,0,0,-162,0,-162,0,0,0,0,0
1956:Q1,0,522,0,0,0,522,522,0,0,0,0,0,0,0,522,522,0,0,0,0,0,0,0,522,0,522,0,0,0,0,0
1956:Q2,0,-187,0,0,0,-187,-187,0,0,0,0,0,0,0,-187,-187,0,0,0,0,0,0,0,-187,0,-187,0,0,0,0,0
1956:Q3,0,-59,0,0,0,-59,-59,0,0,0,0,0,0,0,-59,-59,0,0,0,0,0,0,0,-59,0,-59,0,0,0,0,0
1956:Q4,0,-193,0,0,0,-193,-193,0,0,0,0,0,0,0,-193,-193,0,0,0,0,0,0,0,-193,0,-193,0,0,0,0,0
1957:Q1,0,428,0,0,0,428,428,0,0,0,0,0,0,0,428,428,0,0,0,0,0,0,0,428,0,428,0,0,0,0,0
1957:Q2,0,-213,0,0,0,-213,-213,0,0,0,0,0,0,0,-213,-213,0,0,0,0,0,0,0,-213,0,-213,0,0,0,0,0
1957:Q3,0,89,0,0,0,89,89,0,0,0,0,0,0,0,89,89,0,0,0,0,0,0,0,89,0,89,0,0,0,0,0
1957:Q4,0,6,0,0,0,6,6,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0
1958:Q1,0,294,0,0,0,294,294,0,0,0,0,0,0,0,294,294,0,0,0,0,0,0,0,294,0,294,0,0,0,0,0
1958:Q2,0,85,0,0,0,85,85,0,0,0,0,0,0,0,85,85,0,0,0,0,0,0,0,85,0,85,0,0,0,0,0
1958:Q3,0,18,0,0,0,18,18,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,18,0,18,0,0,0,0,0
1958:Q4,0,-302,0,0,0,-302,-302,0,0,0,0,0,0,0,-302,-302,0,0,0,0,0,0,0,-302,0,-302,0,0,0,0,0
1959:Q1,0,130,0,0,0,130,130,0,0,0,0,0,0,0,130,130,0,0,0,0,0,0,0,130,0,130,0,0,0,0,0
1959:Q2,0,18,0,0,0,18,18,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,18,0,18,0,0,0,0,0
1959:Q3,0,217,0,0,0,217,217,0,0,0,0,0,0,0,217,217,0,0,0,0,0,0,0,217,0,217,0,0,0,0,0
1959:Q4,0,-491,0,0,0,-491,-491,0,0,0,0,0,0,0,-491,-491,0,0,0,0,0,0,0,-491,0,-491,0,0,0,0,0
1960:Q1,0,1161,0,0,0,1161,1161,0,0,0,0,0,0,0,1161,1161,0,0,0,0,0,0,0,1161,0,1161,0,0,0,0,0
1960:Q2,0,48,0,0,0,48,48,0,0,0,0,0,0,0,48,48,0,0,0,0,0,0,0,48,0,48,0,0,0,0,0
1960:Q3,0,83,0,0,0,83,83,0,0,0,0,0,0,0,83,83,0,0,0,0,0,0,0,83,0,83,0,0,0,0,0
1960:Q4,0,-324,0,0,0,-324,-324,0,0,0,0,0,0,0,-324,-324,0,0,0,0,0,0,0,-324,0,-324,0,0,0,0,0
1961:Q1,0,561,0,0,0,561,561,0,0,0,0,0,0,0,561,561,0,0,0,0,0,0,0,561,0,561,0,0,0,0,0
1961:Q2,0,-126,0,0,0,-126,-126,0,0,0,0,0,0,0,-126,-126,0,0,0,0,0,0,0,-126,0,-126,0,0,0,0,0
1961:Q3,0,5,0,0,0,5,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0
1961:Q4,0,-805,0,0,0,-805,-805,0,0,0,0,0,0,0,-805,-805,0,0,0,0,0,0,0,-805,0,-805,0,0,0,0,0
1962:Q1,0,1044,0,0,0,1044,1044,0,0,0,0,0,0,0,1044,1044,0,0,0,0,0,0,0,1044,0,1044,0,0,0,0,0
1962:Q2,0,-47,0,0,0,-47,-47,0,0,0,0,0,0,0,-47,-47,0,0,0,0,0,0,0,-47,0,-47,0,0,0,0,0
1962:Q3,0,255,0,0,0,255,255,0,0,0,0,0,0,0,255,255,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0
1962:Q4,0,-332,0,0,0,-332,-332,0,0,0,0,0,0,0,-332,-332,0,0,0,0,0,0,0,-332,0,-332,0,0,0,0,0
1963:Q1,0,883,0,0,0,883,883,0,0,0,0,0,0,0,883,883,0,0,0,0,0,0,0,883,0,883,0,0,0,0,0
1963:Q2,0,485,0,0,0,485,485,0,0,0,0,0,0,0,485,485,0,0,0,0,0,0,0,485,0,485,0,0,0,0,0
1963:Q3,0,390,0,0,0,390,390,0,0,0,0,0,0,0,390,390,0,0,0,0,0,0,0,390,0,390,0,0,0,0,0
1963:Q4,0,-538,0,0,0,-538,-538,0,0,0,0,0,0,0,-538,-538,0,0,0,0,0,0,0,-538,0,-538,0,0,0,0,0
1964:Q1,0,437,0,0,0,437,437,0,0,0,0,0,0,0,437,437,0,0,0,0,0,0,0,437,0,437,0,0,0,0,0
1964:Q2,0,798,0,0,0,798,798,0,0,0,0,0,0,0,798,798,0,0,0,0,0,0,0,798,0,798,0,0,0,0,0
1964:Q3,0,-433,0,0,0,-433,-433,0,0,0,0,0,0,0,-433,-433,0,0,0,0,0,0,0,-433,0,-433,0,0,0,0,0
1964:Q4,0,150,0,0,0,150,150,0,0,0,0,0,0,0,150,150,0,0,0,0,0,0,0,150,0,150,0,0,0,0,0
1965:Q1,0,1163,0,0,0,1163,1163,0,0,0,0,0,0,0,1163,1163,0,0,0,0,0,0,0,1163,0,1163,0,0,0,0,0
1965:Q2,0,497,0,0,0,497,497,0,0,0,0,0,0,0,497,497,0,0,0,0,0,0,0,497,0,497,0,0,0,0,0
1965:Q3,0,-255,0,0,0,-255,-255,0,0,0,0,0,0,0,-255,-255,0,0,0,0,0,0,0,-255,0,-255,0,0,0,0,0
1965:Q4,0,-319,0,0,0,-319,-319,0,0,0,0,0,0,0,-319,-319,0,0,0,0,0,0,0,-319,0,-319,0,0,0,0,0
1966:Q1,0,705,0,0,0,705,705,0,0,0,0,0,0,0,705,705,0,0,0,0,0,0,0,705,0,705,0,0,0,0,0
1966:Q2,0,66,0,0,0,66,66,0,0,0,0,0,0,0,66,66,0,0,0,0,0,0,0,66,0,66,0,0,0,0,0
1966:Q3,0,945,0,0,0,945,945,0,0,0,0,0,0,0,945,945,0,0,0,0,0,0,0,945,0,945,0,0,0,0,0
1966:Q4,0,805,0,0,0,805,805,0,0,0,0,0,0,0,805,805,0,0,0,0,0,0,0,805,0,805,0,0,0,0,0
1967:Q1,0,1526,0,0,0,1526,1526,0,0,0,0,0,0,0,1526,1526,0,0,0,0,0,0,0,1526,0,1526,0,0,0,0,0
1967:Q2,0,20,0,0,0,20,20,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0
1967:Q3,0,-801,0,0,0,-801,-801,0,0,0,0,0,0,0,-801,-801,0,0,0,0,0,0,0,-801,0,-801,0,0,0,0,0
1967:Q4,0,1151,0,0,0,1151,1151,0,0,0,0,0,0,0,1151,1151,0,0,0,0,0,0,0,1151,0,1151,0,0,0,0,0
1968:Q1,-7,995,0,0,0,995,995,0,0,0,0,0,0,0,1002,1002,0,0,0,0,0,0,0,1002,0,1002,0,0,0,0,0
1968:Q2,-9,-30,0,0,0,-30,-30,0,0,0,0,0,0,0,-21,-21,0,0,0,0,0,0,0,-21,0,-21,0,0,0,0,0
1968:Q3,-8,457,0,0,0,457,457,0,0,0,0,0,0,0,465,465,0,0,0,0,0,0,0,465,0,465,0,0,0,0,0
1968:Q4,-5,811,0,0,0,811,811,0,0,0,0,0,0,0,816,816,0,0,0,0,0,0,0,816,0,816,0,0,0,0,0
1969:Q1,-6,1079,0,0,0,1079,1079,0,0,0,0,0,0,0,1085,1085,0,0,0,0,0,0,0,1085,0,1085,0,0,0,0,0
1969:Q2,-5,1542,0,0,0,1542,1542,0,0,0,0,0,0,0,1547,1547,0,0,0,0,0,0,0,1547,0,1547,0,0,0,0,0
