date,FU086902005.Q,FU156901001.Q,FU155011001.Q,FU156901035.Q,FU156901041.Q,FU835019905.Q,FU835019005.Q,FU835013001.Q,FU165013005.Q,FU105013005.Q,FU115013005.Q,FU795013005.Q,FU835012001.Q,FU155012005.Q,FU105012005.Q,FU115012005.Q,FU145020005.Q,FU105020005.Q,FU115020005.Q,FU266903005.Q,FU266903011.Q,FU266903001.Q,FU366902005.Q,FU366901005.Q,FU316901001.Q,FU216901001.Q,FU365019005.Q,FU315019001.Q,FU215019001.Q,FU266904005.Q,FU266904001.Q,FU266904101.Q,FU086902105.Q,FU155420003.Q,FU105420005.Q,FU315420003.Q,FU215420003.Q,FU265420005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,227707,144198,17114,69131,57953,33129,27118,19163,597,13315,4708,543,7955,6794,46,1115,6011,5891,120,7182,14156,6974,43198,38490,28982,9508,4708,3079,1629,652,1092,440,228359,0,-70,0,70,-0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,249619,161852,21833,77596,62423,37132,37682,25473,747,17224,6877,625,12209,10394,72,1743,-550,1141,-1691,10807,18740,7933,39828,34142,22940,11202,5686,2796,2890,1110,1597,487,250729,0,-90,0,90,-0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
