date,FU263191005.Q,FU153091003.Q,FU103091003.Q,FU633091003.Q,FU733091003.Q,FU903091005.Q
1945:Q4,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND
1946:Q4,35,0,35,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND
1947:Q4,-17,0,-17,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND
1948:Q4,-41,0,-41,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND
1950:Q4,47,0,47,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND
1951:Q4,34,0,34,0,0,0
1952:Q1,-7,0,-7,0,0,0
1952:Q2,18,0,18,0,0,0
1952:Q3,-4,0,-4,0,0,0
1952:Q4,-23,0,-23,0,0,0
1953:Q1,27,0,27,0,0,0
1953:Q2,-28,0,-28,0,0,0
1953:Q3,11,0,11,0,0,0
1953:Q4,29,0,29,0,0,0
1954:Q1,1,0,1,0,0,0
1954:Q2,13,0,13,0,0,0
1954:Q3,22,0,22,0,0,0
1954:Q4,8,0,8,0,0,0
1955:Q1,-11,0,-11,0,0,0
1955:Q2,-20,0,-20,0,0,0
1955:Q3,-4,0,-4,0,0,0
1955:Q4,6,0,6,0,0,0
1956:Q1,-34,0,-34,0,0,0
1956:Q2,46,0,46,0,0,0
1956:Q3,-22,0,-22,0,0,0
1956:Q4,19,0,19,0,0,0
1957:Q1,60,0,60,0,0,0
1957:Q2,-22,0,-22,0,0,0
1957:Q3,-23,0,-23,0,0,0
1957:Q4,-22,0,-22,0,0,0
1958:Q1,29,0,29,0,0,0
1958:Q2,-28,0,-28,0,0,0
1958:Q3,40,0,40,0,0,0
1958:Q4,-23,0,-23,0,0,0
1959:Q1,-6,0,-6,0,0,0
1959:Q2,-6,0,-6,0,0,0
1959:Q3,8,0,8,0,0,0
1959:Q4,-13,0,-13,0,0,0
1960:Q1,-11,0,-11,0,0,0
1960:Q2,19,0,19,0,0,0
1960:Q3,51,0,51,0,0,0
1960:Q4,-56,0,-56,0,0,0
1961:Q1,41,0,41,0,0,0
