date,FU383162005.Q,FU213162005.Q,FU213162400.Q,FU213162200.Q,FU163162003.Q,FU103162000.Q,FU893062005.Q,FU153062005.Q,FU103062003.Q,FU113062003.Q,FU213062003.Q,FU763062000.Q,FU753062003.Q,FU743062003.Q,FU473062005.Q,FU513062005.Q,FU543062005.Q,FU343062033.Q,FU223062043.Q,FU633062000.Q,FU653062003.Q,FU553062003.Q,FU563062003.Q,FU403062005.Q,FU663062003.Q,FU503062003.Q,FU263062003.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,69,69,1,68,0,0,69,-52,61,0,-305,395,6,-2,0,-12,-108,0,86,0,0,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1611,1611,199,1412,0,0,1611,641,37,0,-39,886,6,2,0,78,-5,0,102,0,0,0,0,0,-97,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1334,1334,165,1169,0,0,1334,171,102,0,20,388,6,2,0,229,263,0,129,0,0,0,0,0,24,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,986,986,204,782,0,0,986,-905,33,0,313,902,11,0,0,284,180,0,183,0,0,0,0,0,-15,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,4525,4525,393,4132,0,0,4525,1741,167,0,284,1571,8,20,0,316,100,0,200,0,0,0,0,0,118,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,2115,2115,312,1803,0,0,2115,275,192,0,29,1128,15,5,0,304,-10,0,163,0,0,0,0,0,14,0,0
1952:Q1,2246,2246,201,2045,0,0,2246,1759,-19,0,32,389,4,1,0,134,-9,0,39,0,0,0,0,0,-84,0,0
1952:Q2,2464,2464,-87,2551,0,0,2464,2336,-337,0,12,367,7,0,0,146,-10,0,43,0,0,0,0,0,-100,0,0
1952:Q3,1215,1215,163,1052,0,0,1215,771,90,0,8,385,-4,0,0,11,40,0,44,0,0,0,0,0,-130,0,0
1952:Q4,962,962,-84,1046,0,0,962,351,235,0,-2,50,4,1,0,130,-10,0,45,0,0,0,0,0,158,0,0
1953:Q1,1564,1564,127,1437,0,0,1564,918,52,0,3,414,0,1,0,154,50,0,50,0,0,0,0,0,-78,0,0
1953:Q2,1158,1158,-128,1286,0,0,1158,868,68,0,30,-15,9,1,0,179,15,0,53,0,0,0,0,0,-50,0,0
1953:Q3,1416,1416,214,1202,0,0,1416,799,88,0,59,168,5,1,0,200,40,0,56,0,0,0,0,0,0,0,0
1953:Q4,1217,1217,-44,1261,0,0,1217,331,-16,0,90,158,7,1,0,215,40,0,61,0,0,0,0,0,330,0,0
1954:Q1,1504,1504,189,1315,0,0,1504,513,-42,0,91,635,-4,1,0,212,165,0,63,0,0,0,0,0,-130,0,0
1954:Q2,1350,1350,-104,1454,0,0,1350,292,-41,0,57,583,-6,2,0,203,194,0,66,0,0,0,0,0,0,0,0
1954:Q3,1510,1510,159,1351,0,0,1510,568,75,0,27,448,-4,2,0,190,134,0,70,0,0,0,0,0,0,0,0
1954:Q4,1287,1287,-134,1421,0,0,1287,718,-25,0,-1,279,6,1,0,180,55,0,74,0,0,0,0,0,0,0,0
1955:Q1,1492,1492,105,1387,0,0,1492,520,93,0,-11,474,12,1,0,185,138,0,80,0,0,0,0,0,0,0,0
1955:Q2,1112,1112,-188,1300,0,0,1112,1025,-6,0,-1,-217,31,0,0,194,0,0,86,0,0,0,0,0,0,0,0
1955:Q3,1401,1401,202,1199,0,0,1401,851,150,0,8,43,24,0,0,203,32,0,90,0,0,0,0,0,0,0,0
1955:Q4,1029,1029,-91,1120,0,0,1029,814,10,0,16,-150,16,0,0,210,22,0,91,0,0,0,0,0,0,0,0
1956:Q1,1235,1235,156,1079,0,0,1235,395,275,0,16,119,-20,1,0,201,155,0,93,0,0,0,0,0,0,0,0
1956:Q2,921,921,-149,1070,0,0,921,867,-161,0,8,44,-14,1,0,188,-7,0,95,0,0,0,0,0,-100,0,0
1956:Q3,1185,1185,192,993,0,0,1185,872,-38,0,-4,134,-17,2,0,173,65,0,98,0,0,0,0,0,-100,0,0
1956:Q4,824,824,-105,929,0,0,824,592,47,0,-19,-65,-15,2,0,159,22,0,101,0,0,0,0,0,0,0,0
1957:Q1,1063,1063,150,913,0,0,1063,637,77,0,-15,176,9,2,0,157,16,0,104,0,0,0,0,0,-100,0,0
1957:Q2,911,911,-166,1077,0,0,911,275,-16,0,9,240,0,2,0,160,33,0,108,0,0,0,0,0,100,0,0
1957:Q3,1356,1356,247,1109,0,0,1356,714,107,0,40,195,-2,2,0,165,26,0,109,0,0,0,0,0,0,0,0
1957:Q4,1177,1177,-56,1233,0,0,1177,325,-31,0,76,413,-15,2,0,171,28,0,108,0,0,0,0,0,100,0,0
1958:Q1,1460,1460,211,1249,0,0,1460,531,-262,0,76,629,-3,2,0,169,84,0,109,0,0,0,0,0,125,0,0
1958:Q2,1143,1143,-116,1259,0,0,1143,-1065,465,0,39,1304,0,2,0,167,74,0,112,0,0,0,0,0,45,0,0
1958:Q3,1541,1541,298,1243,0,0,1541,477,297,0,18,547,-1,2,0,169,79,0,108,0,0,0,0,0,-155,0,0
1958:Q4,1306,1306,22,1284,0,0,1306,822,-21,0,14,154,-4,2,0,176,68,0,95,0,0,0,0,0,0,0,0
1959:Q1,1578,1578,263,1315,0,0,1578,845,0,0,8,230,-1,0,0,204,147,0,85,0,0,0,0,0,60,0,0
1959:Q2,1258,1258,-50,1308,0,0,1258,608,51,0,2,146,0,0,0,237,163,0,76,0,0,0,0,0,-25,0,0
1959:Q3,1939,1939,561,1378,0,0,1939,990,446,0,-9,92,0,0,0,265,157,0,68,0,0,0,0,0,-70,0,0
1959:Q4,1067,1067,-371,1438,0,0,1067,1304,-661,0,-24,-68,1,-2,0,284,52,0,59,0,0,0,0,0,122,0,0
1960:Q1,1587,1587,150,1437,0,0,1587,610,655,0,-26,-25,-1,1,0,261,84,0,54,0,0,0,0,0,-26,0,0
1960:Q2,1105,1105,-169,1274,0,0,1105,1100,-270,0,-14,-243,-1,1,0,227,73,0,51,0,0,0,0,0,181,0,0
1960:Q3,1571,1571,394,1177,0,0,1571,431,369,0,14,384,-3,1,0,192,153,0,37,0,0,0,0,0,-7,0,0
1960:Q4,1047,1047,-91,1138,0,0,1047,504,-166,0,59,446,-2,0,0,165,78,0,13,0,0,0,0,0,-50,0,0
1961:Q1,1449,1449,363,1086,0,0,1449,-238,398,0,59,894,4,1,0,190,105,0,-7,0,0,0,0,0,43,0,0
1961:Q2,830,830,-337,1167,0,0,830,841,2,0,18,-333,3,1,0,227,35,0,-25,0,0,0,0,0,61,0,0
1961:Q3,1768,1768,392,1376,0,0,1768,-430,409,0,-17,1526,9,1,0,265,80,0,-44,0,0,0,0,0,-31,0,0
1961:Q4,1331,1331,-182,1513,0,0,1331,1326,-796,0,-44,694,-13,0,0,291,80,0,-67,0,0,0,0,0,-140,0,0
1962:Q1,1688,1688,208,1480,0,0,1688,-1037,981,0,-51,1326,36,0,0,224,151,0,-88,0,0,0,0,0,146,0,0
1962:Q2,1166,1166,-166,1332,0,0,1166,-85,-307,0,-33,1399,48,0,0,217,-15,0,-117,0,0,0,0,0,59,0,0
1962:Q3,1349,1349,-55,1404,0,0,1349,468,-13,0,-37,909,6,0,0,208,49,0,-128,0,0,0,0,0,-113,0,0
1962:Q4,1248,1248,2,1246,0,0,1248,235,-359,0,-69,1331,-13,-1,0,199,-47,0,-126,0,0,0,0,0,98,0,0
1963:Q1,1176,1176,-174,1350,0,0,1176,-422,669,0,-80,823,-5,4,0,193,3,0,-122,0,0,0,0,0,113,0,0
1963:Q2,1748,1748,438,1310,0,0,1748,-23,400,0,-59,1465,-21,7,0,191,-90,0,-129,0,0,0,0,0,7,0,0
1963:Q3,1175,1175,59,1116,0,0,1175,-514,805,0,-48,1131,-43,7,0,176,-63,0,-127,0,0,0,0,0,-149,0,0
1963:Q4,1141,1141,123,1018,0,0,1141,966,-784,0,-52,1006,-19,3,0,147,-24,0,-122,0,0,0,0,0,20,0,0
1964:Q1,1137,1137,34,1103,0,0,1137,381,37,0,-53,772,-4,1,0,116,-9,0,-110,0,0,0,0,0,6,0,0
1964:Q2,1771,1771,533,1238,0,0,1771,637,514,0,-38,644,1,0,0,83,-41,0,-105,0,0,0,0,0,76,0,0
1964:Q3,1812,1812,397,1415,0,0,1812,1026,-547,0,-18,1263,16,0,0,73,20,0,-98,0,0,0,0,0,77,0,0
1964:Q4,1400,1400,-203,1603,0,0,1400,716,-111,0,-2,834,-3,-1,0,86,-48,0,-91,0,0,0,0,0,20,0,0
1965:Q1,1501,1501,-200,1701,0,0,1501,-1083,1209,0,-2,1348,-1,2,0,79,-28,0,-80,0,0,0,0,0,57,0,0
1965:Q2,2197,2197,620,1577,0,0,2197,21,566,0,-14,1628,1,2,0,52,-72,0,-72,0,0,0,0,0,85,0,0
1965:Q3,2047,2047,403,1644,0,0,2047,1123,-269,0,-18,1342,9,3,0,81,-79,0,-64,0,0,0,0,0,-81,0,0
1965:Q4,1492,1492,-205,1697,0,0,1492,1616,-586,0,-22,732,5,5,0,167,-65,0,-59,0,0,0,0,0,-301,0,0
1966:Q1,1445,1445,-232,1677,0,0,1445,1135,-532,0,-26,947,-6,7,0,77,9,0,-46,0,0,0,0,0,-120,0,0
1966:Q2,2299,2299,776,1523,0,0,2299,1112,-8,0,-22,976,-7,10,0,162,-173,0,-36,0,0,0,0,0,285,0,0
1966:Q3,1383,1383,185,1198,0,0,1383,280,446,0,-7,812,15,10,0,197,-46,0,-30,0,0,0,0,0,-294,0,0
1966:Q4,1109,1109,-68,1177,0,0,1109,2093,-867,0,13,-455,14,7,0,255,-60,0,-32,0,0,0,0,0,141,0,0
1967:Q1,1232,1232,-110,1342,0,0,1232,-1473,-294,0,8,2393,10,5,0,328,-43,0,-20,0,0,0,0,0,318,0,0
1967:Q2,2321,2321,943,1378,0,0,2321,-1357,-23,0,3,3473,29,3,0,417,-60,0,-19,0,0,0,0,0,-145,0,0
1967:Q3,2124,2124,816,1308,0,0,2124,932,-216,0,-9,1167,43,2,0,420,-28,0,-18,0,0,0,0,0,-169,0,0
1967:Q4,1474,1474,174,1300,0,0,1474,-1054,194,0,-2,1937,26,1,0,337,16,0,-18,0,0,0,0,0,37,0,0
1968:Q1,1485,1485,74,1411,0,0,1485,-1071,990,0,-40,1336,-3,2,0,262,30,0,31,0,0,0,0,0,-52,0,0
1968:Q2,2149,2149,353,1796,0,0,2149,1033,-549,0,59,1279,-17,2,0,194,-2,0,-65,0,0,0,0,0,215,0,0
1968:Q3,1996,1996,-325,2321,0,0,1996,-445,-540,0,5,2808,-18,2,0,182,-4,0,12,0,0,0,0,0,-6,0,0
1968:Q4,2813,2813,41,2772,0,0,2813,-1131,581,0,22,3194,-13,29,0,223,25,0,-2,0,0,0,0,0,-115,0,0
1969:Q1,3671,3671,863,2808,0,0,3671,3545,-182,0,24,192,-1,8,0,248,36,0,4,0,0,0,0,0,-203,0,0
1969:Q2,3540,3540,1076,2464,0,0,3540,2231,-300,0,57,1324,-4,8,0,257,-6,0,-18,0,0,0,0,0,-9,0,0
1969:Q3,2711,2711,639,2072,0,0,2711,3036,-250,0,3,-353,-4,8,0,277,0,0,-20,0,0,0,0,0,14,0,0
