date,FU793068005.Q,FU153168005.Q,FU103168005.Q,FU113168005.Q,FU793168005.Q,FU613168005.Q,FU643168073.Q,FU663168005.Q,FU713068505.Q,FU263168005.Q,FU263168465.Q,FU263168485.Q,FU263168495.Q,FU793068005.Q,FU713068005.Q,FU763068005.Q,FU753068005.Q,FU743068005.Q,FU473068005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3202,-116,3656,827,-1155,494,0,-1649,0,-10,13,-23,0,3202,0,3133,69,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3530,-18,3073,647,-447,264,0,-711,0,275,51,224,0,3530,0,3482,48,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1818,5,684,13,1078,586,0,492,0,38,-8,46,0,1818,0,1766,52,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,-1066,16,-1894,-132,971,499,0,472,0,-27,-12,-15,0,-1066,0,-1201,135,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,5769,142,3688,910,1285,1182,0,103,0,-256,80,-336,0,5769,0,5659,110,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,5076,231,4209,814,-278,-77,0,-201,0,100,166,-66,0,5076,0,4912,164,0,0
1952:Q1,-338,0,-267,40,-162,118,0,-280,0,51,-78,129,0,-338,0,-423,85,0,0
1952:Q2,975,-17,-422,333,1035,146,0,889,0,46,40,6,0,975,0,895,80,0,0
1952:Q3,-99,-67,461,27,-515,131,0,-646,0,-5,6,-11,0,-99,0,-36,-63,0,0
1952:Q4,2292,-49,1024,-21,1316,725,0,591,0,22,-15,37,0,2292,0,2266,26,0,0
1953:Q1,-682,14,97,-119,-626,-187,0,-439,0,-48,-35,-13,0,-682,0,-669,-13,0,0
1953:Q2,180,140,-366,169,285,90,0,195,0,-48,-32,-16,0,180,0,148,32,0,0
1953:Q3,486,-224,290,136,341,95,0,246,0,-57,-26,-31,0,486,0,477,9,0,0
1953:Q4,-886,131,-583,-696,224,-169,0,393,0,38,37,1,0,-886,0,-914,28,0,0
1954:Q1,-940,105,-323,87,-812,-307,0,-505,0,3,-3,6,0,-940,0,-951,11,0,0
1954:Q2,346,-73,-649,243,857,138,0,719,0,-32,-15,-17,0,346,0,311,35,0,0
1954:Q3,371,71,-172,265,93,-46,0,139,0,114,92,22,0,371,0,338,33,0,0
1954:Q4,831,94,489,-369,416,76,0,340,0,201,125,76,0,831,0,782,49,0,0
1955:Q1,380,129,360,-12,-108,200,0,-308,0,11,-9,20,0,380,0,411,-31,0,0
1955:Q2,2626,582,744,644,601,269,0,332,0,55,13,42,0,2626,0,2582,44,0,0
1955:Q3,1592,65,948,373,127,345,0,-218,0,79,8,71,0,1592,0,1617,-25,0,0
1955:Q4,3055,348,1849,71,724,113,0,611,0,63,-7,70,0,3055,0,3063,-8,0,0
1956:Q1,623,-367,1451,27,-523,15,0,-538,0,35,-5,40,0,623,0,608,15,0,0
1956:Q2,2103,-44,1493,454,164,93,0,71,0,36,17,19,0,2103,0,2044,59,0,0
1956:Q3,466,-514,724,348,-146,176,0,-322,0,54,-3,57,0,466,0,402,64,0,0
