date,FU893169005.Q,FU163069005.Q,FU153169055.Q,FU163069043.Q,FU313069205.Q,FU153169203.Q,FU103169205.Q,FU113169205.Q,FU213169203.Q,FU403169283.Q,FU313069223.Q,FU503169205.Q,FU263169203.Q,FU153169405.Q,FU313069403.Q,FU543069405.Q,FU313169005.Q,FU153069205.Q,FU213069200.Q,FU343069055.Q,FU343069245.Q,FU503069203.Q,FU403069330.Q,FU763169335.Q,FU473169333.Q,FU513169333.Q,FU543169373.Q,FU613169333.Q,FU643169373.Q,FU403069395.Q,FU153169305.Q,FU183169303.Q,FU113169305.Q,FU763169383.Q,FU663067005.Q,FU663067003.Q,FU663067063.Q,FU663167015.Q,FU153067005.Q,FU263067005.Q,FU503169023.Q,FU763069023.Q,FU663069025.Q,FU503069025.Q,FU103169803.Q,FU153069803.Q,FU543069873.Q,FU653069803.Q,FU673069803.Q,FU663069803.Q,FU503069805.Q,FU673069505.Q,FU673069505.Q,FU613069505.Q,FU103169535.Q,FU113169535.Q,FU733069005.Q,FU733069013.Q,FU733069023.Q,FU503069075.Q,FU503069003.Q,FU503069013.Q,FU503069023.Q,FU503069033.Q,FU263069500.Q,FU263069500.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3378,0,0,0,2311,0,-155,98,-21,0,0,0,2389,-70,-2,-68,1586,1216,0,0,370,0,96,96,0,0,0,0,0,54,0,1,53,0,-658,-658,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53,-48,-5,0,0,0,0,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,7074,0,0,0,4060,0,31,221,19,0,0,0,3789,42,-1,43,2908,2085,0,0,823,0,131,131,0,0,0,0,0,167,0,3,164,0,42,42,0,-73,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-237,-213,-24,0,0,0,0,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,4176,0,0,0,1305,0,-16,152,70,0,0,0,1099,132,12,120,2424,1601,0,0,823,0,77,77,0,0,0,0,0,167,0,2,165,0,-31,-31,0,-6,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,99,11,0,0,0,0,0,0,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
