date,FU263192305.Q,FU263192313.Q,FU263092313.Q,FU103092305.Q,FU763092305.Q,FU513092305.Q,FU543092375.Q,FU613092305.Q,FU663092305.Q,FU733092305.Q,FU103192305.Q,FU115114305.Q,FU753192305.Q,FU513192305.Q,FU543192375.Q,FU613192305.Q,FU663192305.Q,FU733192305.Q,FU503192305.Q,FU263092305.Q,FU263092323.Q,FU263192323.Q,FU263192005.Q,FU263092001.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,9,ND,ND,16,-1,-1,-3,-1,-1,0,-5,1,1,1,0,0,1,0,0,-1,ND,ND,230,-4
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,29,ND,ND,16,1,3,5,1,3,0,-30,3,5,9,8,1,6,0,0,2,ND,ND,749,10
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,28,ND,ND,10,2,4,6,3,3,0,-40,3,9,14,13,2,6,0,0,7,ND,ND,721,34
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,26,ND,ND,14,1,3,4,2,2,0,-19,2,5,10,7,1,6,0,0,12,ND,ND,660,56
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,24,ND,ND,6,3,3,6,2,4,0,-77,8,16,29,26,2,13,0,0,17,ND,ND,621,80
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,20,ND,ND,-2,3,4,6,5,4,0,-26,4,8,14,11,1,7,0,0,19,ND,ND,508,90
1952:Q1,15,ND,ND,15,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,ND,ND,378,58
1952:Q2,23,ND,ND,23,0,0,0,0,0,0,14,1,0,0,0,0,1,0,0,16,ND,ND,596,78
1952:Q3,12,ND,ND,11,0,1,0,0,0,0,9,0,1,0,1,0,0,0,0,11,ND,ND,311,55
1952:Q4,-17,ND,ND,-18,0,0,0,0,1,0,-11,-1,-1,0,1,0,0,0,0,-12,ND,ND,-433,-59
1953:Q1,15,ND,ND,15,0,0,0,0,0,0,17,1,1,1,0,0,0,0,0,20,ND,ND,387,95
1953:Q2,17,ND,ND,16,0,0,0,1,0,0,6,0,1,0,0,0,1,0,0,8,ND,ND,437,39
1953:Q3,15,ND,ND,14,1,0,0,0,0,0,17,0,0,0,1,0,1,0,0,19,ND,ND,381,94
1953:Q4,-18,ND,ND,-19,0,0,1,0,0,0,-9,0,-1,0,-1,0,-3,0,0,-14,ND,ND,-470,-70
1954:Q1,12,ND,ND,12,0,0,0,0,0,0,14,0,1,0,1,0,1,0,0,17,ND,ND,311,83
1954:Q2,17,ND,ND,16,0,0,0,0,1,0,20,0,0,0,0,0,1,0,0,21,ND,ND,426,104
1954:Q3,9,ND,ND,9,0,0,0,0,0,0,16,1,1,0,1,1,1,0,0,21,ND,ND,226,100
1954:Q4,-12,ND,ND,-13,0,0,0,1,0,0,-41,-1,0,5,2,0,1,0,0,-34,ND,ND,-296,-163
1955:Q1,12,ND,ND,12,0,0,0,0,0,0,18,1,1,0,1,0,1,0,0,22,ND,ND,313,108
1955:Q2,20,ND,ND,18,0,1,0,0,1,0,24,0,1,0,0,0,1,0,0,26,ND,ND,525,124
1955:Q3,15,ND,ND,14,1,0,0,0,0,0,17,1,0,1,1,0,1,0,0,21,ND,ND,383,101
1955:Q4,-15,ND,ND,-15,0,0,0,0,0,0,-30,-1,0,3,1,0,-1,0,0,-28,ND,ND,-398,-136
1956:Q1,23,ND,ND,22,0,0,1,0,0,0,22,1,0,0,1,0,1,0,0,25,ND,ND,586,123
1956:Q2,27,ND,ND,25,0,0,0,1,1,0,20,0,1,0,0,1,0,0,0,22,ND,ND,698,107
1956:Q3,33,ND,ND,33,0,0,0,0,0,0,15,1,1,1,0,0,1,0,0,19,ND,ND,861,94
1956:Q4,-8,ND,ND,-8,0,0,0,0,0,0,-8,-1,-2,-2,-1,-1,-4,0,0,-19,ND,ND,-194,-92
1957:Q1,25,ND,ND,24,1,0,0,0,0,0,7,1,0,0,1,1,1,0,0,11,ND,ND,635,54
1957:Q2,49,ND,ND,47,0,0,0,1,1,0,11,0,1,0,0,0,1,0,0,13,ND,ND,1271,65
1957:Q3,18,ND,ND,18,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,4,ND,ND,471,18
1957:Q4,3,ND,ND,2,0,1,0,0,0,0,19,0,-4,-5,-4,-1,-1,0,0,4,ND,ND,65,18
1958:Q1,13,ND,ND,10,0,0,1,1,1,0,17,1,1,0,0,0,0,0,0,19,ND,ND,342,90
1958:Q2,25,ND,ND,25,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,ND,ND,649,98
1958:Q3,15,ND,ND,15,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,19,ND,ND,392,92
1958:Q4,-8,ND,ND,-10,1,0,0,0,1,0,-46,-1,2,5,5,1,-4,0,0,-38,ND,ND,-202,-182
1959:Q1,22,ND,ND,21,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,27,ND,ND,562,129
1959:Q2,31,ND,ND,31,0,0,0,0,0,0,31,1,1,0,0,0,1,0,0,34,ND,ND,798,164
1959:Q3,20,ND,ND,19,0,0,0,0,1,0,23,1,1,0,1,0,0,0,0,26,ND,ND,526,126
1959:Q4,-20,ND,ND,-22,0,0,1,1,0,0,-33,-1,-1,0,0,0,-2,0,0,-37,ND,ND,-514,-181
1960:Q1,23,ND,ND,22,0,1,0,0,0,0,18,1,0,1,0,0,1,0,0,21,ND,ND,589,103
1960:Q2,14,ND,ND,13,0,0,0,0,1,0,10,0,1,0,1,1,2,0,0,15,ND,ND,357,75
1960:Q3,14,ND,ND,12,1,0,0,1,0,0,19,0,1,0,0,0,1,0,0,21,ND,ND,365,101
1960:Q4,63,ND,ND,62,0,0,0,0,1,0,1,1,1,4,3,-1,-2,0,0,7,ND,ND,1629,36
1961:Q1,29,ND,ND,29,0,0,0,0,0,0,15,0,1,0,1,1,2,0,0,20,ND,ND,755,95
1961:Q2,28,ND,ND,26,0,0,1,1,0,0,22,1,0,1,0,0,0,0,0,24,ND,ND,720,114
1961:Q3,31,ND,ND,30,0,0,0,0,1,0,11,0,1,0,0,0,1,0,0,13,ND,ND,801,64
1961:Q4,15,ND,ND,14,0,0,0,1,0,0,-26,1,5,12,11,0,5,0,0,8,ND,ND,378,38
1962:Q1,20,ND,ND,17,1,1,0,0,1,0,8,0,1,1,0,1,1,0,0,12,ND,ND,504,56
1962:Q2,28,ND,ND,27,0,0,0,1,0,0,19,0,0,0,0,0,1,0,0,20,ND,ND,708,98
1962:Q3,25,ND,ND,24,0,0,0,0,1,0,11,1,1,0,0,0,1,0,0,14,ND,ND,648,66
1962:Q4,39,ND,ND,37,0,0,1,1,0,0,49,0,-5,-5,-4,-1,-8,0,0,26,ND,ND,991,126
1963:Q1,36,ND,ND,35,0,0,0,0,1,0,13,0,1,1,0,0,0,0,0,15,ND,ND,934,71
1963:Q2,36,ND,ND,33,1,0,0,1,1,0,29,0,0,-1,0,0,0,0,0,28,ND,ND,933,135
1963:Q3,25,ND,ND,25,0,0,0,0,0,0,23,1,0,1,0,0,0,0,0,25,ND,ND,650,122
1963:Q4,38,ND,ND,35,0,1,0,1,1,0,-36,0,3,5,5,0,3,0,0,-20,ND,ND,966,-97
1964:Q1,31,ND,ND,29,0,0,1,0,1,0,17,1,0,0,0,0,0,0,0,18,ND,ND,787,86
1964:Q2,39,ND,ND,38,0,0,0,1,0,0,23,0,0,0,0,1,0,0,0,24,ND,ND,999,116
1964:Q3,37,ND,ND,34,1,0,0,1,1,0,11,1,1,0,0,0,0,0,0,13,ND,ND,960,62
1964:Q4,39,ND,ND,38,0,0,0,0,1,0,-11,0,4,8,7,0,4,0,0,12,ND,ND,1012,58
1965:Q1,62,ND,ND,61,0,0,0,1,0,0,36,1,0,0,0,0,1,0,0,38,ND,ND,1584,182
1965:Q2,57,ND,ND,54,0,0,1,1,1,0,1,0,-1,0,0,0,-2,0,0,-2,ND,ND,1467,-10
1965:Q3,39,ND,ND,36,1,1,0,0,1,0,32,1,0,0,0,0,-2,0,0,31,ND,ND,1005,149
1965:Q4,37,ND,ND,44,-1,-1,-2,-1,-2,0,21,0,0,-1,-1,0,0,0,0,19,ND,ND,955,93
1966:Q1,40,ND,ND,38,0,0,0,1,1,0,26,1,0,0,0,0,-1,0,0,26,ND,ND,1024,125
1966:Q2,60,ND,ND,57,0,0,1,1,1,0,21,0,0,1,1,0,1,0,0,24,ND,ND,1545,116
1966:Q3,47,ND,ND,46,1,0,0,0,0,0,-6,0,1,0,0,0,1,0,0,-4,ND,ND,1197,-19
1966:Q4,64,ND,ND,61,0,0,0,1,2,0,67,0,-4,-7,-6,-1,-7,0,0,42,ND,ND,1652,204
1967:Q1,54,ND,ND,51,1,1,0,0,1,0,39,1,0,1,1,1,0,0,0,43,ND,ND,1383,210
1967:Q2,35,ND,ND,32,0,1,1,1,0,0,44,1,1,0,0,0,-1,0,0,45,ND,ND,892,220
1967:Q3,48,ND,ND,46,1,1,0,0,0,0,29,1,0,0,0,0,0,0,0,30,ND,ND,1239,143
1967:Q4,50,ND,ND,48,1,1,0,0,0,0,11,1,2,6,5,0,1,0,0,26,ND,ND,1292,125
1968:Q1,46,ND,ND,42,1,1,1,1,0,0,73,1,0,0,0,0,0,0,0,74,ND,ND,1185,357
1968:Q2,53,ND,ND,51,1,1,0,0,0,0,28,1,1,0,0,0,0,0,0,30,ND,ND,1361,147
1968:Q3,65,ND,ND,62,1,1,0,0,1,0,23,1,1,0,1,1,2,0,0,29,ND,ND,1681,140
1968:Q4,41,ND,ND,42,0,0,0,0,-1,0,19,1,2,8,6,-1,-1,0,0,34,ND,ND,1067,164
1969:Q1,63,ND,ND,61,1,1,0,0,0,0,63,1,1,0,0,1,0,0,0,66,ND,ND,1627,322
1969:Q2,75,ND,ND,70,1,2,1,0,1,0,45,1,1,0,1,0,1,0,0,49,ND,ND,1928,239
1969:Q3,67,ND,ND,64,2,1,0,0,0,0,49,2,1,1,0,1,0,0,0,54,ND,ND,1728,264
1969:Q4,26,ND,ND,27,0,0,-1,0,0,0,127,1,-7,-7,-8,-2,-14,0,0,90,ND,ND,676,438
1970:Q1,87,ND,ND,82,2,2,1,0,0,0,123,1,1,0,1,0,0,0,0,126,ND,ND,2230,610
1970:Q2,102,ND,ND,99,1,2,0,0,0,0,45,2,1,0,0,1,0,0,0,49,ND,ND,2617,238
