date,FU263192101.Q,FU103092105.Q,FU763092100.Q,FU513092103.Q,FU543092173.Q,FU613092103.Q,FU663092103.Q,FU733092103.Q,FU103192105.Q,FU115114103.Q,FU753192103.Q,FU513192103.Q,FU543192173.Q,FU613192103.Q,FU663192103.Q,FU733192103.Q,FU503192103.Q,FU263092101.Q,FU263192005.Q,FU263092001.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,221,195,4,5,7,5,5,0,-8,0,1,1,1,0,2,0,0,-3,230,-4
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,720,711,2,1,-1,4,3,0,30,-2,-2,-7,-7,-1,-3,0,0,8,749,10
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,693,685,1,0,-2,4,5,0,65,1,-7,-12,-11,-1,-8,0,0,27,721,34
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,634,617,3,1,0,7,6,0,64,-1,-4,-7,-5,-1,-2,0,0,44,660,56
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,597,579,3,1,0,8,6,0,147,2,-14,-26,-23,-2,-21,0,0,63,621,80
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,488,467,5,0,1,7,8,0,103,2,-6,-10,-8,-1,-9,0,0,71,508,90
1952:Q1,363,363,0,0,0,0,0,0,43,1,0,0,0,0,2,0,0,46,378,58
1952:Q2,573,561,2,2,2,3,3,0,55,0,3,1,1,1,1,0,0,62,596,78
1952:Q3,299,287,2,1,2,3,4,0,37,1,2,1,0,1,2,0,0,44,311,55
1952:Q4,-416,-432,2,0,2,6,6,0,-61,2,9,1,0,-1,3,0,0,-47,-433,-59
1953:Q1,372,359,2,2,2,3,4,0,68,0,2,0,1,1,3,0,0,75,387,95
1953:Q2,420,407,2,2,2,3,4,0,19,1,3,1,2,1,4,0,0,31,437,39
1953:Q3,366,352,2,2,2,4,4,0,63,2,4,1,1,1,3,0,0,75,381,94
1953:Q4,-452,-466,3,0,3,4,4,0,-75,2,5,1,3,1,7,0,0,-56,-470,-70
1954:Q1,299,284,2,2,2,4,5,0,55,1,3,1,1,1,4,0,0,66,311,83
1954:Q2,409,393,3,2,3,4,4,0,71,2,3,1,2,1,3,0,0,83,426,104
1954:Q3,217,200,3,2,3,4,5,0,71,1,2,1,1,0,3,0,0,79,226,100
1954:Q4,-284,-302,4,2,2,5,5,0,-134,3,3,-4,0,0,3,0,0,-129,-296,-163
1955:Q1,301,283,3,2,3,4,6,0,77,1,2,1,1,1,3,0,0,86,313,108
1955:Q2,505,488,3,1,3,5,5,0,84,2,3,2,2,1,4,0,0,98,525,124
