date,FU653164205.Q,FU653164205.Q,FU153064205.Q,FU103064203.Q,FU213064203.Q,FU763064203.Q,FU473064205.Q,FU513064205.Q,FU543064205.Q,FU573064205.Q,FU223064205.Q,FU263064203.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,185,185,185,0,0,0,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,163,163,163,0,0,0,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,148,148,148,0,0,0,0,0,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,275,275,275,0,0,0,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,211,211,211,0,0,0,0,0,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,266,266,266,0,0,0,0,0,0,0,0,0
1952:Q1,144,144,144,0,0,0,0,0,0,0,0,0
1952:Q2,128,128,128,0,0,0,0,0,0,0,0,0
1952:Q3,125,125,125,0,0,0,0,0,0,0,0,0
1952:Q4,108,108,108,0,0,0,0,0,0,0,0,0
1953:Q1,137,137,137,0,0,0,0,0,0,0,0,0
1953:Q2,83,83,83,0,0,0,0,0,0,0,0,0
1953:Q3,77,77,77,0,0,0,0,0,0,0,0,0
1953:Q4,86,86,86,0,0,0,0,0,0,0,0,0
1954:Q1,100,100,100,0,0,0,0,0,0,0,0,0
1954:Q2,53,53,53,0,0,0,0,0,0,0,0,0
1954:Q3,114,114,114,0,0,0,0,0,0,0,0,0
1954:Q4,154,154,154,0,0,0,0,0,0,0,0,0
1955:Q1,142,142,142,0,0,0,0,0,0,0,0,0
1955:Q2,121,121,121,0,0,0,0,0,0,0,0,0
1955:Q3,169,169,169,0,0,0,0,0,0,0,0,0
1955:Q4,140,140,140,0,0,0,0,0,0,0,0,0
1956:Q1,314,314,314,0,0,0,0,0,0,0,0,0
1956:Q2,35,35,35,0,0,0,0,0,0,0,0,0
1956:Q3,323,323,323,0,0,0,0,0,0,0,0,0
1956:Q4,114,114,114,0,0,0,0,0,0,0,0,0
1957:Q1,231,231,231,0,0,0,0,0,0,0,0,0
1957:Q2,224,224,224,0,0,0,0,0,0,0,0,0
1957:Q3,193,193,193,0,0,0,0,0,0,0,0,0
1957:Q4,187,187,187,0,0,0,0,0,0,0,0,0
1958:Q1,325,325,325,0,0,0,0,0,0,0,0,0
1958:Q2,467,467,467,0,0,0,0,0,0,0,0,0
1958:Q3,339,339,339,0,0,0,0,0,0,0,0,0
1958:Q4,277,277,277,0,0,0,0,0,0,0,0,0
1959:Q1,428,428,428,0,0,0,0,0,0,0,0,0
1959:Q2,301,301,301,0,0,0,0,0,0,0,0,0
1959:Q3,355,355,355,0,0,0,0,0,0,0,0,0
1959:Q4,335,335,335,0,0,0,0,0,0,0,0,0
1960:Q1,311,311,311,0,0,0,0,0,0,0,0,0
1960:Q2,333,333,333,0,0,0,0,0,0,0,0,0
1960:Q3,268,268,268,0,0,0,0,0,0,0,0,0
1960:Q4,137,137,137,0,0,0,0,0,0,0,0,0
1961:Q1,418,418,418,0,0,0,0,0,0,0,0,0
1961:Q2,288,288,288,0,0,0,0,0,0,0,0,0
1961:Q3,411,411,411,0,0,0,0,0,0,0,0,0
1961:Q4,554,554,554,0,0,0,0,0,0,0,0,0
1962:Q1,389,389,322,31,0,0,0,0,4,32,0,0
1962:Q2,446,446,284,74,0,0,0,0,10,78,0,0
1962:Q3,163,163,56,49,0,0,0,0,7,51,0,0
1962:Q4,252,252,210,20,0,0,0,0,4,18,0,0
1963:Q1,219,219,204,11,0,0,0,0,0,4,0,0
1963:Q2,119,119,141,-2,0,0,0,0,-5,-15,0,0
1963:Q3,356,356,371,-1,0,0,0,0,-3,-11,0,0
1963:Q4,273,273,255,8,0,0,0,0,3,7,0,0
1964:Q1,55,55,26,-1,0,0,0,0,16,14,0,0
1964:Q2,390,390,315,11,0,0,0,0,27,37,0,0
1964:Q3,318,318,256,5,0,0,0,0,24,33,0,0
1964:Q4,427,427,347,22,0,0,0,0,20,38,0,0
1965:Q1,568,568,535,12,0,0,0,0,9,12,0,0
1965:Q2,299,299,247,27,0,0,0,0,6,19,0,0
1965:Q3,723,723,739,2,0,0,0,0,-6,-12,0,0
1965:Q4,560,560,552,10,0,0,0,0,-1,-1,0,0
1966:Q1,1048,1048,1002,25,0,0,0,0,4,17,0,0
1966:Q2,644,644,574,34,0,0,0,0,9,27,0,0
1966:Q3,284,284,140,67,0,0,0,0,20,57,0,0
1966:Q4,506,506,490,15,0,0,0,0,1,0,0,0
1967:Q1,518,518,542,0,0,0,0,0,-4,-20,0,0
1967:Q2,291,291,224,43,0,0,0,0,10,14,0,0
1967:Q3,349,349,318,27,0,0,0,0,4,0,0,0
1967:Q4,-63,-63,-155,54,0,0,0,0,13,25,0,0
1968:Q1,1064,1064,831,126,0,0,0,0,29,78,0,0
1968:Q2,426,426,491,-13,0,0,0,0,-19,-33,0,0
1968:Q3,593,593,550,32,0,0,0,0,3,8,0,0
1968:Q4,429,429,333,33,0,0,0,0,33,30,0,0
1969:Q1,1089,1089,889,56,0,0,0,0,77,67,0,0
1969:Q2,813,813,613,25,0,0,0,0,106,69,0,0
1969:Q3,911,911,787,-19,0,0,0,0,100,43,0,0
1969:Q4,518,518,377,-7,0,0,0,0,98,50,0,0
1970:Q1,471,471,377,-21,0,0,0,0,88,27,0,0
1970:Q2,464,464,-158,139,0,0,0,0,282,201,0,0
1970:Q3,547,547,690,-91,0,0,0,0,2,-54,0,0
1970:Q4,93,93,151,-49,0,0,0,0,-11,2,0,0
1971:Q1,152,152,349,-67,0,0,0,0,-104,-26,0,0
1971:Q2,-2,-2,-24,11,0,0,0,0,-71,82,0,0
1971:Q3,-317,-317,-368,25,0,0,0,0,-79,105,0,0
1971:Q4,284,284,373,-19,0,0,0,0,-105,35,0,0
1972:Q1,-124,-124,-74,-10,0,0,0,0,-90,50,0,0
1972:Q2,-555,-555,-584,15,0,0,0,0,-88,102,0,0
1972:Q3,-183,-183,-218,15,0,0,0,0,-78,98,0,0
1972:Q4,-599,-599,-534,-21,0,0,0,0,-54,10,0,0
1973:Q1,-372,-372,-756,98,0,0,0,0,42,244,0,0
1973:Q2,-248,-248,-622,86,0,0,0,0,81,207,0,0
1973:Q3,-118,-118,-20,-46,0,0,0,0,27,-79,0,0
1973:Q4,-390,-390,-823,97,0,0,0,0,98,238,0,0
1974:Q1,-106,-106,-363,53,0,0,0,0,70,134,0,0
1974:Q2,-24,-24,-399,86,0,0,0,0,102,187,0,0
1974:Q3,-51,-51,-969,218,0,0,0,0,199,501,0,0
1974:Q4,232,232,330,-47,0,0,0,0,-20,-31,0,0
1975:Q1,211,211,492,-96,0,0,0,0,-78,-107,0,0
1975:Q2,-130,-130,51,-77,0,0,0,0,-80,-24,0,0
