date,FU893140005.Q,FU313140003.Q,FU543140005.Q,FU263140005.Q,FU893140005.Q,FU153040005.Q,FU763040005.Q,FU543040005.Q,FU733040005.Q,FU543141905.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3800,1165,2635,0,3800,3800,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3150,605,2545,0,3150,3150,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,2843,213,2630,0,2843,2843,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,2751,84,2667,0,2751,2751,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,2945,309,2636,0,2945,2945,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,2728,173,2555,0,2728,2728,0,0,0,0
1952:Q1,668,15,653,0,668,668,0,0,0,0
1952:Q2,708,20,688,0,708,708,0,0,0,0
1952:Q3,739,8,731,0,739,739,0,0,0,0
1952:Q4,773,0,773,0,773,773,0,0,0,0
1953:Q1,774,8,766,0,774,774,0,0,0,0
1953:Q2,760,18,742,0,760,760,0,0,0,0
1953:Q3,738,25,713,0,738,738,0,0,0,0
1953:Q4,710,23,687,0,710,710,0,0,0,0
1954:Q1,692,-13,705,0,692,692,0,0,0,0
1954:Q2,679,-59,738,0,679,679,0,0,0,0
1954:Q3,669,-100,769,0,669,669,0,0,0,0
1954:Q4,662,-127,789,0,662,662,0,0,0,0
1955:Q1,682,-99,781,0,682,682,0,0,0,0
1955:Q2,709,-52,761,0,709,709,0,0,0,0
1955:Q3,758,1,757,0,758,758,0,0,0,0
1955:Q4,756,-15,771,0,756,756,0,0,0,0
1956:Q1,850,58,792,0,850,850,0,0,0,0
1956:Q2,909,90,819,0,909,909,0,0,0,0
1956:Q3,891,86,805,0,891,891,0,0,0,0
1956:Q4,820,69,751,0,820,820,0,0,0,0
1957:Q1,744,46,698,0,744,744,0,0,0,0
1957:Q2,667,22,645,0,667,667,0,0,0,0
1957:Q3,649,12,637,0,649,649,0,0,0,0
1957:Q4,678,7,671,0,678,678,0,0,0,0
1958:Q1,721,7,714,0,721,721,0,0,0,0
1958:Q2,775,11,764,0,775,775,0,0,0,0
1958:Q3,794,16,778,0,794,794,0,0,0,0
1958:Q4,783,22,761,0,783,783,0,0,0,0
1959:Q1,796,27,769,0,796,796,0,0,0,0
1959:Q2,802,31,771,0,802,802,0,0,0,0
