date,FU893190005.Q,FU543077073.Q,FU103190005.Q,FU113193003.Q,FU313190005.Q,FU223073045.Q,FU713193005.Q,FU763190005.Q,FU753193005.Q,FU743193005.Q,FU473193005.Q,FU513190005.Q,FU543190005.Q,FU403190005.Q,FU613190005.Q,FU643193075.Q,FU663190005.Q,FU733190005.Q,FU503190005.Q,FU263190005.Q,FU893090005.Q,FU153090005.Q,FU103090005.Q,FU113090005.Q,FU313091105.Q,FU213093003.Q,FU713090005.Q,FU763090005.Q,FU753093005.Q,FU743093005.Q,FU473093005.Q,FU513090005.Q,FU543090005.Q,FU573090005.Q,FU343073045.Q,FU223090005.Q,FU633093005.Q,FU653093005.Q,FU563093003.Q,FU403093005.Q,FU673090543.Q,FU613090005.Q,FU643093075.Q,FU663090005.Q,FU733090005.Q,FU503093023.Q,FU263090005.Q,FU903090005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,8032,65,2623,0,3642,608,-183,374,0,0,10,717,300,-178,159,0,-9,0,94,-190,4034,803,-47,234,-190,0,-19,-2300,0,44,0,0,72,1088,3677,608,0,0,0,-26,0,94,0,-4,0,0,0,3999
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,8428,81,2658,0,2867,759,337,126,0,0,9,817,387,53,224,0,-21,0,19,112,6467,538,658,261,112,0,69,-417,0,53,0,0,66,1217,3123,759,0,0,0,-25,0,59,0,-6,0,0,0,1960
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,7380,51,2538,0,2952,894,-146,58,0,1,14,727,253,28,-16,0,-16,0,130,-88,5938,395,835,221,-88,0,31,-715,0,-40,0,0,137,1065,3238,894,0,0,0,-12,0,-16,0,-8,0,0,0,1443
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,8575,69,2516,0,2970,1003,304,207,0,0,18,644,381,69,165,0,-21,0,77,173,6968,370,661,172,173,0,-46,132,0,14,0,0,88,907,3430,1003,0,0,0,3,0,69,0,-8,0,0,0,1608
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,10620,103,3459,0,3926,1011,417,468,0,-11,25,493,250,68,258,0,-28,0,146,35,7594,335,559,119,35,0,25,243,0,44,0,0,243,648,4183,1011,0,0,0,1,0,158,0,-10,0,0,0,3025
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,30997,79,22831,0,5657,1094,-443,98,0,-1,30,872,380,121,-78,0,-17,0,371,3,12070,584,961,204,3,0,17,-288,0,3,0,0,183,3725,5699,1094,0,0,0,-3,0,-100,0,-12,0,0,0,18927
1952:Q1,6412,19,3818,0,1595,240,-180,195,2,0,7,244,116,53,133,0,-16,0,192,-6,3344,180,58,65,-6,31,29,177,32,2,0,0,44,586,1674,240,0,0,0,112,0,120,0,0,0,0,0,3068
1952:Q2,8962,18,6579,0,1446,315,99,93,10,0,9,262,181,-54,123,0,-17,0,-96,-6,3121,177,-85,73,-6,97,27,108,16,2,0,0,40,781,1546,315,0,0,0,2,0,31,0,-3,0,0,0,5841
1952:Q3,2129,19,-130,0,1390,165,-171,284,1,1,10,261,159,-65,100,0,-31,0,149,-13,3100,178,143,75,-13,116,74,67,-9,2,0,0,39,735,1472,165,0,0,0,4,0,56,0,-4,0,0,0,-971
1952:Q4,-7535,20,-10278,0,1787,319,314,-186,-10,0,10,240,158,46,97,0,-62,0,-1,11,4140,202,916,70,11,117,-100,171,-11,3,0,0,34,664,1869,319,0,0,0,-141,0,23,0,-7,0,0,0,-11675
1953:Q1,-627,22,-3516,0,1762,251,-84,221,-18,0,7,224,162,105,-26,0,18,0,234,11,3232,181,143,65,11,-116,17,-142,190,-1,0,0,35,764,1809,251,0,0,0,148,0,-118,0,-4,0,0,0,-3860
1953:Q2,-6198,23,-8390,0,1559,162,-143,106,24,-1,11,216,152,13,143,0,16,0,-67,-22,2744,167,103,64,-22,-109,-76,190,-238,-4,0,0,31,797,1625,162,0,0,0,-1,0,60,0,-4,0,0,0,-8942
1953:Q3,-669,24,-3801,0,1766,185,171,366,-1,0,11,203,111,-15,131,0,10,0,174,-4,3588,150,223,64,-4,137,96,-67,-16,-1,0,0,33,859,1812,185,0,0,0,5,0,116,0,-4,0,0,0,-4257
1953:Q4,17236,23,15357,0,1781,334,113,-555,-12,0,15,185,99,74,-75,0,-32,0,-73,2,4513,147,733,64,2,124,-39,393,-26,1,0,0,36,930,1862,334,0,0,0,-5,0,-39,0,-4,0,0,0,12724
1954:Q1,14810,21,11942,0,1822,190,-118,236,-3,0,18,161,225,207,75,0,-65,0,124,-25,2988,115,138,65,-25,-130,14,-58,34,4,0,0,43,702,1866,190,0,0,0,6,0,29,0,-5,0,0,0,11822
1954:Q2,19178,19,16809,0,1595,181,6,148,-2,-1,19,132,228,47,117,0,-49,0,-130,59,3118,79,-27,66,59,-146,-69,564,22,4,0,0,47,623,1671,181,0,0,0,18,0,31,0,-5,0,0,0,16060
1954:Q3,22934,21,20085,0,1838,301,-81,501,-6,1,18,129,123,-54,65,0,-78,0,4,67,3348,86,81,64,67,91,82,57,20,6,0,0,49,521,1855,301,0,0,0,-19,0,92,0,-5,0,0,0,19586
1954:Q4,5534,26,3287,0,1789,311,30,-257,-57,0,21,146,52,63,405,0,-69,0,-223,10,4031,95,616,63,10,103,-40,421,-32,12,0,0,47,415,1862,311,0,0,0,88,0,65,0,-5,0,0,0,1503
1955:Q1,10717,30,7124,0,1942,355,19,155,11,0,14,170,103,56,354,0,-24,0,307,102,3140,142,173,61,102,-102,7,-163,17,2,0,0,43,494,1931,355,0,0,0,-15,0,99,0,-6,0,0,0,7578
1955:Q2,28542,34,24293,0,1564,376,39,550,22,1,18,184,189,19,1129,0,-67,0,92,99,3550,108,134,61,99,-72,-2,464,-8,0,0,0,40,488,1695,376,0,0,0,13,0,160,0,-6,0,0,0,24992
1955:Q3,19308,37,15916,0,1646,331,11,614,-11,1,19,189,153,-148,465,0,-49,0,59,75,3457,91,89,60,75,172,11,172,-50,1,0,0,43,525,1704,331,0,0,0,-2,0,241,0,-6,0,0,0,15851
1955:Q4,5893,40,2966,0,1694,323,154,-395,2,0,21,184,170,-16,876,0,-31,0,-162,67,3975,164,885,60,67,156,13,-237,-10,4,0,0,56,574,1922,323,0,0,0,-4,0,8,0,-6,0,0,0,1918
1956:Q1,20832,43,17714,0,2076,232,-200,480,5,-1,23,183,224,64,-569,0,-74,0,522,110,3730,74,468,49,110,-78,-39,147,105,3,0,0,68,652,2036,232,0,0,0,-2,0,-88,0,-7,0,0,0,17102
1956:Q2,-6215,48,-8984,0,1760,457,0,109,3,1,23,176,227,25,-9,0,15,0,-187,121,3523,109,-7,45,121,-100,110,102,89,3,0,0,82,648,1863,457,0,0,0,17,0,-9,0,-7,0,0,0,-9738
1956:Q3,-3122,49,-5751,0,1824,480,-99,390,-14,-1,24,184,68,-123,-296,0,17,0,-59,185,3349,77,22,46,185,175,61,-82,77,5,0,0,83,596,1566,480,0,0,0,-12,0,77,0,-7,0,0,0,-6471
1956:Q4,23477,47,21043,0,2124,510,169,-695,-28,0,26,212,141,180,-200,0,-6,0,-193,147,4610,115,1096,52,147,67,-28,-10,32,8,0,0,73,532,2133,510,0,0,0,-20,0,-90,0,-7,0,0,0,18867
1957:Q1,-10945,45,-14656,0,1877,388,-104,413,3,0,26,237,157,-86,44,0,26,0,428,257,3476,124,262,55,257,-154,-105,-259,1,14,0,0,65,810,2233,388,0,0,0,4,0,-211,0,-8,0,0,0,-14420
1957:Q2,22800,46,19348,0,2287,398,-224,165,14,0,28,267,212,34,180,0,-37,0,-213,295,4295,81,-42,59,295,-157,-8,579,43,20,0,0,61,968,2095,398,0,0,0,1,0,-90,0,-8,0,0,0,18506
1957:Q3,-23249,44,-26665,0,1992,349,207,635,-74,0,30,269,111,-157,-260,0,48,0,89,133,4393,75,214,58,133,154,-2,-122,-20,21,0,0,58,1150,2326,349,0,0,0,7,0,0,0,-8,0,0,0,-27642
1957:Q4,3997,39,1172,0,2515,438,-5,-633,-59,-1,36,252,176,155,-59,0,26,0,6,-61,5043,83,538,48,-61,164,98,4,30,23,0,0,54,1314,2356,438,0,0,0,-8,0,-29,0,-9,0,0,0,-1045
1958:Q1,18669,34,15714,0,1995,325,41,184,23,-1,38,223,95,323,-710,0,-30,0,294,121,3879,116,96,48,121,-220,-49,238,23,10,0,0,51,776,2238,325,0,0,0,-2,0,115,0,-7,0,0,0,14790
1958:Q2,21488,26,17176,0,2393,583,429,189,92,0,36,198,324,140,-316,0,-53,0,85,186,5045,18,349,38,186,-195,0,1032,82,5,0,0,41,632,2151,583,0,0,0,16,0,115,0,-8,0,0,0,16443
1958:Q3,36066,28,32464,0,2066,467,-390,943,-14,0,35,202,144,-285,371,0,-90,0,18,106,2956,119,130,38,106,121,-15,-966,72,3,0,0,46,472,2251,467,0,0,0,4,0,116,0,-8,0,0,0,33109
1958:Q4,17272,38,14181,0,2397,455,86,-268,-12,-1,38,229,-3,-11,557,0,-38,0,-302,-74,4843,78,761,45,-74,215,-4,546,-17,6,0,0,60,305,2360,455,0,0,0,2,0,113,0,-8,0,0,0,12429
1959:Q1,11557,48,7654,0,1899,468,129,1046,6,0,30,267,-11,52,-200,0,-17,0,130,56,4697,137,604,58,56,28,5,-73,143,5,0,0,77,750,2351,468,0,0,0,-12,0,110,0,-9,0,0,0,6860
1959:Q2,18074,57,14440,0,2328,577,-230,547,4,1,30,302,54,-41,-129,0,-13,0,18,129,4937,134,358,68,129,-37,34,566,200,4,0,0,94,661,2212,577,0,0,0,8,0,-62,0,-9,0,0,0,13137
1959:Q3,-2106,59,-5814,0,2069,398,59,761,-43,0,30,304,3,-256,281,0,-2,0,217,-172,4319,148,172,68,-172,9,40,-9,162,4,0,0,97,849,2434,398,0,0,0,26,0,103,0,-9,0,0,0,-6426
1959:Q4,25515,54,22581,0,2564,517,323,-1080,-46,-1,34,274,178,97,523,0,-11,0,-491,-1,2996,140,719,61,-1,11,44,-1401,-513,19,0,0,87,757,2467,517,0,0,0,21,0,78,0,-9,0,0,0,22519
1960:Q1,-19248,51,-22861,0,2244,411,-384,471,-46,-2,36,249,312,-39,-1019,0,26,0,1161,141,4434,126,1315,48,141,-9,2,-829,140,6,0,0,79,525,2482,411,0,0,0,-20,0,27,0,-10,0,0,0,-23682
1960:Q2,12138,50,8357,0,2653,525,521,-1012,80,-2,35,233,283,190,35,0,-8,0,48,150,3583,122,-528,41,150,6,170,220,116,6,0,0,72,447,2326,525,0,0,0,17,0,-97,0,-10,0,0,0,8555
1960:Q3,-22894,48,-26370,0,2405,636,-514,255,-137,-1,28,223,183,29,121,0,22,0,83,95,4451,134,508,40,95,32,-151,190,-67,7,0,0,72,325,2526,636,0,0,0,32,0,83,0,-10,0,0,0,-27345
1960:Q4,46012,43,43654,0,2649,501,203,-1296,-94,-2,28,218,168,175,-13,0,-40,0,-324,142,3321,149,-973,47,142,22,-67,964,-47,14,0,0,76,21,2575,501,0,0,0,-26,0,-66,0,-11,0,0,0,42691
