date,FU086010005.Q,FU156025105.Q,FU156020101.Q,FU156401101.Q,FU146111105.Q,FU116112101.Q,FU096060035.Q,FU096060025.Q,FU096060005.Q,FU106060005.Q,FU796060005.Q,FU266060005.Q,FU096231001.Q,FU106231005.Q,FU796231003.Q,FU096060015.Q,FU096121073.Q,FU106121075.Q,FU796121073.Q,FU266121073.Q,FU096006401.Q,FU106006405.Q,FU796006403.Q,FU266006403.Q,FU105020601.Q,FU096310003.Q,FU106310005.Q,FU796310003.Q,FU086130003.Q,FU366240005.Q,FU366402005.Q,FU146403005.Q,FU156403101.Q,FU366403145.Q,FU266403101.Q,FU366402105.Q,FU086010005.Q,FU836300005.Q,FU366300005.Q,FU087005005.Q,FU266904005.Q,FU086902005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,201261,122485,112005,10480,35671,6899,18243,20300,25563,22603,2194,766,9104,8573,531,16459,5574,4781,293,500,10885,9249,1370,266,-5263,-2057,-1909,-148,1801,16832,1728,692,428,264,0,366,201261,14247,11523,1228,652,227707
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,218742,132361,123097,9264,34579,6889,24164,26737,32636,29709,1941,986,11193,10777,416,21443,6396,5359,348,689,15047,13573,1177,297,-5899,-2573,-2369,-204,2327,18106,735,715,392,323,0,336,218742,17735,11387,2865,1110,249619
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,244849,144313,135550,8763,39279,7484,31393,34350,36502,32493,2748,1261,12254,11681,573,24248,7203,5877,490,836,17045,14935,1685,425,-2152,-2957,-2727,-230,2487,19726,815,708,371,337,0,274,244849,20820,10505,-250,1456,274467
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,239729,144334,134733,9601,34690,7798,29058,31898,30042,25616,3301,1125,10010,9262,748,20032,7431,6040,559,832,12601,10314,1994,293,1856,-2840,-2632,-208,2754,20904,822,689,355,334,0,324,239729,22589,9694,1739,1280,272472
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,266613,158269,147253,11016,37514,8779,36059,38816,43781,39202,3310,1269,17728,16764,964,26053,9035,7375,676,984,17018,15063,1670,285,-4965,-2757,-2502,-255,3061,22950,1197,824,555,269,0,354,266613,24333,9060,1263,1440,299829
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,307637,185705,171607,14098,42594,9720,41198,44181,45380,39909,3727,1744,22304,21104,1200,23076,8825,7042,621,1162,14251,11763,1906,582,-1199,-2983,-2699,-284,3563,24745,1448,1160,873,287,0,400,307637,27746,9979,3440,1892,346910
1952:Q1,79526,49024,45252,3773,10423,2600,10007,10716,10398,8914,1008,476,4882,4557,325,5516,2108,1665,156,287,3408,2692,527,189,318,-709,-636,-73,954,6434,327,304,228,76,0,107,79526,7244,2638,544,500,89520
1952:Q2,80028,49357,45530,3827,10739,2666,9533,10206,9917,8370,1076,470,4593,4244,349,5324,2248,1809,170,269,3076,2317,557,201,289,-673,-600,-73,985,6706,360,301,224,77,0,102,80028,7329,2714,375,505,90126
1952:Q3,81794,50376,46488,3888,11187,2733,9518,10150,9975,8359,1137,479,4577,4209,368,5398,2225,1764,181,280,3173,2386,588,199,175,-632,-558,-74,1001,6853,266,297,219,78,0,97,81794,7428,2823,411,496,92032
1952:Q4,84764,52332,48367,3965,10691,2817,10608,11192,10993,9335,1195,463,5055,4667,388,5938,2271,1815,193,263,3667,2853,614,200,199,-584,-511,-73,1020,7129,224,296,217,79,0,97,84764,7541,2887,1279,485,95663
1953:Q1,86013,53281,49267,4014,10738,2896,10835,11365,11473,9836,1170,468,5321,4941,380,6152,2191,1712,197,282,3961,3183,593,186,-108,-530,-458,-72,1070,7091,300,298,222,76,0,105,86013,7667,2957,243,477,96510
1953:Q2,86786,54052,50007,4046,10587,2974,10627,11110,11509,9846,1188,475,5344,4959,385,6165,2381,1860,217,304,3784,3027,586,171,-399,-483,-410,-72,1105,7271,239,299,221,78,0,110,86786,7785,3031,621,513,97829
1953:Q3,86445,54131,50037,4094,10304,3041,10328,10768,11269,9596,1240,433,5219,4817,402,6050,2350,1854,222,274,3700,2925,616,159,-501,-441,-368,-72,1147,7360,268,288,209,79,0,115,86445,7896,3059,689,452,97666
1953:Q4,84597,53782,49679,4104,10389,3119,8504,8909,8898,7227,1249,422,4060,3652,408,4838,2307,1817,215,275,2531,1758,626,147,11,-405,-332,-73,1191,7380,160,269,190,79,0,123,84597,7999,3096,2236,457,97212
1954:Q1,84822,53278,49100,4178,10670,3199,9127,9502,9505,7786,1259,460,4024,3580,444,5481,2436,1893,212,331,3045,2313,603,129,-3,-375,-300,-75,1254,7110,188,239,153,86,0,133,84822,8094,3142,-86,500,95749
1954:Q2,84941,53171,48989,4182,10525,3254,9462,9776,9785,8044,1277,464,4153,3700,453,5632,2293,1762,197,334,3339,2582,627,130,-9,-314,-240,-74,1315,7195,341,220,133,87,0,140,84941,8190,3233,388,500,96478
1954:Q3,85818,53306,49084,4223,10562,3286,9974,10197,10368,8616,1271,481,4415,3961,454,5953,2392,1856,190,346,3561,2799,627,135,-171,-224,-151,-73,1370,7170,216,221,133,88,0,145,85818,8288,3287,1102,510,97933
1954:Q4,88173,54384,50090,4294,10498,3322,10898,11000,11135,9271,1307,557,4756,4287,469,6379,2437,1846,180,411,3942,3138,658,146,-135,-102,-32,-70,1423,7414,153,236,148,88,0,152,88173,8387,3361,1508,586,100389
1955:Q1,91014,55474,51014,4460,10917,3333,12201,12152,12429,10548,1322,559,5283,4865,418,7146,2565,1996,177,392,4581,3687,727,167,-277,49,115,-66,1455,7450,261,275,183,92,0,170,91014,8488,3377,693,606,102735
1955:Q2,93466,57021,52463,4558,11068,3347,12527,12390,12611,10714,1337,560,5345,4923,422,7266,2599,2054,178,367,4667,3737,737,193,-221,137,200,-64,1491,7834,315,311,219,92,0,183,93466,8632,3413,-613,600,104863
1955:Q3,95335,58478,53812,4666,11159,3360,12544,12385,12933,10997,1335,601,5472,5054,418,7461,2762,2176,189,397,4699,3767,728,204,-548,159,223,-64,1479,7968,186,343,251,92,0,191,95335,8820,3509,696,612,107766
1955:Q4,97088,59598,54863,4735,11130,3382,12896,12778,13468,11494,1340,634,5689,5273,416,7779,2804,2189,192,423,4975,4032,732,211,-690,118,184,-66,1483,8215,178,368,277,91,0,195,97088,9052,3599,1361,632,110117
1956:Q1,97636,60707,55821,4887,11216,3399,12355,12343,13071,11042,1350,680,5421,5021,400,7650,2880,2220,201,459,4770,3801,749,221,-728,12,82,-70,1558,8133,317,394,290,104,0,192,97636,9328,3708,-765,713,109284
1956:Q2,99351,61873,56875,4998,11313,3401,12411,12475,13386,11292,1404,690,5524,5110,414,7862,2895,2236,207,452,4967,3946,783,238,-911,-64,9,-73,1590,8430,263,406,302,104,0,191,99351,9588,3788,-1257,710,111355
1956:Q3,100499,62605,57488,5117,11602,3421,12328,12437,12735,10558,1451,726,5182,4756,426,7553,2899,2217,216,466,4654,3585,809,260,-298,-109,-35,-74,1674,8619,359,419,314,105,0,191,100499,9832,3873,-424,734,112888
1956:Q4,102570,64091,58842,5249,11688,3448,12554,12678,13434,11234,1475,725,5464,5032,432,7970,3008,2334,238,436,4962,3868,805,289,-756,-124,-50,-74,1680,9055,567,433,329,104,0,189,102570,10061,3947,415,640,115825
1957:Q1,104226,65056,59567,5489,11732,3468,12915,13024,13630,11386,1491,753,5586,5109,477,8044,3022,2322,259,441,5022,3955,755,312,-606,-109,-36,-73,1878,8896,355,450,344,106,0,187,104226,10274,4054,-960,771,116873
1957:Q2,104619,65514,59904,5610,11928,3493,12572,12683,13060,10772,1466,822,5339,4874,465,7721,3077,2287,280,510,4644,3611,721,312,-377,-111,-38,-73,1929,9192,653,457,351,106,0,187,104619,10476,4130,-1306,842,117699
1957:Q3,105382,66181,60457,5724,12201,3520,12335,12465,12785,10465,1517,803,5216,4737,479,7569,3115,2308,306,501,4454,3420,732,302,-320,-130,-55,-75,1960,9224,695,460,353,107,0,196,105382,10665,4208,756,808,120058
1957:Q4,104304,65825,60023,5802,11925,3573,11318,11484,11720,9478,1528,714,4739,4261,478,6981,3071,2309,328,434,3910,2908,722,280,-236,-166,-89,-77,1903,9304,193,457,347,110,0,193,104304,10843,4270,1156,634,119410
1958:Q1,102294,64942,59181,5761,12567,3643,9867,10086,10141,7914,1583,645,4082,3508,574,6059,3036,2308,323,405,3023,2098,686,240,-55,-220,-139,-81,2024,9070,454,448,327,121,0,189,102294,11009,4265,-477,658,116354
1958:Q2,103020,64857,59069,5788,12582,3688,10152,10397,10319,8087,1596,637,4169,3587,582,6150,3062,2306,320,436,3088,2194,694,201,78,-245,-161,-84,2178,9401,457,436,315,121,0,186,103020,11163,4338,-539,674,117928
1958:Q3,105838,66807,60959,5848,12531,3722,11190,11432,11493,9277,1590,626,4727,4138,589,6766,3034,2283,302,449,3732,2856,699,177,-61,-242,-157,-85,2373,9398,787,418,303,115,0,187,105838,11305,4432,635,651,121600
1958:Q4,109602,68066,62108,5958,12479,3744,12648,12860,13077,10779,1683,615,5462,4831,631,7615,2958,2218,296,444,4657,3730,756,171,-217,-211,-126,-85,2644,9851,424,402,295,107,0,192,109602,11435,4511,1031,646,125347
1959:Q1,111994,69937,63503,6434,12521,3743,13567,13719,13876,11502,1748,625,5699,5200,499,8177,3197,2370,381,446,4980,3932,868,179,-157,-152,-68,-84,2122,9796,192,401,318,83,0,102,111994,11553,4564,-138,646,126465
1959:Q2,115801,71615,65139,6476,12585,3858,14767,14851,15100,12639,1825,635,6238,5719,519,8862,3309,2464,415,430,5553,4456,891,205,-249,-84,-2,-82,2371,10193,155,415,330,85,0,153,115801,11661,4620,-475,650,131190
1959:Q3,114771,71732,65225,6507,12589,3946,13548,13554,13637,10958,1981,698,5527,4976,551,8110,3443,2486,483,474,4667,3496,947,224,-83,-7,71,-78,2383,10352,275,418,335,83,0,80,114771,11759,4689,1368,708,132063
1959:Q4,116205,72547,65976,6571,12652,4011,13634,13554,13342,10529,2054,760,5352,4787,565,7990,3532,2496,524,512,4458,3246,965,248,212,80,151,-72,2453,10712,436,424,339,85,0,210,116205,11846,4753,-556,758,131936
1960:Q1,119362,74684,67687,6997,12437,4057,14652,14478,14695,11816,2114,765,6041,5358,683,8654,3528,2581,475,472,5126,3877,956,293,-217,175,239,-64,2450,10745,179,433,333,100,0,84,119362,11924,4822,344,732,134976
