date,FU895410005.Q,FU825410005.Q,FU795410005.Q,FU515410073.Q,FU795410003.Q,FU105410003.Q,FU115410003.Q,FU365410005.Q,FU315410005.Q,FU215400033.Q,FU315410073.Q,FU315410093.Q,FU315410043.Q,FU315410053.Q,FU315410063.Q,FU215410073.Q,FU215410073.Q,FU155410035.Q,FU315400053.Q,FU215400053.Q,FU265410005.Q,FU265410073.Q,FU265410003.Q,FU895400005.Q,FU825400005.Q,FU795400005.Q,FU515400073.Q,FU795400003.Q,FU105400005.Q,FU105400073.Q,FU105400003.Q,FU115400005.Q,FU115400075.Q,FU115400003.Q,FU365400005.Q,FU315400005.Q,FU315400053.Q,FU315400003.Q,FU215400005.Q,FU215400073.Q,FU215400053.Q,FU215400033.Q,FU215400003.Q,FU155400005.Q,FU155400073.Q,FU155400003.Q,FU265400005.Q,FU265400033.Q,FU265400073.Q,FU265400003.Q,FU825440005.Q,FU795440005.Q,FU515440005.Q,FU545410003.Q,FU765440005.Q,FU405400033.Q,FU615410003.Q,FU735410003.Q,FU735400033.Q,FU505400033.Q,FU105440005.Q,FU115440005.Q,FU365440005.Q,FU315440005.Q,FU215440005.Q,FU155440005.Q,FU265440005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,961,0,0,0,0,0,0,83,83,83,0,0,0,0,0,0,0,878,725,153,0,0,0,961,0,0,0,0,0,0,0,0,0,0,961,725,725,0,236,0,153,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-878,-642,-236,878,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1139,0,0,0,0,0,0,143,143,143,0,0,0,0,0,0,0,996,819,177,0,0,0,1139,0,0,0,0,0,0,0,0,0,0,1139,819,819,0,320,0,177,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-996,-676,-320,996,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
