date,FL144090005.Q,FL103091003.Q,FL143020005.Q,FL143030005.Q,FL143034005.Q,FL102051003.Q,LM144022005.Q,FL103069100.Q,LM143061105.Q,LM103061703.Q,LM143062005.Q,LM123063003.Q,FL144023005.Q,FL143065005.Q,FL143066005.Q,LM103092305.Q,LM103064103.Q,LM103092105.Q,FL143092405.Q,LM103064203.Q,FL143070005.Q,FL143090005.Q,FL144194005.Q,FL144190005.Q,FL104122005.Q,FL103169100.Q,FL103162000.Q,FL103163005.Q,FL144123005.Q,FL143168005.Q,FL143169005.Q,FL143165005.Q,LM143192305.Q,FL143170005.Q,FL143178005.Q,FL143190005.Q,FL143181105.Q,LM103164105.Q,LM143192105.Q,LM112090205.Q
1945:Q4,92366,33,35948,900,0,0,18760,0,18508,0,252,0,3378,5,3373,272,0,6718,185,0,24369,1803,404230,101923,24000,95,0,23905,31940,10253,4856,16831,320,17255,10105,18303,302307,103694,1228,197385
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,92426,68,37095,900,0,0,13124,32,12779,0,313,0,4000,10,3990,271,0,6700,146,0,28132,1990,451163,118459,24995,137,0,24858,38913,14736,5659,18518,316,25097,8147,20992,332704,97302,1220,234182
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,102385,51,39204,900,0,0,12770,129,12291,0,350,0,4916,16,4900,314,0,7774,126,0,33418,2912,500152,136366,27843,172,0,27671,44718,18456,5837,20425,336,29470,10333,23666,363787,95116,1291,267380
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
