date,FL114090005.Q,FL113020005.Q,FL113030003.Q,FL113034003.Q,LM114022005.Q,LM113061003.Q,LM113062003.Q,FL114023005.Q,FL113065005.Q,FL113066003.Q,FL113092405.Q,FL113070003.Q,FL113090005.Q,FL113076005.Q,FL113072003.Q,FL113093005.Q,FL114194005.Q,FL114190005.Q,FL114123005.Q,FL113168005.Q,FL113169005.Q,FL113165005.Q,LM115114305.Q,FL113170005.Q,FL113178003.Q,FL113193003.Q,LM113181115.Q,LM115114103.Q,LM112090205.Q
1945:Q4,23597,16989,0,0,0,0,0,579,0,579,181,4548,1300,1300,0,0,212285,14856,11287,1341,1657,8290,11,3558,0,0,197429,44,197385
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,25492,17593,0,0,0,0,0,669,0,669,143,5553,1534,1534,0,0,253311,19085,14019,2231,2605,9183,11,5056,0,0,234226,44,234182
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,26336,17770,0,0,0,0,0,781,0,781,124,5864,1798,1798,0,0,289294,21871,15781,2882,2968,9930,12,6078,0,0,267424,44,267380
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
