date,FL794090005.Q,FL713011005.Q,FL713014003.Q,FL713012003.Q,FL793091005.Q,FL794010005.Q,FL793020005.Q,FL793030005.Q,FL793034005.Q,FL792050005.Q,FL794022005.Q,FL793069175.Q,FL793061105.Q,FL793061705.Q,FL793062005.Q,FL793063005.Q,FL794023005.Q,FL793068005.Q,FL793069005.Q,FL793065005.Q,FL793066005.Q,LM793092305.Q,LM793064105.Q,LM793081115.Q,LM793064205.Q,FL793040005.Q,FL543050005.Q,FL793070005.Q,FL793090005.Q,FL794194005.Q,FL794190005.Q,FL794110005.Q,FL793120005.Q,FL703130005.Q,FL634090005.Q,FL792150005.Q,FL794122005.Q,FL793169175.Q,FL423161705.Q,FL793163005.Q,FL794123005.Q,FL793168005.Q,FL793169005.Q,LM793192305.Q,LM653164205.Q,FL543140005.Q,FL583150005.Q,FL793170005.Q,FL793178005.Q,FL793190005.Q,FL793181105.Q,LM793164105.Q,LM793181115.Q
1945:Q4,340287,20065,0,4183,0,18564,2662,160,0,28,183503,273,158044,886,6250,18050,49758,14454,9602,22275,3427,9,5297,477,0,0,0,361,55220,369439,319584,18409,133687,53501,0,18,1224,220,873,131,4468,3569,899,197,1245,35967,61172,10,443,9243,49855,48216,1639
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,344613,20529,0,4406,0,18781,3098,158,0,42,171078,483,142743,1046,6615,20191,60107,17656,9416,27248,5787,10,5451,517,0,0,0,478,59958,372527,322607,17703,119110,60036,0,23,1797,436,1168,193,3448,2414,1034,200,1298,38602,69381,25,457,10527,49920,48353,1567
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,365737,22475,0,4406,0,20684,3413,142,0,124,167885,572,134788,1067,7587,23871,73120,21186,10419,33117,8398,11,5944,564,0,0,0,578,66391,392848,342553,19833,120215,63631,0,25,2201,593,1284,324,3059,1967,1092,201,1413,41147,77939,40,348,12501,50295,48741,1554
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,386043,23963,0,4433,0,23031,3433,186,0,128,166442,643,126431,2049,8628,28691,84387,23004,11683,39175,10525,12,6217,610,0,0,0,652,72549,412277,361771,22148,119633,66174,0,19,3093,770,1563,760,4208,3045,1163,203,1516,43777,86476,50,495,13979,50506,48923,1583
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,403866,24147,0,4442,0,19120,3552,214,0,119,170646,704,125470,2095,10173,32204,92216,21938,12978,44369,12931,12,8839,665,0,0,0,723,79171,428793,377943,18778,119629,69155,0,13,3472,951,1454,1067,5145,4016,1129,205,3071,46444,95413,65,708,15845,50850,49254,1596
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,434014,22672,0,4480,0,21290,4083,256,0,173,170528,974,120587,1887,12506,34574,112686,27707,15286,53484,16209,15,9907,756,0,0,0,740,86428,456835,405546,21229,124921,71898,0,22,4253,1112,1860,1281,7082,5301,1781,205,3344,49080,104563,80,868,18001,51289,49672,1617
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,469193,22667,0,4553,0,23956,4339,285,0,281,175762,1445,120119,1825,14125,38248,127713,32783,16736,61315,16879,16,10934,904,0,0,0,850,96933,491272,439532,23653,132149,76849,0,16,5324,1559,2098,1667,6827,5023,1804,207,3482,51635,118836,90,1098,19366,51740,50063,1677
1952:Q1,474393,23260,0,4575,0,23563,4275,654,0,625,175865,1690,118468,1703,14599,39405,128662,32445,16473,62834,16910,16,12212,928,0,0,0,876,98882,496467,444541,23442,130528,78610,0,240,5325,1781,1986,1558,6198,4861,1337,207,3612,52288,122766,100,1339,19886,51926,50222,1704
1952:Q2,484398,23316,0,4598,0,22402,4357,670,0,570,177992,1527,119059,1575,15052,40779,133881,33420,17131,64880,18450,16,12666,953,0,0,0,901,102076,506063,453974,22231,132121,80959,0,43,5648,1923,2085,1640,7244,5896,1348,208,3696,52976,126980,100,1256,20512,52089,50363,1726
1952:Q3,496687,23311,0,4625,0,24204,4347,687,0,1075,181035,1737,119940,1953,15398,42007,137435,33321,17745,67000,19369,17,13025,973,0,0,0,925,105028,517894,465677,24500,134018,82465,0,428,5880,2090,2178,1612,6773,5381,1392,210,3837,53707,131097,140,1421,21201,52217,50476,1741
1952:Q4,510780,23157,0,4656,0,23797,4457,704,0,856,185697,1742,122750,2180,15776,43249,143659,35613,18306,68939,20801,18,13866,1010,0,0,0,948,107955,531069,478690,23572,138678,85041,0,50,5752,1915,2155,1682,8275,6697,1578,218,3932,54480,135222,150,1434,21886,52379,50591,1788
1953:Q1,515005,22531,0,4670,0,24198,4328,721,0,1258,184202,1922,119157,2135,16367,44621,145963,34931,18442,70518,22072,18,13830,1050,0,0,0,967,111269,535218,482689,23974,134481,87021,0,627,6196,2070,2051,2075,7419,6071,1348,220,3867,55246,139501,160,1276,22701,52529,50705,1824
1953:Q2,520559,22433,0,4698,0,22806,4314,740,0,796,184042,1749,118262,1699,16559,45773,150614,35111,19187,72949,23367,19,13971,1082,0,0,0,983,114061,540445,487784,22655,132531,89868,0,48,6641,1951,2066,2624,7713,6356,1357,222,3778,55988,143864,170,1162,23144,52661,50807,1854
1953:Q3,534468,22098,0,4716,0,22973,4435,758,0,983,190588,2006,122751,1907,17029,46895,154318,35597,19377,75207,24137,20,14214,1104,0,0,0,996,117265,554056,501260,23223,136105,91503,0,237,7325,2229,2185,2911,8161,6697,1464,224,3753,56701,148161,180,1403,24284,52796,50921,1875
1953:Q4,546807,21987,0,4738,0,23620,4656,777,0,784,196154,2019,124530,3742,17841,48022,155996,34711,19485,77293,24507,21,15182,1130,0,0,0,1006,120756,565471,512588,23181,138710,94270,0,41,7438,2222,2159,3057,8581,6921,1660,226,4146,57388,152448,180,1903,24076,52883,50992,1891
1954:Q1,548840,21929,0,4779,0,22491,4460,799,0,691,195316,2285,120830,4138,18783,49280,156089,33771,19391,79093,23834,21,16247,1185,0,0,0,1017,123816,566841,513761,21669,133696,96947,0,78,7478,2454,1932,3092,7525,6109,1416,229,4512,58093,156688,190,1666,24990,53080,51146,1934
1954:Q2,562123,21891,0,4803,0,22260,4517,821,0,477,199934,2132,124373,3315,19825,50289,160544,34117,20013,81800,24614,22,17291,1220,0,0,0,1030,127313,579091,525834,21684,135866,100284,0,29,7508,2355,2029,3124,8474,6966,1508,230,4895,58831,160991,190,1299,25553,53257,51314,1943
1954:Q3,573644,21774,0,4815,0,21846,4547,837,0,517,203276,2265,127006,1941,20665,51399,164411,34488,20210,84741,24972,22,18632,1248,0,0,0,1045,130674,589550,536035,21543,137222,102332,0,332,7423,2331,2162,2930,8667,7059,1608,234,5469,59600,165191,200,1580,26242,53515,51552,1963
1954:Q4,590169,21676,0,4829,0,22163,4660,848,0,260,208933,2029,129633,3673,21260,52338,170129,35319,21183,88117,25510,23,20209,1298,0,0,0,1064,134077,604396,550582,21170,143349,104819,0,21,7274,2373,2142,2759,9362,7475,1887,255,6110,60389,169529,200,1634,26470,53814,51649,2165
1955:Q1,595125,21683,0,4841,0,22368,4504,873,0,992,204654,2264,123505,3798,22150,52937,174618,35699,21148,91368,26403,23,21048,1355,0,0,0,1084,137082,609522,555680,21343,138890,106910,0,674,7595,2612,2131,2852,9092,7367,1725,258,6525,61170,174001,200,1364,27658,53842,51628,2214
1955:Q2,608344,21616,0,4846,0,21672,4574,904,0,555,203464,2238,122347,2917,22244,53718,184586,38325,22120,95363,28778,25,23610,1398,0,0,0,1106,139988,621837,567714,20918,140141,109566,0,61,7898,2667,2456,2775,9898,7968,1930,260,7186,61931,178721,200,1034,29900,54123,51869,2254
1955:Q3,621463,21655,0,4850,0,22872,4685,939,0,1048,202789,2315,121273,2382,22636,54183,192423,39917,22670,99339,30497,26,24963,1428,0,0,0,1130,142655,633891,579559,22397,140826,110976,0,478,8300,2649,2707,2944,10371,8095,2276,263,7257,62688,183332,200,1220,31251,54332,52052,2280
1955:Q4,636992,21629,0,4852,0,23379,4859,979,0,855,204986,2093,121555,3131,22825,55382,200797,42972,23331,102788,31706,26,26752,1468,0,0,0,1156,145254,648630,594253,22376,145680,113274,0,44,8664,2387,3121,3156,11201,8819,2382,279,7839,63459,187850,210,1260,32117,54377,52012,2365
1956:Q1,644306,21686,0,4859,0,22971,4597,1004,0,1454,202868,2679,117382,3179,23374,56254,205022,43595,23535,105728,32164,27,28586,1547,0,0,0,1185,148500,655608,600925,22002,142244,115386,0,833,9926,2964,3238,3724,10432,8296,2136,281,8555,64251,192789,220,1169,32837,54683,52241,2442
1956:Q2,652681,21771,0,4876,0,22154,4602,1030,0,852,200900,2410,115197,2655,23581,57057,212649,45698,23966,109296,33689,29,28347,1595,0,0,0,1217,152659,663885,609012,20966,142494,118567,0,98,10340,2932,3454,3954,10562,8460,2102,283,8613,65070,197659,230,935,33195,54873,52394,2479
1956:Q3,663765,21853,0,4890,0,23389,4599,1056,0,1334,202302,2451,115228,2438,23936,58249,217541,46164,24300,112756,34321,29,27712,1628,0,0,0,1252,156180,674610,619584,23072,142444,120060,0,791,10894,3000,3702,4192,10421,8314,2107,286,8506,65875,202457,230,1280,33268,55026,52524,2502
1956:Q4,678592,21890,0,4910,0,24010,4834,1085,0,827,206238,2251,117752,2827,24140,59268,223351,47961,24817,115701,34872,29,28903,1669,0,0,0,1291,159555,688534,633395,23107,147602,122702,0,44,10905,2849,3597,4459,11015,8544,2471,283,9046,66626,207371,230,1452,33012,55139,52620,2519
1957:Q1,686530,22276,0,4929,0,22659,4604,1117,0,1527,206881,2651,116000,3112,24504,60614,225634,47531,25256,117904,34943,30,28444,1740,0,0,0,1330,165359,697286,641859,21281,143972,126232,0,936,12335,3440,4002,4893,9717,7730,1987,286,9106,67324,214959,240,1352,34119,55427,52767,2660
1957:Q2,701108,22590,0,4951,0,23431,4712,1149,0,1368,204974,2393,112277,2937,25147,62220,232574,49888,26122,120299,36265,32,30992,1783,0,0,0,1370,171182,710640,654997,21981,143043,129781,0,658,12914,3195,4612,5107,9847,7951,1896,288,9687,67969,222847,240,1161,34581,55643,52954,2689
1957:Q3,715102,22612,0,4970,0,23395,4748,1183,0,1322,210356,2533,115423,2902,25642,63856,236117,49581,26397,123007,37132,32,29534,1820,0,0,0,1410,177603,724817,668916,22482,144728,131736,0,695,13818,3481,4805,5532,10076,8006,2070,290,9001,68606,230404,240,1410,35430,55901,53190,2711
1957:Q4,729234,22752,0,4990,0,23843,4953,1216,0,1132,214061,2677,115433,3685,26449,65817,239815,50144,26788,125438,37445,33,28922,1867,0,0,0,1451,184199,738715,682613,22140,147124,135000,0,30,14361,3644,5021,5696,10576,8336,2240,280,8714,69277,237957,250,1635,35269,56102,53395,2707
1958:Q1,738263,22355,0,5026,0,22138,4842,1253,0,1643,219264,3339,116449,4520,27564,67392,239630,48162,27289,127542,36637,36,30390,1941,0,0,0,1490,188255,747248,690867,19614,143407,140684,0,597,15315,4436,4903,5976,10009,8355,1654,281,9463,69991,243715,250,1762,35779,56381,53612,2769
