date,FL544090075.Q,FL543020075.Q,FL543034075.Q,FL542051075.Q,LM544022075.Q,FL543069175.Q,LM543061175.Q,LM543061775.Q,LM543062075.Q,LM543063075.Q,FL544023075.Q,FL543069075.Q,FL543065075.Q,LM543092375.Q,LM543064175.Q,LM543092173.Q,FL543092473.Q,LM543064275.Q,FL543040075.Q,FL543050075.Q,FL543070075.Q,FL543090075.Q,FL544194075.Q,FL544190075.Q,FL542151073.Q,FL543169373.Q,LM543192375.Q,FL543140075.Q,FL543150075.Q,FL543170075.Q,FL543178075.Q,FL543190075.Q,FL543181105.Q,LM543164175.Q,LM543192173.Q,FL543194603.Q
1945:Q4,43946,780,0,0,32611,0,20589,0,722,11300,8598,1962,6636,4,999,93,0,0,0,0,0,861,41773,41555,0,0,57,35967,2700,0,26,2805,218,0,218,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,47460,774,0,0,35354,0,21635,0,614,13105,9049,1894,7155,4,1249,97,0,0,0,0,0,933,45105,44886,0,0,57,38602,3100,0,22,3105,219,0,219,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,50900,1020,0,0,36774,0,20040,0,609,16125,10612,1937,8675,4,1390,101,0,0,0,0,0,999,48526,48306,0,0,57,41147,3600,0,2,3500,220,0,220,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
