date,FL574090005.Q,FL573020005.Q,FL573030005.Q,FL573034005.Q,FL572051005.Q,LM574022005.Q,FL573069105.Q,LM573061105.Q,LM573061705.Q,LM573063005.Q,FL573065005.Q,LM573064105.Q,LM573064205.Q,FL573090005.Q,FL573095005.Q,FL573074005.Q,FL573073005.Q,FL573093005.Q,FL574190005.Q,FL574190043.Q,FL572000075.Q,FL573073005.Q,FL574090045.Q,FL574090055.Q
1945:Q4,20681,81,0,0,0,3851,0,2051,0,1800,0,0,0,16749,0,0,16879,-130,20697,19902,3023,16879,19886,795
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,22060,101,0,0,0,4100,0,2100,0,2000,22,0,0,17837,0,0,18059,-222,22077,21285,3226,18059,21268,792
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,23572,131,0,0,0,4351,0,2151,0,2200,42,0,0,19048,0,0,19070,-22,23594,22629,3559,19070,22607,965
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,24928,161,0,0,0,4600,0,2200,0,2400,62,0,0,20105,0,0,19929,176,24957,23821,3892,19929,23792,1136
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
