date,FL344090005.Q,FL343020033.Q,LM344022005.Q,LM343061105.Q,LM343061705.Q,LM343062033.Q,LM343063005.Q,FL343069005.Q,LM343064105.Q,FL343073045.Q,FL344090005.Q,FL344090045.Q,FL342000075.Q,FL343073045.Q,FL344090045.Q,FL344090055.Q
1945:Q4,24792,0,0,0,0,0,0,2903,0,21889,24792,24792,2903,21889,24792,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,29054,0,0,0,0,0,0,3273,0,25781,29054,29054,3273,25781,29054,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,32968,0,0,0,0,0,0,4096,0,28872,32968,32968,4096,28872,32968,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,36953,0,0,0,0,0,0,4919,0,32034,36953,36953,4919,32034,36953,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,41313,0,0,0,0,0,0,5959,0,35354,41313,41313,5959,35354,41313,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,45852,0,0,0,0,0,0,6743,0,39109,45852,45852,6743,39109,45852,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,51985,0,0,0,0,0,0,7453,0,44532,51985,51985,7453,44532,51985,0
1952:Q1,53758,0,0,0,0,0,0,7552,0,46206,53758,53758,7552,46206,53758,0
1952:Q2,55703,0,0,0,0,0,0,7938,0,47765,55703,55703,7938,47765,55703,0
1952:Q3,57558,0,0,0,0,0,0,8363,0,49195,57558,57558,8363,49195,57558,0
1952:Q4,59378,0,0,0,0,0,0,8411,0,50967,59378,59378,8411,50967,59378,0
1953:Q1,61262,0,0,0,0,0,0,8471,0,52791,61262,61262,8471,52791,61262,0
1953:Q2,63222,0,0,0,0,0,0,8804,0,54418,63222,63222,8804,54418,63222,0
1953:Q3,65121,0,0,0,0,0,0,8902,0,56219,65121,65121,8902,56219,65121,0
1953:Q4,66997,0,0,0,0,0,0,8941,0,58056,66997,66997,8941,58056,66997,0
1954:Q1,68881,0,0,0,0,0,0,8961,0,59920,68881,68881,8961,59920,68881,0
1954:Q2,70853,0,0,0,0,0,0,9273,0,61580,70853,70853,9273,61580,70853,0
1954:Q3,72696,0,0,0,0,0,0,9281,0,63415,72696,72696,9281,63415,72696,0
1954:Q4,74607,0,0,0,0,0,0,9359,0,65248,74607,74607,9359,65248,74607,0
1955:Q1,76539,0,0,0,0,0,0,9347,0,67192,76539,76539,9347,67192,76539,0
1955:Q2,78583,0,0,0,0,0,0,9702,0,68881,78583,78583,9702,68881,78583,0
1955:Q3,80534,0,0,0,0,0,0,9975,0,70559,80534,80534,9975,70559,80534,0
