date,FL224090045.Q,FL223020043.Q,FL223030043.Q,FL223034043.Q,FL222051043.Q,LM224022045.Q,FL223069143.Q,LM223061143.Q,LM223061743.Q,LM223062043.Q,LM223063045.Q,FL223065043.Q,LM223064145.Q,LM223064243.Q,FL223090045.Q,FL223073045.Q,LM223093043.Q,FL224190043.Q
1945:Q4,12983,69,0,0,0,2508,0,1519,0,849,140,18,7,0,10381,10381,0,12983
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,15150,77,0,0,0,2766,0,1671,0,935,160,21,8,0,12278,12278,0,15150
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,17776,85,0,0,0,3087,0,1860,0,1037,190,25,10,0,14569,14569,0,17777
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,20365,91,0,0,0,3506,0,2073,0,1166,267,35,13,0,16720,16720,0,20366
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
