date,FL614090005.Q,FL613020003.Q,FL613030003.Q,LM613063003.Q,FL614023005.Q,FL613069505.Q,FL613065000.Q,FL613066005.Q,LM613092305.Q,LM613092103.Q,FL613092403.Q,FL613090005.Q,FL614194005.Q,FL614190005.Q,FL614122005.Q,FL613169100.Q,FL613163005.Q,FL614123005.Q,FL613168005.Q,FL613169005.Q,LM613192305.Q,FL613178005.Q,FL613190005.Q,FL613194703.Q,FL613193005.Q,FL613192103.Q,FL613066303.Q
1945:Q4,4349,479,160,0,3643,2669,64,910,1,23,0,43,1028,1011,195,64,131,287,287,0,4,25,500,0,500,17,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,5069,473,158,0,4273,2616,163,1494,1,27,0,137,1895,1878,400,207,193,781,781,0,4,34,659,0,659,17,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,5759,426,142,0,4962,2379,224,2359,1,32,0,196,2655,2638,653,329,324,1045,1045,0,4,52,884,0,884,17,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,6871,557,186,0,5908,2489,213,3206,2,38,0,180,3869,3852,1268,508,760,1631,1631,0,5,79,869,0,869,17,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,7992,641,214,0,6839,2246,288,4305,2,47,0,249,5030,5013,1743,676,1067,2130,2130,0,5,100,1035,0,1035,17,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,9720,767,256,0,8231,2462,454,5315,2,57,0,407,6789,6772,1995,714,1281,3312,3312,0,5,165,1295,0,1295,17,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,10171,855,285,0,8653,2696,356,5601,3,68,0,307,7418,7401,2731,1064,1667,3235,3235,0,5,212,1218,0,1218,17,0
1952:Q1,10244,860,287,0,8599,2615,476,5508,3,68,0,427,7849,7832,2876,1318,1558,3353,3353,0,5,247,1351,0,1351,17,0
1952:Q2,11080,866,289,0,9393,2764,512,6117,3,71,0,458,8364,8346,3143,1503,1640,3499,3499,0,5,225,1474,0,1474,18,0
1952:Q3,11625,872,291,0,9871,2831,570,6470,3,74,0,514,8724,8705,3243,1631,1612,3630,3630,0,5,253,1574,0,1574,19,0
1952:Q4,12573,878,293,0,10782,3127,598,7057,3,80,0,537,9395,9377,3100,1418,1682,4355,4355,0,5,246,1671,0,1671,18,0
1953:Q1,12975,882,294,0,11294,3372,481,7441,3,83,0,419,9736,9717,3685,1610,2075,4168,4168,0,5,214,1645,0,1645,19,0
1953:Q2,13699,887,296,0,11947,3428,546,7973,4,86,0,479,10412,10392,4143,1519,2624,4258,4258,0,5,198,1788,0,1788,20,0
1953:Q3,14342,892,297,0,12464,3396,663,8405,4,90,0,595,11158,11137,4620,1709,2911,4353,4353,0,5,240,1919,0,1919,21,0
1953:Q4,14350,897,299,0,12500,3252,624,8624,4,94,0,556,11071,11052,4700,1643,3057,4184,4184,0,5,319,1844,0,1844,19,0
1954:Q1,14224,906,302,0,12329,3336,653,8340,4,98,0,585,11075,11055,4960,1868,3092,3877,3877,0,5,294,1919,0,1919,20,0
1954:Q2,14465,915,305,0,12523,3304,685,8534,4,102,0,616,11166,11145,4884,1760,3124,4015,4015,0,5,205,2036,0,2036,21,0
1954:Q3,14731,903,301,0,12709,3138,778,8793,4,106,0,708,10976,10955,4646,1716,2930,3969,3969,0,6,233,2101,0,2101,21,0
1954:Q4,15224,877,292,0,13166,3258,845,9063,5,111,0,773,11063,11042,4250,1491,2759,4045,4045,0,6,235,2506,0,2506,21,0
1955:Q1,15631,888,296,0,13455,3036,945,9474,5,115,0,872,11980,11958,4649,1797,2852,4245,4245,0,6,198,2860,0,2860,22,0
1955:Q2,17265,911,304,0,14893,3316,1114,10463,5,120,0,1032,13483,13460,4780,2005,2775,4514,4514,0,6,171,3989,0,3989,23,0
