date,FL664090005.Q,FL663020003.Q,FL662051003.Q,LM664022005.Q,FL663069103.Q,LM663061105.Q,LM663061705.Q,LM663062003.Q,LM663063005.Q,FL663069005.Q,LM663092305.Q,LM663064103.Q,LM663092103.Q,FL663090005.Q,FL663070605.Q,FL663094705.Q,FL663093005.Q,FL664194005.Q,FL664190005.Q,FL662151003.Q,FL663163003.Q,FL664123005.Q,FL663168005.Q,FL663167005.Q,LM663192305.Q,FL663170003.Q,FL663178003.Q,FL663190005.Q,FL663170605.Q,FL663194705.Q,FL663193005.Q,FL663181105.Q,LM663164105.Q,LM663192103.Q,LM662090003.Q,FL663194605.Q,FL663194505.Q
1945:Q4,5022,501,0,2715,0,1881,0,340,494,1252,1,554,30,-31,0,0,-31,5272,5015,0,0,3976,3282,694,35,10,10,984,0,0,984,257,121,136,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3422,730,0,1648,0,917,0,340,391,594,1,450,34,-35,0,0,-35,3694,3415,0,0,2366,1633,733,36,25,13,975,0,0,975,279,141,138,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,2630,629,0,905,0,262,0,243,400,636,2,460,39,-41,0,0,-41,2868,2624,0,0,1582,922,660,37,40,6,959,0,0,959,244,104,140,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,3115,558,0,1489,0,820,0,267,402,605,2,463,47,-49,0,0,-49,3348,3109,0,0,2068,1414,654,36,50,5,950,0,0,950,239,100,139,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,3650,490,0,1542,0,703,0,252,587,969,2,649,55,-57,0,0,-57,3878,3632,0,0,2588,1886,702,37,65,8,934,0,0,934,246,104,142,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,4039,635,0,1403,0,586,0,370,447,1492,3,509,64,-67,0,0,-67,4238,4008,0,0,2960,1989,971,35,80,12,921,0,0,921,230,94,136,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,3760,605,0,1184,0,313,0,384,487,1421,3,550,76,-79,0,0,-79,3954,3727,0,0,2681,1788,893,35,90,10,911,0,0,911,227,93,134,0,0,0
1952:Q1,3340,597,0,874,0,191,0,300,383,1422,3,447,76,-79,0,0,-79,3529,3306,0,0,2256,1508,748,35,100,14,901,0,0,901,223,87,136,0,0,0
1952:Q2,4180,586,0,1699,0,1121,0,200,378,1454,3,441,79,-82,0,0,-82,4368,4144,0,0,3092,2397,695,36,100,16,900,0,0,900,224,87,137,0,0,0
1952:Q3,3518,571,0,834,0,180,0,70,584,1465,3,648,83,-86,0,0,-86,3708,3481,0,0,2428,1751,677,36,140,17,860,0,0,860,227,88,139,0,0,0
1952:Q4,4149,549,0,1486,0,709,0,228,549,1502,4,612,89,-93,0,0,-93,4334,4112,0,0,3056,2342,714,37,150,20,849,0,0,849,222,81,141,0,0,0
1953:Q1,3729,530,0,914,0,208,0,150,556,1665,4,620,93,-97,0,0,-97,3917,3690,0,0,2640,1903,737,37,160,14,839,0,0,839,227,83,144,0,0,0
1953:Q2,3825,510,0,821,0,145,0,100,576,1854,4,640,97,-101,0,0,-101,4022,3783,0,0,2737,2098,639,38,170,10,828,0,0,828,239,91,148,0,0,0
1953:Q3,4100,492,0,1140,0,426,0,100,614,1789,4,679,101,-105,0,0,-105,4300,4054,0,0,3007,2344,663,39,180,11,817,0,0,817,246,95,151,0,0,0
1953:Q4,4551,475,0,1608,0,640,0,430,538,1866,4,602,106,-110,0,0,-110,4751,4502,0,0,3445,2737,708,37,180,21,819,0,0,819,249,106,143,0,0,0
1954:Q1,4122,476,0,1219,0,443,0,300,476,1888,4,539,111,-115,0,0,-115,4311,4067,0,0,3018,2232,786,38,190,13,808,0,0,808,244,97,147,0,0,0
1954:Q2,4907,492,0,1738,0,869,0,300,569,2045,5,632,115,-120,0,0,-120,5081,4842,0,0,3784,2951,833,39,190,22,807,0,0,807,239,89,150,0,0,0
1954:Q3,5152,521,0,1626,0,674,0,300,652,2290,5,715,120,-125,0,0,-125,5309,5074,0,0,4009,3090,919,40,200,29,796,0,0,796,235,82,153,0,0,0
1954:Q4,5595,557,0,1635,0,666,0,300,669,2672,5,731,125,-130,0,0,-130,5762,5508,0,0,4450,3430,1020,43,200,22,793,0,0,793,254,90,164,0,0,0
1955:Q1,5290,579,0,1150,0,322,0,300,528,2971,5,590,131,-136,0,0,-136,5467,5200,0,0,4145,3122,1023,44,200,19,792,0,0,792,267,100,167,0,0,0
1955:Q2,5512,581,0,1182,0,228,0,300,654,3033,6,716,136,-142,0,0,-142,5684,5418,0,0,4367,3454,913,45,200,15,791,0,0,791,266,95,171,0,0,0
1955:Q3,5375,564,0,1067,0,218,0,300,549,3133,6,611,142,-148,0,0,-148,5552,5277,0,0,4221,3236,985,46,200,20,790,0,0,790,275,100,175,0,0,0
1955:Q4,5910,530,0,1387,0,264,0,300,823,3108,6,885,148,-154,0,0,-154,6103,5808,0,0,4746,3847,899,47,210,26,779,0,0,779,295,116,179,0,0,0
1956:Q1,5440,508,0,1091,0,111,0,300,680,3099,6,742,155,-161,0,0,-161,5628,5334,0,0,4281,3309,972,48,220,17,768,0,0,768,294,111,183,0,0,0
1956:Q2,5374,502,0,1015,0,122,0,200,693,3102,7,755,161,-168,0,0,-168,5565,5264,0,0,4215,3380,835,48,230,13,758,0,0,758,301,115,186,0,0,0
