date,FL504090005.Q,FL503020005.Q,FL503034005.Q,FL502051005.Q,FL504022005.Q,FL503069105.Q,FL503061123.Q,FL503063005.Q,FL503062003.Q,FL503069005.Q,FL503064105.Q,FL503094505.Q,FL503093023.Q,FL504194005.Q,FL504190005.Q,FL504122005.Q,FL503169105.Q,FL503163003.Q,FL504123005.Q,FL713068505.Q,FL503169005.Q,FL503192305.Q,FL503190005.Q,FL663070675.Q,FL503193005.Q,FL503181105.Q,LM503164105.Q,LM503192103.Q,LM503194305.Q,FL503194205.Q
1945:Q4,25,0,0,0,25,25,0,0,0,0,0,0,0,43013,25,0,0,0,0,0,0,0,25,0,25,42988,42988,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,119,0,0,0,119,119,0,0,0,0,0,0,0,42382,119,0,0,0,0,0,0,0,119,0,119,42263,42263,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,138,0,0,0,138,138,0,0,0,0,0,0,0,42357,138,0,0,0,0,0,0,0,138,0,138,42219,42219,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
