date,FL504090025.Q,FL503020025.Q,FL713129003.Q,FL503020023.Q,FL503034023.Q,FL502051023.Q,FL503061123.Q,FL503093023.Q,FL504190025.Q,FL503169023.Q,FL503169123.Q,FL503193023.Q
1945:Q4,0,0,0,0,0,0,0,0,0,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,0,0,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,0,0,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,0,0,0,0,0,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,0,0,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,0,0,0,0,0,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q1,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q2,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q3,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q4,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q1,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q2,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q3,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q4,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q1,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q2,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q3,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q4,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q1,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q2,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q3,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q4,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q1,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q2,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q3,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q4,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q1,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q2,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q3,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q4,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q1,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q2,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q3,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q4,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q1,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q2,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q3,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q4,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q1,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q2,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q3,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q4,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q1,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q2,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q3,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q4,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q1,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q2,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q3,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q4,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q1,0,0,0,0,0,0,0,0,0,0,0,0
