date,FL264090005.Q,LM313111303.Q,FL264016005.Q,FL263020005.Q,FL263030005.Q,FL263034003.Q,FL262051005.Q,LM264022005.Q,LM263069103.Q,LM263061105.Q,LM263061705.Q,LM263062003.Q,LM263063005.Q,FL263069005.Q,FL263069563.Q,LM263092305.Q,LM263064105.Q,LM263092101.Q,LM263064203.Q,FL543141905.Q,FL543151905.Q,LM263070005.Q,FL263090005.Q,FL263076005.Q,FL263094733.Q,FL264194005.Q,FL264190005.Q,LM263111005.Q,LM263191005.Q,FL262151003.Q,LM264122005.Q,FL263169105.Q,LM263163005.Q,LM263163063.Q,FL264123005.Q,FL263168005.Q,FL263169005.Q,LM263192305.Q,FL263140005.Q,FL263150005.Q,LM263170005.Q,FL263190005.Q,FL263191103.Q,FL263194735.Q,FL263195105.Q,FL263176005.Q,FL263181105.Q,LM263164100.Q,LM263192101.Q,FL313092803.Q,FL263098013.Q,FL263198013.Q
1945:Q4,13418,0,324,2677,1578,0,0,3119,42,2574,0,0,503,0,ND,517,2700,1990,0,0,0,513,0,0,0,14523,6635,0,33,0,2913,0,2913,ND,2607,342,2265,281,0,0,399,402,402,0,0,0,7888,942,6946,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,11855,0,-101,2280,1582,0,0,2387,58,2100,0,0,229,0,ND,516,2690,1987,0,0,0,514,0,0,0,16756,8492,-248,68,0,2821,0,2821,ND,5002,332,4670,281,0,0,356,212,212,0,0,0,8264,1001,6946,317,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,11901,0,1,1718,1564,0,0,3044,64,2700,0,0,280,0,ND,537,2480,2066,0,0,0,491,0,0,0,23622,13974,937,51,0,2800,0,2800,ND,9104,607,8497,325,0,0,433,324,324,0,0,0,9648,972,8041,635,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
