date,FL383162005.Q,FL213162005.Q,FL213162400.Q,FL213162200.Q,FL163162003.Q,FL103162000.Q,FL893062005.Q,LM153062005.Q,LM103062003.Q,LM113062003.Q,LM213062003.Q,LM763062000.Q,LM753062003.Q,LM743062003.Q,LM473062005.Q,LM513062005.Q,LM543062005.Q,LM343062033.Q,LM223062043.Q,FL633062000.Q,LM653062003.Q,LM553062003.Q,LM563062003.Q,LM403062005.Q,LM663062003.Q,FL503062003.Q,LM263062003.Q,LM903062003.Q
1945:Q4,12130,12130,312,11818,0,0,12130,3869,252,0,1759,4063,8,19,0,249,722,0,849,0,0,0,0,0,340,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,12199,12199,313,11886,0,0,12199,3817,313,0,1454,4458,14,17,0,237,614,0,935,0,0,0,0,0,340,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,13810,13810,512,13298,0,0,13810,4458,350,0,1415,5344,20,19,0,315,609,0,1037,0,0,0,0,0,243,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
