date,FL893163005.Q,FL103163005.Q,FL793163005.Q,FL763163005.Q,FL673163005.Q,FL613163005.Q,FL643163075.Q,FL663163003.Q,FL733163005.Q,FL503163003.Q,LM263163005.Q,FL893063005.Q,LM153063005.Q,LM123063003.Q,FL313063763.Q,LM213063003.Q,LM763063005.Q,LM763063605.Q,LM763063095.Q,LM753063005.Q,LM743063005.Q,LM473063005.Q,LM473063605.Q,LM473063095.Q,LM513063005.Q,LM513063605.Q,LM513063095.Q,LM543063005.Q,LM543063675.Q,LM543063095.Q,LM573063005.Q,LM343063005.Q,LM223063045.Q,FL633063005.Q,LM653063005.Q,LM553063003.Q,LM563063003.Q,LM403063005.Q,LM403063605.Q,LM403063095.Q,LM613063003.Q,LM643063073.Q,LM663063005.Q,LM733063003.Q,FL503063005.Q,LM263063005.Q,LM263063603.Q,LM263063095.Q,LM903063003.Q
1945:Q4,26949,23905,131,0,0,131,0,0,0,0,2913,26949,8396,0,0,0,3544,0,3544,12,0,0,0,0,489,0,489,11300,0,11300,1800,0,140,0,126,145,0,0,0,0,0,0,494,0,0,503,0,503,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,27872,24858,193,0,0,193,0,0,0,0,2821,27872,7452,0,0,0,3695,0,3695,21,15,0,0,0,501,0,501,13105,0,13105,2000,0,160,0,153,150,0,0,0,0,0,0,391,0,0,229,0,229,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,30795,27671,324,0,0,324,0,0,0,0,2800,30795,6644,0,0,0,4017,0,4017,31,4,0,0,0,564,0,564,16125,0,16125,2200,0,190,0,145,195,0,0,0,0,0,0,400,0,0,280,0,280,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
