date,FL894123005.Q,FL793068005.Q,FL893169005.Q,FL893065005.Q,FL893065105.Q,FL893065405.Q,FL893065505.Q,FL893065603.Q,FL153166000.Q,FL894123005.Q,FL384123005.Q,FL154123005.Q,FL104123005.Q,FL114123005.Q,FL314123005.Q,FL213169203.Q,FL794123005.Q,FL763169305.Q,FL473169333.Q,FL513169333.Q,FL543169373.Q,FL403169283.Q,FL614123005.Q,FL644123075.Q,FL664123005.Q,FL504123005.Q,FL264123005.Q,FL894123005.Q,FL384023005.Q,FL154023005.Q,FL104023005.Q,FL114023005.Q,FL314023005.Q,FL214023005.Q,FL794023005.Q,FL713068005.Q,FL764023005.Q,FL754023005.Q,FL744023003.Q,FL474023000.Q,FL513065505.Q,FL544023005.Q,FL573065005.Q,FL343069005.Q,FL223065043.Q,FL653069803.Q,FL404023005.Q,FL413065005.Q,FL674023005.Q,FL614023005.Q,FL643065075.Q,FL663069005.Q,FL733069005.Q,FL503069005.Q,FL263069005.Q
1945:Q4,114800,14454,57693,35853,18706,4922,7465,4760,6800,114800,107725,29442,20653,11287,45838,505,4468,205,0,0,0,0,287,0,3976,0,2607,114800,65042,55818,2799,579,5846,0,49758,0,31333,112,14,132,56,8598,0,2903,18,0,1697,0,0,3643,0,1252,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,131338,17656,61873,42032,23100,5270,8765,4897,9777,131338,122888,36067,24894,14019,47424,484,3448,301,0,0,0,0,781,0,2366,0,5002,131338,71231,58595,3331,669,8611,25,60107,0,40635,195,27,186,61,9049,22,3273,21,0,1771,0,0,4273,0,594,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,152629,21186,68947,49198,28267,5787,10080,5064,13298,152629,140466,44913,28937,15781,50332,503,3059,432,0,0,0,0,1045,0,1582,0,9104,152629,79509,61966,4135,781,12577,50,73120,0,50112,250,44,275,69,10612,42,4096,25,0,1997,0,0,4962,0,636,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,169027,23004,73123,56568,33422,6662,11196,5288,16332,169027,154583,53423,30674,17157,52756,573,4208,509,0,0,0,0,1631,0,2068,0,10236,169027,84640,64759,4935,902,13940,104,84387,0,56896,302,84,380,76,12890,62,4919,35,0,2226,4,0,5908,0,605,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
