date,FL793068005.Q,FL153168005.Q,FL103168005.Q,FL113168005.Q,FL793168005.Q,FL613168005.Q,FL643168073.Q,FL663168005.Q,FL713068505.Q,FL263168005.Q,FL263168465.Q,FL263168485.Q,FL263168495.Q,FL793068005.Q,FL713068005.Q,FL763068005.Q,FL753068005.Q,FL743068005.Q,FL473068005.Q
1945:Q4,14454,290,8912,1341,3569,287,0,3282,0,342,36,306,0,14454,0,14373,81,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,17656,174,12505,2231,2414,781,0,1633,0,332,49,283,0,17656,0,17506,150,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,21186,156,15574,2882,1967,1045,0,922,0,607,100,507,0,21186,0,20988,198,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,23004,161,16181,2972,3045,1631,0,1414,0,645,92,553,0,23004,0,22754,250,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,21938,177,14287,2840,4016,2130,0,1886,0,618,80,538,0,21938,0,21553,385,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,27707,319,17974,3751,5301,3312,0,1989,0,362,160,202,0,27707,0,27212,495,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,32783,550,22183,4565,5023,3235,0,1788,0,462,326,136,0,32783,0,32124,659,0,0
1952:Q1,32445,550,21916,4605,4861,3353,0,1508,0,513,248,265,0,32445,0,31701,744,0,0
1952:Q2,33420,533,21494,4938,5896,3499,0,2397,0,559,288,271,0,33420,0,32596,824,0,0
1952:Q3,33321,466,21955,4965,5381,3630,0,1751,0,554,294,260,0,33321,0,32560,761,0,0
1952:Q4,35613,417,22979,4944,6697,4355,0,2342,0,576,279,297,0,35613,0,34826,787,0,0
