date,FL893065005.Q,FL893065105.Q,FL893065405.Q,FL893065505.Q,FL893065603.Q,FL893065005.Q,FL153165005.Q,FL143165005.Q,FL103165005.Q,FL113165005.Q,FL313165403.Q,FL893065005.Q,FL153065005.Q,FL103065005.Q,FL113065005.Q,FL313065005.Q,FL313065015.Q,FL313065075.Q,FL313065035.Q,FL313065095.Q,FL213065005.Q,FL703065005.Q,FL763065005.Q,FL753065005.Q,FL743065003.Q,FL473065100.Q,FL513065505.Q,FL543065005.Q,FL573065005.Q,FL223065043.Q,FL403065005.Q,FL403065015.Q,FL403065025.Q,FL403065045.Q,FL403065035.Q,FL403065653.Q,FL413065005.Q,FL413065015.Q,FL413065025.Q,FL413065045.Q,FL413065653.Q,FL413065035.Q,FL673065005.Q,FL613065000.Q,FL643065075.Q
1945:Q4,35853,18706,4922,7465,4760,35853,19022,16831,8541,8290,0,35853,12189,5,0,1384,902,467,0,15,0,14466,14336,0,14,116,56,6636,0,18,1035,0,0,1035,0,0,0,0,0,0,0,0,0,64,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,42032,23100,5270,8765,4897,42032,23514,18518,9335,9183,0,42032,13711,10,0,1038,672,357,0,9,25,18867,18683,0,27,157,61,7155,22,21,959,0,0,959,0,0,0,0,0,0,0,0,0,163,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,49198,28267,5787,10080,5064,49198,28773,20425,10495,9930,0,49198,15070,16,0,945,631,307,0,7,50,23195,22926,0,44,225,69,8675,42,25,887,0,0,887,0,0,0,0,0,0,0,0,0,224,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,56568,33422,6662,11196,5288,56568,34143,22425,11535,10890,0,56568,16268,30,0,991,718,266,0,7,104,27080,26694,0,84,302,76,10833,62,35,872,0,0,872,0,0,4,0,0,4,0,0,0,213,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,62679,37406,7829,11865,5579,62679,38372,24307,12181,12126,0,62679,16993,24,0,1108,828,253,23,4,185,30036,29598,0,93,345,93,12906,82,52,905,0,0,905,0,0,7,0,0,7,0,0,0,288,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,73108,45250,9301,12486,6071,73108,46516,26592,12634,13958,0,73108,17689,23,0,1675,1347,259,30,39,237,35663,35147,0,114,402,104,16102,102,75,952,0,0,952,0,0,32,0,0,32,0,0,0,454,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,82573,51792,10642,13488,6651,82573,53361,29212,13229,15983,0,82573,18623,26,0,2303,1850,248,49,156,306,40249,39702,0,142,405,118,19314,120,105,1010,0,0,1010,0,0,43,0,0,43,0,0,0,356,0
1952:Q1,84413,53066,10820,13713,6814,84413,54685,29728,13385,16343,0,84413,18652,27,0,2566,2043,298,53,172,334,41037,40535,0,145,357,120,19889,126,113,1028,0,0,1028,0,0,45,0,0,45,0,0,0,476,0
1952:Q2,86783,54798,11037,13927,7021,86783,56493,30290,13260,17030,0,86783,18913,28,0,2603,2058,307,58,180,359,42550,42000,0,146,404,121,20349,133,122,1046,0,0,1046,0,0,47,0,0,47,0,0,0,512,0
1952:Q3,89210,56640,11275,14161,7134,89210,58411,30799,13250,17549,0,89210,19126,29,0,2670,2088,318,61,203,385,44106,43599,0,147,360,122,20812,141,131,1068,0,0,1068,0,0,50,0,0,50,0,0,0,570,0
1952:Q4,91530,58416,11481,14397,7236,91530,60252,31278,13464,17814,0,91530,19289,30,0,2863,2242,328,65,228,409,45533,44996,0,147,390,123,21251,149,141,1091,0,0,1091,0,0,53,0,0,53,0,0,0,598,0
1953:Q1,93649,60006,11587,14660,7396,93649,61919,31730,13756,17974,0,93649,19619,31,0,3051,2394,333,73,251,430,46691,46148,0,148,395,125,21741,159,152,1114,0,0,1114,0,0,55,0,0,55,0,0,0,481,0
1953:Q2,96517,62225,11766,14939,7587,96517,64212,32305,13696,18609,0,96517,19886,32,0,3199,2498,338,81,282,451,48496,47918,0,150,428,129,22253,170,163,1136,0,0,1136,0,0,56,0,0,56,0,0,0,546,0
1953:Q3,99018,64205,11934,15212,7667,99018,66255,32763,13761,19002,0,99018,20020,32,0,3288,2541,344,90,313,471,50102,49565,0,151,386,134,22736,181,175,1158,0,0,1158,0,0,58,0,0,58,0,0,0,663,0
1953:Q4,101360,65938,12121,15564,7737,101360,68070,33290,14142,19148,0,101360,20285,32,0,3258,2463,350,97,348,492,51588,51054,0,151,383,139,23322,192,188,1180,0,0,1180,0,0,60,0,0,60,0,0,0,624,0
1954:Q1,103321,67351,12174,15880,7916,103321,69575,33746,14419,19327,0,103321,20492,32,0,3190,2366,352,104,368,514,52803,52291,0,151,361,143,23817,203,202,1211,0,0,1211,0,0,61,0,0,61,0,0,0,653,0
1954:Q2,106366,69614,12312,16324,8116,106366,71936,34430,14285,20145,0,106366,20817,32,0,3179,2302,354,111,412,538,54804,54197,0,151,456,145,24432,213,217,1242,0,0,1242,0,0,62,0,0,62,0,0,0,685,0
1954:Q3,109757,72336,12452,16782,8187,109757,74733,35024,14216,20808,0,109757,21107,32,0,3316,2406,366,117,427,561,56946,56379,0,151,416,145,25083,224,233,1262,0,0,1262,0,0,70,0,0,70,0,0,0,778,0
1954:Q4,113580,75356,12665,17313,8246,113580,77768,35812,14636,21176,0,113580,21423,33,0,3425,2476,377,124,448,582,59307,58747,0,153,407,143,25976,238,249,1281,0,0,1281,0,0,78,0,0,78,0,0,0,845,0
1955:Q1,117256,78237,12782,17765,8472,117256,80678,36578,14935,21643,0,117256,21796,36,0,3457,2553,287,136,481,599,61560,60895,0,160,505,144,26768,255,266,1344,0,0,1344,0,0,86,0,0,86,0,0,0,945,0
1955:Q2,121656,81697,12989,18263,8707,121656,83992,37664,15128,22536,0,121656,22089,40,0,3551,2599,282,148,522,613,64516,63802,0,171,543,146,27518,274,283,1417,9,0,1408,0,0,95,0,0,95,0,0,0,1114,0
1955:Q3,125896,85032,13179,18819,8866,125896,87294,38602,15355,23247,0,125896,22315,44,0,3572,2575,279,160,558,626,67369,66661,0,182,526,149,28277,296,301,1483,30,0,1453,0,0,105,0,0,105,0,0,0,1359,0
1955:Q4,129823,87936,13490,19375,9022,129823,90102,39721,16195,23526,0,129823,22725,47,0,3622,2569,279,173,601,641,69481,68766,0,191,524,152,29445,321,318,1583,86,0,1497,0,0,116,0,0,116,0,0,0,1372,0
