date,LM893181115.Q,LM103192105.Q,LM113181115.Q,FL713164005.Q,FL763194603.Q,LM753181115.Q,LM513181115.Q,LM543181115.Q,FL403192405.Q,LM613192103.Q,LM663181115.Q,LM733192103.Q,LM503181115.Q,LM263181115.Q,LM893081115.Q,LM153081115.Q,LM103081115.Q,FL113092405.Q,LM313081115.Q,LM763081115.Q,FL473092403.Q,LM513081115.Q,LM543081115.Q,LM613081115.Q,FL643092473.Q,LM663092103.Q,LM733081115.Q,FL503094505.Q,LM263092101.Q
1945:Q4,207198,1184,197429,177,0,140,251,218,700,17,136,0,0,6946,207198,197385,6722,181,443,271,0,60,93,23,0,30,0,0,1990
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,244232,1176,234226,187,0,141,252,219,613,17,138,0,0,7263,244232,234182,6703,143,700,296,0,63,97,27,0,34,0,0,1987
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,278901,1247,267424,196,0,144,254,220,583,17,140,0,0,8676,278901,267380,7776,124,991,325,0,67,101,32,0,39,0,0,2066
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,295982,1386,283127,201,0,145,256,221,604,17,139,0,0,9886,295982,283079,8961,126,994,349,0,71,105,38,0,47,0,0,2212
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,298884,1499,284870,211,0,146,258,223,599,17,142,0,0,10919,298884,284821,9965,129,970,379,0,75,109,47,0,55,0,0,2334
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
