date,LM263192101.Q,LM103092105.Q,LM763092100.Q,LM513092103.Q,LM543092173.Q,LM613092103.Q,LM663092103.Q,LM733092103.Q,LM103192105.Q,LM115114103.Q,LM753192103.Q,LM513192103.Q,LM543192173.Q,LM613192103.Q,LM663192103.Q,LM733192103.Q,LM503192103.Q,LM263092101.Q,LM263192005.Q,LM263092001.Q
1945:Q4,6946,6718,22,60,93,23,30,0,1184,44,140,251,218,17,136,0,0,1990,7227,2507
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6946,6700,25,63,97,27,34,0,1176,44,141,252,219,17,138,0,0,1987,7227,2503
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,8041,7774,28,67,101,32,39,0,1247,44,144,254,220,17,140,0,0,2066,8366,2603
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,9251,8959,31,71,105,38,47,0,1386,48,145,256,221,17,139,0,0,2212,9625,2787
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,10284,9963,35,75,109,47,55,0,1499,49,146,258,223,17,142,0,0,2334,10700,2941
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,11330,10976,40,79,114,57,64,0,1848,57,148,260,225,17,136,0,0,2691,11788,3391
