date,FL893194905.Q,LM112090205.Q,LM662090003.Q,LM152090205.Q,FL313092803.Q,FL313092803.Q,FL713164003.Q,FL713164003.Q,FL403192405.Q,FL103092405.Q,FL113092405.Q,FL313092403.Q,FL763092405.Q,FL473092403.Q,FL513092403.Q,FL543092473.Q,FL613092403.Q,FL643092473.Q,FL763194603.Q,FL513194603.Q,FL543194603.Q,FL663194605.Q,FL733094635.Q,FL753194503.Q,FL663194505.Q,FL503094505.Q,FL313094213.Q,FL503194205.Q,FL313094205.Q,LM503194305.Q,LM153094305.Q,LM313094303.Q
1945:Q4,198262,197385,0,197385,0,0,177,177,700,4,181,443,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,235299,234182,0,234182,317,317,187,187,613,3,143,383,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,268794,267380,0,267380,635,635,196,196,583,2,124,356,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,284519,283079,0,283079,635,635,201,201,604,2,126,359,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,286266,284821,0,284821,635,635,211,211,599,2,129,335,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,303181,301715,0,301715,635,635,225,225,606,2,132,295,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,330028,328507,0,328507,635,635,237,237,649,2,137,239,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q1,333131,331585,0,331585,635,635,242,242,669,3,137,239,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q2,334066,332505,0,332505,635,635,245,245,681,3,139,239,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q3,334395,332825,0,332825,635,635,247,247,688,3,140,239,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q4,332247,330661,0,330661,635,635,253,253,698,3,141,239,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q1,330719,329104,0,329104,635,635,257,257,723,3,143,239,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q2,329371,327737,0,327737,635,635,260,260,739,3,143,239,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q3,330329,328684,0,328684,635,635,262,262,748,3,146,239,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q4,331873,330215,0,330215,635,635,265,265,758,3,148,239,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q1,332125,330434,0,330434,635,635,270,270,786,3,149,231,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q2,332033,330343,0,330343,635,635,272,272,783,3,150,210,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q3,333413,331710,0,331710,635,635,276,276,792,3,152,210,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q4,335646,333825,0,333825,635,635,288,288,898,3,154,303,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q1,337665,335803,0,335803,635,635,294,294,933,3,156,303,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q2,338301,336411,0,336411,635,635,295,295,960,4,157,303,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q3,341480,339575,0,339575,635,635,298,298,972,4,161,303,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q4,345731,343803,0,343803,635,635,303,303,990,6,165,303,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q1,351599,349606,0,349606,635,635,310,310,1048,8,168,303,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q2,356377,354354,0,354354,635,635,316,316,1072,10,172,300,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q3,360012,357937,0,357937,670,670,320,320,1085,14,175,300,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q4,362924,360826,0,360826,670,670,326,326,1102,17,178,300,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q1,366778,364547,0,364547,670,670,331,331,1230,22,182,375,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q2,369522,367267,0,367267,670,670,333,333,1252,27,189,368,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q3,373294,371022,0,371022,670,670,338,338,1264,31,191,368,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q4,375477,373179,0,373179,670,670,345,345,1283,37,193,368,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q1,381541,379183,0,379183,670,670,350,350,1338,41,195,368,734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q2,384883,382512,0,382512,670,670,353,353,1348,41,195,364,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q3,387924,385536,0,385536,670,670,357,357,1361,42,205,358,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q4,389678,387266,0,387266,670,670,363,363,1379,43,209,358,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q1,390467,387977,0,387977,670,670,374,374,1446,45,213,361,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q2,390072,387551,0,387551,670,670,380,380,1471,48,215,364,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q3,389793,387252,0,387252,670,670,383,383,1488,52,227,357,852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
