date,FL893150005.Q,FL543150005.Q,FL574190005.Q,FL344090005.Q,FL224190005.Q,FL263150005.Q,FL893150005.Q,FL153050005.Q,FL543050005.Q,FL543151905.Q,LM893131573.Q,FL763131573.Q,FL473131573.Q,LM543131503.Q,FL633131573.Q,LM653131573.Q,LM153131575.Q
1945:Q4,61172,2700,20697,24792,12983,0,61172,61172,0,0,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,69381,3100,22077,29054,15150,0,69381,69381,0,0,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,77939,3600,23594,32968,17777,0,77939,77939,0,0,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,86476,4200,24957,36953,20366,0,86476,86476,0,0,ND,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,95413,4825,26227,41313,23048,0,95413,95413,0,0,ND,ND,ND,ND,ND,ND,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,104563,5600,27229,45852,25882,0,104563,104563,0,0,ND,ND,ND,ND,ND,ND,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,118836,6575,32068,51985,28208,0,118836,118836,0,0,ND,ND,ND,ND,ND,ND,ND
1952:Q1,122766,6845,33458,53758,28705,0,122766,122766,0,0,ND,ND,ND,ND,ND,ND,ND
1952:Q2,126980,7129,34610,55703,29538,0,126980,126980,0,0,ND,ND,ND,ND,ND,ND,ND
1952:Q3,131097,7417,35751,57558,30371,0,131097,131097,0,0,ND,ND,ND,ND,ND,ND,ND
1952:Q4,135222,7700,36940,59378,31204,0,135222,135222,0,0,ND,ND,ND,ND,ND,ND,ND
1953:Q1,139501,7980,38270,61262,31989,0,139501,139501,0,0,ND,ND,ND,ND,ND,ND,ND
1953:Q2,143864,8259,39609,63222,32774,0,143864,143864,0,0,ND,ND,ND,ND,ND,ND,ND
1953:Q3,148161,8539,40941,65121,33560,0,148161,148161,0,0,ND,ND,ND,ND,ND,ND,ND
1953:Q4,152448,8825,42280,66997,34346,0,152448,152448,0,0,ND,ND,ND,ND,ND,ND,ND
1954:Q1,156688,9113,43372,68881,35322,0,156688,156688,0,0,ND,ND,ND,ND,ND,ND,ND
1954:Q2,160991,9401,44440,70853,36297,0,160991,160991,0,0,ND,ND,ND,ND,ND,ND,ND
1954:Q3,165191,9695,45528,72696,37272,0,165191,165191,0,0,ND,ND,ND,ND,ND,ND,ND
1954:Q4,169529,10000,46674,74607,38248,0,169529,169529,0,0,ND,ND,ND,ND,ND,ND,ND
1955:Q1,174001,10322,47806,76539,39334,0,174001,174001,0,0,ND,ND,ND,ND,ND,ND,ND
1955:Q2,178721,10663,49056,78583,40419,0,178721,178721,0,0,ND,ND,ND,ND,ND,ND,ND
1955:Q3,183332,11004,50290,80534,41504,0,183332,183332,0,0,ND,ND,ND,ND,ND,ND,ND
1955:Q4,187850,11325,51451,82484,42590,0,187850,187850,0,0,ND,ND,ND,ND,ND,ND,ND
1956:Q1,192789,11624,52789,84514,43862,0,192789,192789,0,0,ND,ND,ND,ND,ND,ND,ND
1956:Q2,197659,11895,53991,86640,45133,0,197659,197659,0,0,ND,ND,ND,ND,ND,ND,ND
1956:Q3,202457,12175,55217,88661,46404,0,202457,202457,0,0,ND,ND,ND,ND,ND,ND,ND
1956:Q4,207371,12500,56529,90667,47675,0,207371,207371,0,0,ND,ND,ND,ND,ND,ND,ND
1957:Q1,214959,12868,58320,94837,48934,0,214959,214959,0,0,ND,ND,ND,ND,ND,ND,ND
1957:Q2,222847,13279,60284,99090,50194,0,222847,222847,0,0,ND,ND,ND,ND,ND,ND,ND
1957:Q3,230404,13700,61996,103254,51454,0,230404,230404,0,0,ND,ND,ND,ND,ND,ND,ND
1957:Q4,237957,14100,63731,107412,52714,0,237957,237957,0,0,ND,ND,ND,ND,ND,ND,ND
1958:Q1,243715,14475,65125,109839,54276,0,243715,243715,0,0,ND,ND,ND,ND,ND,ND,ND
1958:Q2,249584,14826,66589,112331,55838,0,249584,249584,0,0,ND,ND,ND,ND,ND,ND,ND
1958:Q3,255559,15189,68114,114856,57400,0,255559,255559,0,0,ND,ND,ND,ND,ND,ND,ND
1958:Q4,261505,15600,69685,117258,58962,0,261505,261505,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q1,266590,16068,71366,119752,59404,0,266590,266590,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q2,271973,16602,73192,122333,59846,0,271973,271973,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q3,277284,17129,74821,125047,60287,0,277284,277284,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q4,282450,17575,76659,127488,60728,0,282450,282450,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q1,288429,17946,77804,130071,62608,0,288429,288429,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q2,295014,18248,79212,133065,64489,0,295014,295014,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q3,300892,18532,80346,135644,66370,0,300892,300892,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q4,307270,18850,81980,138190,68250,0,307270,307270,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q1,313474,19191,83191,140868,70224,0,313474,313474,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q2,319799,19544,84063,143994,72198,0,319799,319799,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q3,325795,19900,85017,146706,74172,0,325795,325795,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q4,331988,20250,86222,149370,76146,0,331988,331988,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q1,335565,20591,86649,152244,76081,0,335565,335565,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q2,338706,20920,86172,155598,76016,0,338706,338706,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q3,342545,21258,86875,158460,75952,0,342545,342545,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q4,346726,21625,87856,161357,75888,0,346726,346726,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q1,352905,22016,88876,164388,77625,0,352905,352905,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q2,359582,22427,89847,167946,79362,0,359582,359582,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q3,365745,22856,90808,170982,81099,0,365745,365745,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q4,371995,23300,91810,174049,82836,0,371995,371995,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q1,379278,23764,93371,177283,84860,0,379278,379278,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q2,386996,24250,94840,181023,86883,0,386996,386996,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q3,394267,24748,96324,184288,88907,0,394267,394267,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q4,401472,25250,97767,187524,90931,0,401472,401472,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q1,409874,25837,99771,190957,93309,0,409874,409874,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q2,418356,26341,101363,194964,95688,0,418356,418356,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q3,427077,26818,103773,198420,98066,0,427077,427077,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q4,435522,27325,105912,201840,100445,0,435522,435522,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q1,445412,27846,108591,205597,103378,0,445412,445412,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q2,455635,28367,110992,209964,106312,0,455635,455635,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q3,464852,28892,112985,213730,109245,0,464852,464852,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q4,475291,29425,116155,217532,112179,0,475291,475291,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q1,486787,29976,120167,221609,115035,0,486787,486787,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q2,498099,30617,123253,226338,117891,0,498099,498099,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q3,509267,31276,126873,230370,120748,0,509267,509267,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q4,519848,31939,129858,234447,123604,0,519848,519848,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q1,532748,32612,132783,238791,128562,0,532748,532748,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q2,548249,33300,137597,243833,133519,0,548249,548249,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q3,561968,33797,141528,248166,138477,0,561968,561968,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q4,576138,34696,145431,252576,143435,0,576138,576138,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q1,591283,35300,149940,257215,148828,0,591283,591283,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q2,607266,36003,154599,262443,154221,0,607266,607266,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q3,622639,36718,159141,267166,159614,0,622639,622639,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q4,638481,37561,164184,271729,165007,0,638481,638481,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q1,659498,38343,171484,279823,169848,0,659498,659498,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q2,675440,39123,173010,288618,174689,0,675440,675440,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q3,695919,39971,179782,296637,179529,0,695919,695919,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q4,715874,40960,185879,304665,184370,0,715874,715874,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q1,738802,42102,191852,311535,193313,0,738802,738802,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q2,760635,43385,195910,319084,202256,0,760635,760635,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q3,782401,44749,200654,325799,211199,0,782401,782401,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q4,804816,46131,205875,332668,220142,0,804816,804816,0,0,ND,ND,ND,ND,ND,ND,ND
1972:Q1,831235,47585,213057,339900,230693,0,831235,831235,0,0,ND,ND,ND,ND,ND,ND,ND
1972:Q2,857644,49169,219238,347994,241243,0,857644,857644,0,0,ND,ND,ND,ND,ND,ND,ND
1972:Q3,883721,50718,226003,355206,251794,0,883721,883721,0,0,ND,ND,ND,ND,ND,ND,ND
1972:Q4,910634,52063,233768,362458,262345,0,910634,910634,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q1,924937,53212,238085,369946,263694,0,924937,924937,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q2,939226,54172,241692,378319,265043,0,939226,939226,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q3,956495,55084,249304,385715,266392,0,956495,956495,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q4,968997,56089,251892,393275,267741,0,968997,968997,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q1,993021,57019,259027,400970,276005,0,993021,993021,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q2,1015113,57733,263456,409655,284269,0,1015113,1015113,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q3,1033307,58695,264919,417159,292534,0,1033307,1033307,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q4,1059952,60372,273964,424817,300799,0,1059952,1059952,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q1,1092910,62694,287425,432623,310168,0,1092910,1092910,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q2,1126405,65593,299909,441366,319537,0,1126405,1126405,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q3,1151947,68877,305285,448879,328906,0,1151947,1151947,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q4,1181733,72349,314513,456596,338275,0,1181733,1181733,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q1,1206062,76120,325761,464663,339518,0,1206062,1206062,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q2,1226048,80343,331138,473805,340762,0,1226048,1226048,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q3,1246623,84666,338480,481472,342005,0,1246623,1246623,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q4,1268575,88740,346975,489612,343248,0,1268575,1268575,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q1,1296300,92446,354426,497807,351621,0,1296300,1296300,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q2,1325778,95847,362655,507281,359995,0,1325778,1325778,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q3,1353912,99313,370795,515436,368368,0,1353912,1353912,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q4,1381895,103217,378132,523804,376742,0,1381895,1381895,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q1,1414822,107458,387019,533860,386485,0,1414822,1414822,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q2,1450915,111959,397511,545218,396227,0,1450915,1450915,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q3,1488329,116692,410691,554977,405969,0,1488329,1488329,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q4,1521371,121630,418720,565310,415711,0,1521371,1521371,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q1,1563530,126736,434043,575555,427196,0,1563530,1563530,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q2,1601859,131964,444045,587168,438682,0,1601859,1601859,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q3,1641008,137504,455929,597407,450168,0,1641008,1641008,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q4,1683912,143546,467152,608163,465051,0,1683912,1683912,0,0,ND,ND,ND,ND,ND,ND,ND
1980:Q1,1723943,150151,484284,618645,470863,0,1723943,1723943,0,0,ND,ND,ND,ND,ND,ND,ND
1980:Q2,1779480,157384,515075,630342,476679,0,1779480,1779480,0,0,ND,ND,ND,ND,ND,ND,ND
1980:Q3,1833378,164801,545093,640721,482763,0,1833378,1833378,0,0,ND,ND,ND,ND,ND,ND,ND
1980:Q4,1883717,171960,571428,651536,488793,0,1883717,1883717,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q1,1932661,178243,586153,662352,505913,0,1932661,1932661,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q2,1981569,183634,600559,674536,522840,0,1981569,1981569,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q3,2026229,189900,611808,685230,539291,0,2026229,2026229,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q4,2083971,199792,631515,696095,556569,0,2083971,2083971,0,0,38000,24700,2500,3320,1595,995,4890
1982:Q1,2139050,209369,649169,707641,572871,0,2139050,2139050,0,0,45500,29175,2825,3946,1918,1373,6263
1982:Q2,2198463,220367,668001,720639,589456,0,2198463,2198463,0,0,53000,33650,3150,4571,2242,1811,7576
1982:Q3,2271057,233354,698996,732139,606568,0,2271057,2271057,0,0,60500,38125,3475,5194,2566,2392,8748
1982:Q4,2330979,242900,720439,743506,624134,0,2330979,2330979,0,0,68000,42600,3800,5800,2890,3084,9826
1983:Q1,2407819,252335,762542,755768,637174,0,2407819,2407819,0,0,77750,48550,4200,6619,3064,4254,11063
1983:Q2,2494173,265284,809620,768968,650301,0,2494173,2494173,0,0,87500,54500,4600,7475,3237,5614,12074
1983:Q3,2551765,272354,835953,780748,662710,0,2551765,2551765,0,0,97250,60450,5000,8250,3411,6479,13660
1983:Q4,2614218,281650,863919,793505,675144,0,2614218,2614218,0,0,107000,66400,5400,8995,3585,7359,15261
1984:Q1,2676446,287889,891383,807741,689433,0,2676446,2676446,0,0,120000,70440,6025,9827,4082,8263,21363
1984:Q2,2728281,295754,906436,822701,703390,0,2728281,2728281,0,0,133000,74480,6650,10679,4580,9269,27342
1984:Q3,2814025,310503,948954,836207,718361,0,2814025,2814025,0,0,146000,78520,7275,11673,5077,10891,32564
1984:Q4,2895856,328343,985046,849607,732860,0,2895856,2895856,0,0,159000,95644,7929,12550,5575,12329,24973
1985:Q1,2996873,340677,1041578,865155,749463,0,2996873,2996873,0,0,179500,109161,7425,14579,5923,15417,26995
1985:Q2,3067036,356665,1064606,879865,765900,0,3067036,3067036,0,0,200000,119732,8994,16569,6271,18962,29472
1985:Q3,3118280,363585,1078634,894564,781497,0,3118280,3118280,0,0,220500,124039,10088,18371,6620,21808,39574
1985:Q4,3184150,260441,1215573,909165,798971,0,3184150,3184150,0,0,241000,127887,12147,16955,6968,25857,51186
1986:Q1,3276772,273503,1256069,927364,819836,0,3276772,3276772,0,0,263000,139840,13413,18575,7466,32809,50897
1986:Q2,3352779,295200,1273595,944944,839040,0,3352779,3352779,0,0,285000,149469,16567,20208,7964,38040,52752
1986:Q3,3401998,305164,1277411,962461,856962,0,3401998,3401998,0,0,307000,150246,17309,21244,8461,41975,67765
1986:Q4,3496174,327834,1312363,979843,876134,0,3496174,3496174,0,0,329000,153813,18051,22650,8959,47724,77803
