date,FL263191103.Q,FL313091105.Q,FL713091103.Q,FL313131003.Q,FL313131003.Q,FL403197033.Q,FL403197033.Q,FL673090543.Q,FL673090543.Q,FL543077073.Q,FL543077073.Q,FL543195005.Q,FL263195105.Q,FL153095105.Q,FL543095105.Q,FL513176005.Q,FL263176005.Q,FL153076005.Q,FL103076005.Q,FL113076005.Q,FL513076005.Q,FL263076005.Q,FL593095005.Q,FL573095005.Q,FL223095505.Q,FL573074005.Q,FL573074005.Q,FL313195105.Q,FL313195105.Q,FL573073005.Q,FL343073045.Q,FL223073045.Q,FL573073005.Q,FL343073045.Q,FL223073045.Q
1945:Q4,402,402,0,3014,3014,46,46,0,0,638,638,1385,0,1385,0,3581,0,1852,429,1300,0,0,0,0,0,0,0,0,0,16879,21889,10381,16879,21889,10381
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,212,212,0,3379,3379,70,70,0,0,703,703,1601,0,1601,0,4297,0,2074,689,1534,0,0,0,0,0,0,0,0,0,18059,25781,12278,18059,25781,12278
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,324,324,0,3523,3523,98,98,0,0,784,784,1717,0,1717,0,5121,0,2352,971,1798,0,0,0,0,0,0,0,0,0,19070,28872,14569,19070,28872,14569
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,236,236,0,3442,3442,133,133,0,0,835,835,1911,0,1911,0,5860,0,2634,1209,2017,0,0,0,0,0,0,0,0,0,19929,32034,16720,19929,32034,16720
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,409,409,0,3302,3302,267,267,0,0,904,904,2134,0,2134,0,6511,0,2921,1402,2188,0,0,0,0,0,0,0,0,0,20696,35354,18866,20696,35354,18866
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,444,444,0,3035,3035,224,224,0,0,1007,1007,2372,0,2372,0,7030,0,3285,1437,2308,0,0,0,0,0,0,0,0,0,21236,39109,21026,21236,39109,21026
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,447,447,0,2813,2813,261,261,0,0,1086,1086,2631,0,2631,0,7912,0,3832,1568,2512,0,0,0,0,0,0,0,0,0,24923,44532,22591,24923,44532,22591
1952:Q1,441,441,0,2777,2777,345,345,0,0,1105,1105,2699,0,2699,0,8156,0,3980,1600,2576,0,0,0,0,0,139,139,0,0,24141,46206,22830,24141,46206,22830
1952:Q2,435,435,0,2728,2728,407,407,0,0,1123,1123,2767,0,2767,0,8417,0,4138,1630,2649,0,0,0,0,0,145,145,0,0,24880,47765,23469,24880,47765,23469
1952:Q3,422,422,0,2680,2680,380,380,0,0,1142,1142,2838,0,2838,0,8677,0,4293,1659,2725,0,0,0,0,0,151,151,0,0,25658,49195,23946,25658,49195,23946
