date,FL885019865.Q,FL885019665.Q,FL885019265.Q,FL885013765.Q,FL885013365.Q,FL885013465.Q,FL835013565.Q,FL885019865.Q,FL155015015.Q,FL105015085.Q,FL115015005.Q,FL315015005.Q,FL215015005.Q,FL795013865.Q,FL715013865.Q,FL705013865.Q,FL765013865.Q,FL755013865.Q,FL745013865.Q,FL475013865.Q,FL515013865.Q,FL545013865.Q,FL575013865.Q,FL225013865.Q,FL405013865.Q,FL675013263.Q,FL615013865.Q,FL665013865.Q,FL735013865.Q,FL155111005.Q,FL145020005.Q
1945:Q4,554840,419286,123201,12353,0,7056,5297,554840,118330,134003,95477,135721,66104,5205,29,1546,1489,49,0,8,127,105,10,0,0,0,364,134,2886,53999,60394
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,639557,500717,124673,14167,0,8274,5893,639557,149143,161715,116492,132686,72880,6641,34,1963,1936,12,0,15,165,136,13,0,0,0,470,157,3701,61760,72600
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,734155,591591,126427,16137,0,9381,6756,734155,179022,192728,136916,124219,93300,7970,40,2377,2331,23,0,23,206,172,16,1,0,0,551,192,4415,73356,81200
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,779995,630942,131562,17491,0,10389,7102,779995,195613,211039,146901,116197,101642,8603,44,2546,2483,33,2,28,240,201,16,1,0,0,572,213,4768,83073,88050
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,785039,638466,128154,18419,0,11080,7339,785039,207311,215670,150119,106730,97201,8008,40,2402,2331,37,4,30,243,201,14,1,0,0,521,215,4367,91782,82750
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,871996,712794,138649,20553,0,12686,7867,871996,237976,241922,166958,106631,109574,8935,47,2675,2582,48,6,39,298,240,16,1,0,0,562,243,4848,107480,87650
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,957305,781948,152960,22397,0,14289,8108,957305,262749,262117,178696,120256,123145,10342,59,3033,2919,57,6,51,353,282,20,2,0,0,714,271,5606,120011,108025
1952:Q1,970568,791379,156489,22700,0,14575,8125,970568,267236,267403,180432,121852,123133,10512,61,3073,2955,58,7,53,358,285,21,3,0,0,750,273,5689,123210,110100
1952:Q2,987593,804206,160261,23126,0,14927,8199,987593,272469,271092,182153,124522,126763,10594,63,3088,2967,59,7,55,362,290,22,3,0,0,778,274,5716,124046,108500
1952:Q3,1005701,819491,162515,23695,0,15350,8345,1005701,277936,273808,183498,128163,131654,10642,64,3090,2966,59,8,57,363,290,22,3,0,0,802,272,5736,127239,107800
1952:Q4,1012970,823187,165512,24271,0,15854,8417,1012970,279736,277786,183665,130505,130532,10746,65,3108,2982,59,8,59,367,294,22,3,0,0,832,272,5783,127000,105100
1953:Q1,1022595,828749,168882,24964,0,16348,8616,1022595,282843,280526,184050,131999,132428,10749,65,3119,2988,61,8,62,371,294,22,3,0,0,834,272,5769,130396,104000
1953:Q2,1034399,835184,173631,25584,0,16843,8741,1034399,286323,285738,185100,135167,131208,10863,67,3158,3024,61,8,65,378,297,22,3,0,0,844,275,5818,132497,103700
1953:Q3,1050559,845670,178680,26209,0,17334,8875,1050559,291672,290886,186961,137984,132081,10975,69,3200,3060,63,9,68,385,300,22,3,0,0,855,277,5864,133388,104000
