date,FL174090005.Q,LM153091003.Q,FL173020005.Q,FL173030005.Q,FL173034005.Q,FL174022005.Q,FL173061105.Q,LM153061705.Q,FL173062005.Q,LM153063005.Q,FL174023005.Q,FL153069005.Q,FL173065005.Q,FL173066005.Q,LM153064105.Q,LM153064205.Q,FL163070005.Q,FL153040005.Q,FL153050005.Q,FL173099005.Q,FL174190005.Q,FL173165105.Q,FL173165205.Q,FL153166000.Q,FL173169005.Q,FL173199005.Q
1945:Q4,474085,0,72438,50230,0,35908,23582,61,3869,8396,56397,43629,12189,579,144855,1245,0,39560,61172,12280,45484,18706,8606,6800,4987,6385
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,493252,0,78244,56568,0,32338,20976,93,3817,7452,59264,44884,13711,669,138515,1298,0,43360,69381,14284,56570,23100,9597,9777,5207,8889
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,508806,0,78289,60047,0,30079,18829,148,4458,6644,62747,46896,15070,781,136405,1413,0,46510,77939,15377,68383,28267,10436,13298,5654,10727
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,521616,0,75421,62248,0,29392,17980,95,4629,6688,65661,48491,16268,902,135486,1516,0,49353,86476,16063,79530,33422,11611,16332,6082,12084
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,544019,0,73514,64842,0,27990,17956,29,3724,6281,67961,50002,16993,966,142455,3071,0,52104,95413,16669,89125,37406,13092,19374,6922,12330
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,587288,0,76304,67207,0,28544,16948,121,5465,6010,69359,50523,17689,1147,164696,3344,0,55049,104563,18222,107241,45250,15224,23947,7999,14820
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,635411,0,81239,72177,0,28451,16345,79,5740,6287,69853,49974,18623,1256,184698,3482,0,57777,118836,18898,119628,51792,17552,25350,8576,16358
1952:Q1,646401,0,80356,73469,0,30920,17164,123,7499,6134,70579,49829,18652,2098,186382,3612,0,58445,122766,19872,121462,53066,17962,24597,8746,17092
1952:Q2,660519,0,78445,75744,0,33084,16894,0,9835,6355,70902,49705,18913,2284,192554,3696,0,59153,126980,19961,126874,54798,18725,26878,8935,17538
1952:Q3,671759,0,81054,77273,0,34755,18019,0,10606,6130,71178,49703,19126,2349,192052,3837,0,59892,131097,20621,130658,56640,19320,27965,8997,17736
1952:Q4,671925,0,82911,79651,0,35169,18216,-1,10957,5997,71846,49887,19289,2670,181107,3932,0,60665,135222,21422,135039,58416,19650,30522,9085,17366
1953:Q1,678042,0,83582,81545,0,35208,17435,52,11875,5846,72326,50258,19619,2449,177850,3867,0,61439,139501,22724,138683,60006,19887,30901,9420,18469
1953:Q2,677060,0,80272,84177,0,39045,20054,135,12743,6113,72343,49897,19886,2560,168575,3778,0,62199,143864,22807,144127,62225,20596,32672,9715,18919
1953:Q3,682299,0,82859,85755,0,39364,19865,209,13542,5748,72498,49926,20020,2552,163841,3753,0,62937,148161,23131,147494,64205,21052,33354,9706,19177
1953:Q4,704267,0,83999,87886,0,38681,18667,154,13873,5987,73162,50079,20285,2798,177571,4146,0,63647,152448,22727,149065,65938,21280,34614,9771,17462
1954:Q1,722492,0,82489,89888,0,39020,18775,140,14386,5719,73188,50207,20492,2489,188597,4512,0,64339,156688,23771,150743,67351,21551,32744,10040,19057
1954:Q2,744940,0,81629,92829,0,38450,18010,140,14678,5622,73757,50378,20817,2562,203774,4895,0,65018,160991,23597,156021,69614,22467,34006,10310,19624
1954:Q3,774091,0,85996,94440,0,37369,16498,152,15246,5473,74241,50622,21107,2512,221809,5469,0,65687,165191,23889,161300,72336,23205,34242,10662,20855
1954:Q4,784167,0,86504,97182,0,37084,16121,147,15964,4852,75208,50986,21423,2799,222894,6110,0,66349,169529,23307,165835,75356,23588,35963,11125,19803
1955:Q1,800857,0,86271,99274,0,38748,17475,39,16484,4750,75485,51188,21796,2501,229229,6525,0,67031,174001,24293,170687,78237,24084,35702,11752,20912
1955:Q2,829468,0,83950,101868,0,40234,18056,117,17509,4552,75805,51097,22089,2619,249979,7186,0,67740,178721,23985,179933,81697,24831,38755,12029,22621
1955:Q3,856578,0,87509,103362,0,42276,19003,232,18360,4681,76091,51163,22315,2613,264068,7257,0,68498,183332,24185,187025,85032,25509,40543,12283,23658
1955:Q4,867954,0,87957,105783,0,43368,18614,605,19174,4975,76758,51128,22725,2905,265346,7839,0,69254,187850,23799,192531,87936,25692,42949,12288,23665
1956:Q1,895955,0,87330,107946,0,45534,20077,721,19569,5167,77199,51369,23199,2631,281568,8555,0,70104,192789,24930,195952,90356,26473,42251,12423,24449
1956:Q2,896179,0,85925,110925,0,46872,19863,958,20436,5615,77561,51155,23674,2732,272443,8613,0,71013,197659,25168,202918,93327,27466,44281,12649,25195
1956:Q3,903680,0,88662,112516,0,48602,20394,1115,21308,5785,77853,51105,23976,2772,267405,8506,0,71904,202457,25775,207809,96174,28315,44978,12719,25622
1956:Q4,935078,0,89966,115230,0,49060,20090,959,21900,6111,78405,51017,24327,3061,287754,9046,0,72724,207371,25522,211726,98745,28575,46580,12969,24857
1957:Q1,935440,0,89017,118462,0,51600,21276,933,22537,6854,78036,50417,24871,2748,274211,9106,0,73468,214959,26581,214163,100851,28810,45242,13101,26159
1957:Q2,962971,0,87019,121985,0,52610,21603,1154,22812,7041,78156,49954,25333,2869,290571,9687,0,74135,222847,25961,219994,103039,29510,47223,13484,26738
1957:Q3,951929,0,89835,123872,0,54976,22998,1100,23526,7352,78171,49485,25843,2843,264952,9001,0,74784,230404,25934,223967,105397,30350,47971,13527,26722
