date,FC102090005.Q,FU102090005.Q,FU102010005.Q,FU105035005.Q,FU105015205.Q,FU105013765.Q,FU105020015.Q,FU105420005.Q,FU104090005.Q,FU104190005.Q,FR102090005.Q,FR102010005.Q,FR105035005.Q,FR105015205.Q,FR105013765.Q,FR105020015.Q,FR104090005.Q,FR104022005.Q,FR103092305.Q,FR103064103.Q,FR103092105.Q,FR103064203.Q,FR103090005.Q,FR104190005.Q,FR103192305.Q,FR573073005.Q,FR103193005.Q,FV102090005.Q,LM102090005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,199112
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,13485,3154,17064,2580,2922,478,11154,-70,-1605,12305,10262,10493,14016,3892,338,-7753,-230,0,-17,0,-213,0,0,1,1,0,-0,69,212596
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,35827,8366,14720,2390,4919,461,7040,-90,8725,15079,27371,27023,25940,3068,650,-2634,390,0,27,0,363,0,0,42,49,-6,-0,90,248424
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,22786,7516,12993,2947,4740,371,5051,-116,5477,10954,15155,14684,8767,5157,212,548,539,0,38,0,500,0,1,68,75,-7,1,115,271210
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,8315,3563,1177,2362,2632,234,-3852,-199,3902,1516,4552,4183,2124,-510,-35,2604,415,0,28,0,387,0,-0,46,49,-3,-0,200,279525
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,22709,8743,16617,2987,3011,363,10525,-269,16784,24658,13402,13093,13791,6192,537,-7427,467,0,33,0,434,0,0,158,168,-10,0,563,302233
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,13756,-9435,17870,4179,3931,347,9685,-272,8027,35332,22919,22306,15752,2973,326,3255,683,0,48,0,635,0,-0,70,78,-8,-0,272,315989
1952:Q1,8810,-146,2739,962,1116,142,580,-61,-1836,1049,7829,7830,6166,241,-19,1442,-0,0,-1,0,1,0,0,0,0,-1,0,1127,324799
1952:Q2,-1147,-2158,1139,902,1210,176,-1087,-61,-38,3259,945,941,489,464,26,-37,-0,0,1,0,-1,0,-0,-4,0,-4,-0,66,323652
1952:Q3,919,2862,2363,915,667,209,635,-63,5288,4789,-2001,-1929,-1846,-262,79,100,-1,0,0,0,0,0,-1,71,0,70,-0,59,324571
1952:Q4,13134,10421,3165,1068,970,246,948,-67,2004,-5252,2662,1702,2081,-43,40,-376,884,0,35,0,849,0,0,-76,23,-99,0,52,337706
