date,FC112090005.Q,FU112090005.Q,FU112010005.Q,FU115035023.Q,FU115035035.Q,FU115012265.Q,FU115013265.Q,FU115013765.Q,FU115020005.Q,FU114090005.Q,FU114190005.Q,FR112090005.Q,FR112010005.Q,FR115035023.Q,FR115035035.Q,FR115012265.Q,FR115013265.Q,FR115013765.Q,FR115020005.Q,FR114022005.Q,FR115114305.Q,FV112090005.Q,LM112090005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,197429
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,36797,549,2018,-245,1631,198,183,132,120,1895,3364,37113,37112,13758,12851,-59,1788,88,8685,0,-1,-865,234226
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,33198,39,1983,178,1413,157,1817,110,-1691,814,2758,33158,33156,12053,12940,49,1993,235,5885,0,-2,1,267424
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,15704,4770,7274,626,1167,151,2483,88,2759,-56,2448,11014,11014,4479,5945,28,1998,72,-1508,0,-2,-81,283127
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1743,1358,2831,593,922,108,1786,117,-696,171,1644,385,383,2562,1079,-64,169,-7,-3356,0,-2,0,284870
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,16902,2042,4785,1121,936,154,2264,101,210,1628,4371,14860,14854,7680,3198,85,2168,131,1592,0,-6,0,301772
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,26798,1635,4550,523,791,116,1670,26,1424,707,3621,25163,25160,5994,11907,14,1165,68,6011,0,-3,0,328569
1952:Q1,3078,1361,889,111,174,21,296,3,285,1649,1177,1717,1717,884,879,5,182,-1,-232,0,0,0,331648
1952:Q2,920,-301,985,125,149,28,258,9,417,-61,1225,1221,1221,1473,356,-1,273,14,-893,0,0,0,332568
1952:Q3,321,475,885,123,140,16,4,18,584,345,755,-155,-157,1598,239,2,-14,37,-2018,0,0,0,332889
1952:Q4,-2161,942,706,142,161,32,170,30,172,164,-71,-3103,-3102,-450,721,-11,71,11,-3443,0,1,0,330728
1953:Q1,-1557,362,874,172,180,31,252,11,228,815,1327,-1920,-1920,486,-560,-3,96,51,-1990,0,0,0,329171
1953:Q2,-1365,-422,574,168,199,29,269,24,-114,-46,951,-943,-943,316,-176,1,291,20,-1396,0,0,0,327805
1953:Q3,949,223,934,146,220,21,329,31,188,125,836,725,725,1565,-262,6,301,23,-908,0,0,0,328754
1953:Q4,1533,2693,1169,135,251,17,261,38,468,-303,-1827,-1161,-1159,-483,-755,-4,90,11,-19,0,1,0,330287
1954:Q1,220,-466,659,133,232,15,96,11,172,680,1805,686,686,-359,287,-7,318,79,369,0,0,0,330507
1954:Q2,-89,-1078,437,170,252,20,69,17,-91,-56,1459,989,990,689,462,-9,294,0,-445,0,0,0,330418
1954:Q3,1368,-734,799,214,268,27,126,28,136,294,1827,2103,2103,1866,918,-15,-610,6,-62,0,0,0,331786
1954:Q4,2118,1143,632,257,277,29,157,40,-128,-287,-798,975,976,379,1039,-27,-143,-7,-265,0,1,0,333904
1955:Q1,1978,-162,838,292,307,27,173,21,19,626,1626,2140,2141,1025,1025,-7,-222,114,205,0,0,0,335883
1955:Q2,610,-1495,867,307,339,33,355,34,-201,-229,2133,2105,2105,1584,1731,1,204,-10,-1405,0,0,0,336493
1955:Q3,3165,-641,919,290,354,29,457,42,-252,169,1729,3807,3808,1412,2737,-18,692,7,-1023,0,0,0,339658
1955:Q4,4232,1177,1228,246,337,29,410,44,162,-190,-140,3055,3058,650,3285,-28,835,-5,-1678,0,1,0,343890
1956:Q1,5804,150,993,267,351,40,240,20,76,820,1663,5654,5654,987,3907,-20,436,55,289,0,0,0,349694
1956:Q2,4750,-982,472,256,321,37,131,20,-292,250,1704,5731,5732,2045,1770,-22,365,30,1544,0,0,0,354444
1956:Q3,3584,-336,561,223,310,37,91,29,-128,605,1502,3920,3920,227,3472,-4,665,44,-483,0,0,0,358028
