date,FU896902505.A,FU886300091.A,FU896902601.A,FU896025001.A,FU896020001.A,FU896401001.A,FU896240101.A,FU896402101.A,FU266904095.A,FU266904195.A,FU896140001.A,FU896402101.A,FU156025105.A,FU156020101.A,FU156401101.A,FU896240001.A,FU366402015.A,FU896150105.A,FU896130101.A,FU896120105.A,FU896121101.A,FU156122101.A,FU893092201.A,FU896112101.A,FU896150005.A,FU896130001.A,FU896120005.A,FU896121001.A,FU896122001.A,FU893192201.A,FU896112001.A,FU896140001.A,FU896220001.A,FU896220005.A,FU896404105.A,FU896404005.A,FU896403105.A,FU896403005.A,FU896012005.A,FU896901001.A,FU896006001.A,FU896902505.A,FU087005995.A,FU086902005.A,FU086902203.A,FU087005086.A
1960,543687,67901,475787,301437,273010,28427,43401,130949,4888,1775,478899,130949,301282,272855,28427,44547,-1146,144780,67299,75696,19637,56059,1357,428,141513,67170,73740,17681,56059,176,428,478899,67962,67953,40906,41118,5904,9845,474753,415697,59055,543687,-1304,542382,543034,-0.24060521892078882
1961,563124,70605,492520,310565,280663,29902,44954,137000,5307,1788,496038,137000,310421,280519,29902,46968,-2014,152788,71784,79308,20574,58734,1161,534,149124,71438,76913,18179,58734,240,534,496038,69456,69453,45146,45370,6659,10658,491819,430815,61005,563124,-914,562210,562667,-0.1627061786103852
1962,603953,74097,529854,332297,299453,32844,48109,149448,5940,1847,533948,149448,332202,299358,32844,50382,-2273,164899,79682,83285,22466,60819,1316,620,160712,79264,80614,19795,60819,215,620,533948,74873,74851,48017,48259,7396,11571,529553,460248,69306,603953,-28,603922,603937,-0.004967533032024857
1963,638915,78018,560898,350471,314914,35557,51152,159274,6530,2053,565375,159274,350408,314851,35557,53386,-2234,175852,87622,85981,23766,62215,1645,601,171311,87165,83307,21092,62215,238,601,565375,80091,80043,52076,52334,8304,12563,560905,484789,76116,638915,-1463,637451,638183,-0.2292723446411217
1964,684506,82389,602119,376029,337842,38188,54540,171550,7239,2319,607038,171550,375975,337788,38188,57269,-2729,191326,96799,92279,27374,64905,1595,651,186350,96295,89076,24171,64905,329,651,607038,78655,78642,53781,54050,9559,13671,602671,519003,83667,684506,-46,684461,684485,-0.006830186942581869
1965,741550,88006,653544,405410,363752,41658,57702,190433,7881,2602,658823,190433,405415,363757,41658,60709,-3007,207554,105690,99461,29850,69611,1736,670,202279,105119,96131,26519,69611,361,670,658823,87449,87432,57413,57782,10623,15010,654085,559164,94921,741550,739,742290,741920,0.0997925003056419
1966,808332,95309,713021,449225,400297,48928,59262,204535,8071,3001,718091,204535,449249,400321,48928,63211,-3949,224090,117344,103940,30016,73924,2031,772,219046,116830,101098,27174,73924,345,772,718091,98615,98610,68945,69304,13536,18306,712968,611796,101171,808332,5084,813414,810872,0.6251431082889858
1967,856596,103556,753041,481761,428979,52782,64126,207154,8682,3289,758434,207154,481791,429009,52782,67937,-3811,239204,129317,106903,31522,75381,2042,938,233841,128732,103723,28342,75381,447,938,758434,103953,103953,80731,81174,15544,20566,752969,656035,96934,856596,3361,859956,858276,0.3906884797918499
1968,937515,113357,824158,530739,471960,58779,72233,221187,10102,4017,830243,221187,530751,471972,58779,76407,-4174,265597,145423,116355,36531,79824,2763,1054,259525,144987,112987,33163,79824,495,1054,830243,124207,124151,92145,92558,17060,22606,824341,723133,101209,937515,3133,940648,939081,0.3330953764246186
1969,1016033,124896,891137,584437,518311,66126,79322,227377,11779,5664,897251,227377,584459,518333,66126,83856,-4534,298037,171942,121807,38868,82939,3198,1093,291944,172443,117971,35032,82939,439,1093,897251,141555,141464,103313,103685,19586,25248,891309,783076,108233,1016033,1582,1017615,1016824,0.15546154488681868
1970,1067967,136837,931128,623324,551537,71787,86636,221168,12833,6440,937521,221168,623347,551560,71787,91413,-4777,335265,206455,123979,40022,83957,3610,1219,328896,207186,120043,36086,83957,446,1219,937521,134306,134333,118330,118817,23980,30083,930904,839510,91394,1067967,5344,1073310,1070638,0.4980152528089495
1971,1155331,148926,1006405,664974,584528,80446,95818,245614,14011,6417,1014000,245614,664995,584549,80446,100493,-4675,364883,227527,132227,42119,90108,3716,1411,357309,227810,127537,37429,90108,551,1411,1014000,136455,136513,136916,137399,27754,35117,1006096,908897,97199,1155331,9519,1164850,1160091,0.8171010896469695
1972,1271953,161008,1110945,731334,638786,92549,101292,278318,16278,7720,1119503,278318,731333,638785,92549,107928,-6636,406916,252365,147844,45491,102353,5220,1497,398356,253332,142950,40597,102353,580,1497,1119503,162671,162750,154386,154977,37078,45635,1110275,993652,116624,1271953,7161,1279113,1275533,0.5597242461957984
