date,FU896902505.A,FU156902505.A,FU116902505.A,FU106902501.A,FU796902505.A,FU316902505.A,FU216902505.A,FU896006001.A,FU156006005.A,FU106012095.A,FU796012095.A,FU316006085.A,FU216006095.A,FU155440005.A,FU115440005.A,FU105440005.A,FU795440005.A,FU315440005.A,FU215440005.A,FU265440005.A,FU885019005.A,FU155019005.A,FU115019085.A,FU105019085.A,FU795013005.A,FU315019001.A,FU215019001.A,FU886300095.A,FU156300003.A,FU116300001.A,FU106300003.A,FU796330081.A,FU316300001.A,FU216300001.A,FU145020005.A,FU115020005.A,FU105020005.A,FU885000985.A,FU155000905.A,FU115000905.A,FU105000905.A,FU795000995.A,FU315000995.A,FU215000995.A,FU087005995.A,FU265000905.A,FU885000005.A,FU155000005.A,FU115000005.A,FU105000005.A,FU795000005.A,FU315000005.A,FU215000005.A,FU265000005.A,FV158090185.A,FV118090105.A,FV108090105.A,FV798090185.A,FV318090185.A,FV218090185.A,FV268090185.A,FR158200095.A,FR118200005.A,FR108200005.A,FR798200005.A,FR318200005.A,FR218200005.A,FR265000005.A,FC152090005.A,FC112090095.A,FC102090095.A,FC792090095.A,FC312090095.A,FC212090095.A,FC262090095.A,FL152090005.A,FL112090095.A,FL102090095.A,FL792090095.A,FL312090095.A,FL212090095.A,FL262090095.A
1960,543687,45031,117056,282484,20511,45007,33600,59055,37851,14914,3618,157,2517,2242,0,-93,0,857,-3006,0,119248,25730,15118,40427,1970,21897,14107,67901,8174,11330,27560,1144,15167,4526,3233,1182,2051,4436,18717,-4969,740,2753,-7881,-4923,-1304,-3171,249,27188,-4782,-11737,3959,-8498,-5881,-1459,16581,38,-10545,1231,-193,-5112,1712,22783,-38,-4050,-410,476,-364,-1281,74972,0,411,4439,-417,46,-2740,2090654,0,-67071,16317,-135230,113271,-28541
1961,563124,47800,119601,290423,21673,47057,36571,61005,44385,15429,3726,-4732,2196,2509,0,-123,0,904,-3290,0,123507,25083,16130,40441,1957,24646,15252,70604,8496,11541,28564,1181,16034,4789,2974,1335,1639,5089,26050,-5924,2759,2914,-14741,-5969,-914,-4213,-66542,28101,-5722,-70975,4729,-16150,-6525,-2704,7666,40,-72175,1563,-924,-4738,1509,116117,-40,-64927,-20459,1910,2136,552,165659,0,-121551,-15170,-4650,2884,-2152,2256313,0,-188622,1147,-139880,116155,-30693
1962,603953,51519,123871,316808,22383,50120,39253,69306,46703,20735,4186,-5370,3052,2638,0,-126,0,1013,-3525,0,133473,26747,18350,43576,2204,26500,16097,74097,8846,11887,29824,1236,17170,5135,6101,1801,4300,3791,26976,-8264,3649,3179,-16308,-5442,-28,-3801,202,28547,-8042,-1099,3380,-16137,-6447,-1390,3909,38,-2129,300,-486,3380,2411,14512,-38,13823,2291,5172,4266,-2739,62486,-0,32554,6777,-1697,14223,-4129,2318799,-0,-156068,7924,-141577,130378,-34822
1963,638915,54877,127257,337829,23119,53169,42665,76116,47098,24494,3408,-2161,3278,2885,0,-88,0,1345,-4142,0,142102,28797,20258,46432,2177,26669,17769,78018,9288,12230,31340,1301,18353,5506,5621,1584,4037,6369,25587,-9612,6245,2491,-12347,-5995,-1463,-4947,-3673,30355,-9402,-6700,1380,-13095,-6212,-3044,5363,37,-10266,-1731,-1420,-2651,1874,53892,-37,-32996,-9089,2163,3878,1066,103468,0,-18681,-7412,-2763,8646,-2007,2422267,0,-174749,512,-144340,139024,-36829
1964,684506,58370,133367,364523,25400,56446,46401,83667,55281,27965,3394,-6892,3920,3305,0,-81,0,1497,-4721,0,153722,30670,21967,51848,2845,27118,19274,82389,9882,12750,33252,1391,19204,5910,4822,139,4683,7470,32153,-9356,5686,1896,-16929,-5981,-46,-7468,3424,41978,-9127,-9448,2573,-16012,-6541,-4621,19929,44,-12111,538,-272,-3772,6462,109611,-44,-62547,-5843,2345,3538,1344,181516,0,-46612,-1911,-6316,8407,338,2603783,0,-221361,-1399,-150656,147431,-36491
1965,741550,62611,140572,400741,27524,59322,50780,94921,58753,33486,4533,-5515,3665,3608,0,-81,0,1220,-4747,0,168262,32099,23282,61698,3321,26698,21165,88006,10662,13516,35828,1561,20013,6427,9247,2537,6710,5366,34702,-12303,1759,2720,-13892,-7620,739,-6158,5989,45954,-12029,-10483,2788,-13962,-6280,-4614,30041,52,-7524,-69,-592,-2649,1597,113772,-52,-52311,-8935,5300,9118,-5925,198958,0,-26268,-4471,-2027,14881,-10486,2802741,0,-247629,-5870,-152683,162312,-46977
1966,808332,67587,148842,440080,29943,65550,56330,101171,61861,36510,5061,-6987,4726,3886,0,-83,0,1341,-5144,0,184119,31164,23979,71949,3460,30089,23479,95310,11533,14511,39392,1735,21049,7091,13636,1643,11993,-1339,39396,-11112,-6996,3272,-18011,-7889,5084,-3807,1830,55500,-10809,-22288,3289,-16343,-7520,-2989,39006,63,-10408,338,-899,-5299,728,2311,-63,92338,-3877,6874,13814,262,99292,0,118522,1522,-2353,18385,-2817,2902033,0,-129107,-4348,-155036,180697,-49794
1967,856596,72940,153573,463192,33429,71308,62156,96934,72995,34577,4880,-19526,4009,3978,0,-85,0,1195,-5088,0,190502,31684,23482,73870,3798,31947,25722,103555,12445,15500,43452,1929,22464,7766,9865,2089,7776,49,50838,-10071,-3441,2936,-29973,-10240,3361,-3484,366,58253,-9763,-21211,12617,-29766,-9764,-2005,27441,70,-14439,9291,6948,-4018,1479,205168,-70,-126628,-6545,11440,12590,8393,301626,0,-106405,7625,-2333,17669,6388,3203659,0,-235512,3277,-157369,198366,-43406
1968,937515,78998,161589,510944,37388,78340,70256,101209,72924,33054,5531,-13768,3468,4088,0,-112,0,2865,-6841,0,207113,35860,26742,80338,4927,31118,28128,113357,13640,16660,48092,2210,24155,8600,9052,2351,6701,-1686,47701,-12433,-6367,2728,-22681,-10634,3133,-1533,-10818,64739,-12091,-24591,-3102,-25870,-9903,-611,46120,85,-13943,-5803,-1934,-10509,922,276686,-85,-83907,-24669,12795,19107,-2814,391642,0,-64684,-24941,-5771,18906,-3425,3595301,0,-300196,-21664,-163140,217272,-46831
1969,1016033,87045,170088,554625,42119,83627,78530,108233,76058,28655,5546,-5150,3124,4625,0,-77,0,2297,-6843,-2,223935,38477,31332,89280,5301,30729,28818,124897,15235,18146,53484,2569,25819,9645,9173,1221,7952,-79,48945,-14407,-14684,2715,-12461,-10187,1582,-1602,-14646,60813,-13980,-32551,-1392,-13267,-14270,7574,39618,103,-8005,-4585,291,-15069,4349,-46433,-103,187435,20589,18530,31503,-6899,64618,0,208161,21550,11374,26401,-4152,3659919,0,-92034,-114,-151766,243673,-50983
1970,1067967,94595,176992,572890,45284,89511,88695,91394,97588,21377,5803,-34816,1443,4764,0,-125,0,1578,-6212,-5,227851,37501,32687,92332,5536,30461,29336,136838,16468,19591,59260,2940,27634,10946,2001,-424,2425,-1742,72635,-12673,-14009,3090,-38952,-11833,5344,-3719,781,100038,-12197,-33211,-22,-36989,-16839,272,59817,114,-12006,-3211,-3535,-12142,3991,62645,-114,66447,10188,24281,43806,-4067,215286,-0,75943,12779,-15648,39318,-3795,3875205,0,-16091,12665,-167414,282991,-54778
1971,1155331,104537,188389,618096,49765,95168,99378,97199,111925,30113,7342,-50896,-1285,5797,0,-139,0,1361,-7003,-16,247077,48669,37967,95416,6517,27798,30711,148926,18224,21338,64732,3341,29064,12227,8256,2491,5765,-9361,76932,-19119,-6258,4029,-50552,-14393,9519,-294,-9392,99314,-18533,-25826,4262,-49709,-18902,17753,60967,139,-14712,609,3572,-26009,18580,251712,-139,-26366,-12979,22218,34733,-4712,418807,-0,-10826,-5028,-26467,14442,13574,4294012,-0,-26917,7637,-193881,297433,-41204
1972,1271953,114034,206104,685948,54291,101319,110257,116624,111529,39360,8674,-49011,6072,6804,0,-194,0,690,-7270,-30,279726,60194,44115,107864,6863,29349,31342,161008,20340,23208,70188,3755,30204,13314,9108,1529,7579,-11390,66142,-22435,-6029,5407,-48133,-6342,7161,4071,19577,105218,-21434,-11266,2908,-46309,-9539,12076,85602,159,2676,-4132,5127,-28218,9956,405036,-159,-105453,-2354,34428,37505,-17409,595362,0,-63223,2188,-10147,22629,-3382,4889374,0,-90139,9825,-204028,320062,-44586
1973,1419231,124629,240871,768837,58063,105334,121498,156598,135812,43910,9599,-38309,5586,6601,0,-157,0,905,-7312,-37,316689,66678,49442,125800,9128,31652,33989,178683,23321,25619,78180,4369,32354,14840,15878,3408,12470,2489,87177,-27231,-18827,4651,-35307,-7973,6146,-8823,20143,118617,-26159,-40662,8837,-34457,-6034,10844,26703,193,-1066,3898,4598,16116,20767,55345,-193,327683,49520,46602,65140,-16858,211259,0,370684,63017,11986,94154,-4914,5100633,0,280545,72842,-192042,414216,-49500
1974,1537781,137198,256088,830041,66369,113194,134892,142308,146279,30457,9244,-41348,-2324,6298,0,-223,0,3131,-9170,-36,336702,61715,45751,141534,11536,35666,40500,206893,27045,29429,91384,5300,35383,18353,13990,-657,14647,-1751,106751,-15665,-39355,2785,-39089,-17178,7461,-5934,-27245,94102,-14628,-45998,-50,-39462,-21210,-3235,18592,223,114557,-1601,4219,-15059,2699,-46547,-223,465190,54403,68575,158273,-11190,112026,0,610426,62046,28314,150060,-14425,5212660,0,890971,134888,-163728,564276,-63925
