date,FU156902505.A,FU156300003.A,FU156902605.A,FU156025005.A,FU156020001.A,FU156401001.A,FU156240101.A,FU156402101.A,FU156140005.A,FU156402101.A,FU156025105.A,FU156020101.A,FU156401101.A,FU156150105.A,FU156130101.A,FU156120105.A,FU156121101.A,FU156122101.A,FU156130001.A,FU156140005.A,FU156220001.A,FU156404105.A,FU156600001.A,FU156403101.A,FU156403001.A,FU156012095.A,FU156901001.A,FU156006005.A,FU156006315.A,FU156006005.A,FU155440005.A,FU155050905.A,FU155019005.A,FU155012005.A,FU165013005.A,FU156300003.A,FU155420003.A,FU155000905.A,FU155000905.A,FU154090005.A,FU154000005.A,FU153020005.A,FU153030005.A,FU153091003.A,FU313131003.A,FU154022005.A,FU153061105.A,FU153061705.A,FU153062005.A,FU153063005.A,FU154023005.A,FU154041005.A,FU153065005.A,FU153081005.A,FU153064105.A,FU153064205.A,FU153034005.A,FU152090205.A,FU153094305.A,FU153052005.A,FU153076005.A,FU153040005.A,FU153050005.A,FU153095105.A,FU313195105.A,FU163096005.A,FU154190005.A,FU163162003.A,FU154123005.A,FU154141005.A,FU153166000.A,FU153168005.A,FU153169005.A,FU153165005.A,FU543077073.A,FU163170005.A,FU155000005.A,FV158090185.A,FU155111005.A,FV152010005.A,FV158090085.A,FU157005045.A,FR152010005.A,FR155035005.A,FR165015205.A,FR165013765.A,FR155111005.A,FR158080095.A,FR154022005.A,FR153064105.A,FR153064205.A,FR152090205.A,FR153094305.A,FR153052045.A,FR158200095.A,FC152090005.A,FL152000005.A,LM152010005.A,LM155035005.A,LM155111005.A,LM165015205.A,LM165013765.A,FL154090005.A,FL154000005.A,FL153020005.A,LM153091003.A,FL153030005.A,FL313131003.A,LM154022005.A,LM153061105.A,LM153061705.A,LM153062005.A,LM153063005.A,FL154023005.A,FL154041005.A,FL153065005.A,FL153081005.A,LM153064105.A,LM153064205.A,FL153034005.A,LM152090205.A,LM153094305.A,FL153052005.A,FL153076005.A,FL153040005.A,FL153050005.A,FL153095105.A,FL313195105.A,FL163096005.A,FL152100005.A,FL154190005.A,FL163162003.A,FL154123005.A,FL154141005.A,FL153166000.A,FL153168005.A,FL153169005.A,FL153165005.A,FL543077073.A,FL163170005.A,FL152090005.A
1960,45031,8174,36857,13894,13337,557,5594,17369,406590,17369,301282,272855,28427,100606,31182,69425,13366,56059,12667,406590,46068,24428,16444,1312,787,369031,331181,37851,35609,37851,2242,16892,25730,21952,3778,8174,-664,18717,18717,45035,13726,1977,11936,0,-187,4796,990,-1234,2645,2395,2800,26,2774,-3905,-3974,1049,0,-980,0,27618,148,3228,23672,570,0,0,17847,0,17545,5428,4035,698,695,12117,192,110,27188,16581,5251,664,2194,-8472,9704,9766,-13,-1,-48,13079,0,4015,159,10917,0,-2012,22783,74972,2315199,737552,547589,185419,3760,784,1577647,242843,77538,0,164461,844,69154,26502,1033,31007,10612,79315,45740,33575,780392,364813,17026,0,398553,0,405942,6427,85184,307270,7061,0,0,2315199,224545,0,219857,73271,61248,2122,9901,146586,2379,2309,2090654
1961,47800,8496,39304,14463,13862,601,6194,18648,421586,18648,310421,280519,29902,106083,33448,72635,13901,58734,13566,421586,47250,28089,17005,1361,921,385860,341475,44385,41876,44385,2509,15826,25083,20990,4093,8496,-761,26050,26050,46464,17974,-286,18384,0,-124,233,-1053,-441,1499,228,3274,15,3259,-2963,-4768,1671,0,134,0,27946,136,3447,23741,622,0,0,18363,0,18040,4856,2187,870,1799,13184,133,190,28101,7666,3048,760,1806,-2051,13297,13418,-27,-4,-92,102821,0,83577,4178,17091,0,-2025,116117,165659,2499221,769614,576368,188375,3989,882,1729607,260491,76926,0,182845,720,69387,25449,592,32506,10840,82589,45755,36834,882275,443622,22875,0,415778,0,434865,6563,88631,331988,7683,0,0,2499221,242908,0,237897,78127,63435,2992,11700,159770,2512,2499,2256313
1962,51519,8846,42673,15625,14923,702,6735,20313,450580,20313,332202,299358,32844,112935,37090,75846,15027,60819,14870,450580,51555,28843,19117,1549,1040,409260,362558,46703,44065,46703,2638,17089,26747,22161,4586,8846,-812,26976,26976,50683,25407,-457,25983,0,-119,-155,1250,-357,-419,-629,2572,400,2172,-5416,-6756,872,0,468,0,28275,18,3767,23810,680,0,0,22136,0,21851,6975,5909,458,608,14876,155,130,28547,3909,6995,811,-5469,-1571,9604,10300,-30,-6,-661,4909,0,-5387,-2838,16602,0,-3468,14512,62486,2583843,803569,603604,194709,4245,1011,1780274,286577,77148,0,208828,601,69232,26699,235,32087,10211,85161,46155,39006,885236,431479,20909,0,432848,0,454068,6581,92398,346726,8363,0,0,2583843,265044,0,259748,85102,69344,3450,12308,174646,2667,2629,2318799
1963,54877,9288,45589,16657,15845,812,7418,21514,474251,21514,350408,314851,35557,118951,40500,78451,16236,62215,16622,474251,54552,30341,21669,1868,1107,429133,382035,47098,44213,47098,2885,18626,28797,24154,4643,9288,-883,25587,25587,59310,30694,4679,26108,0,-93,-2577,-2281,-235,7,-68,2695,1173,1522,-3569,-6616,971,0,2076,0,32067,379,4237,27104,347,0,0,28955,0,28459,11064,8526,344,2194,17395,186,310,30355,5363,9267,883,-9555,-4768,7628,6764,-3,-2,868,46264,0,42724,2939,3540,0,-2939,53892,103468,2716266,839163,628622,204844,4529,1168,1877103,317421,81977,0,234936,508,66655,24418,0,32094,10143,87856,47328,40528,920870,457587,24819,0,438464,0,484300,6960,96635,371995,8710,0,0,2716266,293999,0,288207,96166,77870,3794,14502,192041,2853,2939,2422267
1964,58370,9882,48488,17868,16989,879,8095,22526,508071,22526,375975,337788,38188,128080,44981,83099,18194,64905,18509,508071,52069,31317,22387,2187,1207,465913,410632,55281,51976,55281,3305,19823,30670,25565,5105,9882,-965,32153,32153,71342,32372,6339,26105,0,-72,3220,68,245,2760,147,2004,434,1570,-3328,-6559,944,0,2287,0,37074,547,4416,31601,510,0,0,29364,0,28919,11085,9482,1340,263,17834,186,259,41978,19929,11755,965,-2615,-9824,13738,14960,-15,-7,-1201,95874,0,79671,2684,17399,0,-3880,109611,181516,2927146,884104,662499,215398,4873,1334,2043042,346262,84785,0,261041,436,69875,24486,245,34854,10290,90360,48262,42098,1017295,530699,28447,0,458149,0,519250,7507,101051,401472,9220,0,0,2927146,323363,0,317126,107251,87352,5134,14765,209875,3039,3198,2603783
1965,62611,10662,51949,19316,18338,978,8818,23815,547929,23815,405415,363757,41658,139135,49319,89816,20205,69611,20436,547929,57664,33913,23416,2265,1300,501726,442973,58753,55145,58753,3608,20444,32099,26231,5868,10662,-993,34702,34702,75370,34128,6739,27473,0,-84,1563,288,887,1677,-1289,1929,1416,513,-4803,-10538,2073,0,3662,0,42553,719,4825,36267,742,0,0,29416,0,28733,10901,10137,-427,1191,17832,264,419,45954,30041,15925,992,1871,-11253,9921,13404,-22,-7,-3455,103851,0,81278,3890,23228,0,-4545,113772,198958,3155520,930933,696286,227868,5257,1522,2224587,380386,91520,0,288514,352,71438,24774,1132,36531,9001,92289,49678,42611,1120888,601439,34410,0,485039,0,559586,8226,105876,435522,9962,0,0,3155520,352779,0,345859,118152,97489,4707,15956,227707,3303,3617,2802741
1966,67587,11533,56054,21261,20056,1205,9510,25283,601469,25283,449249,400321,48928,148930,54336,94594,20670,73924,21993,601469,66378,37504,31336,2113,1591,541780,479919,61861,57975,61861,3886,18579,31164,25009,6155,11533,-1052,39396,39396,78396,20237,1833,18621,0,-217,14586,3128,4718,4620,2120,3091,1435,1656,-8029,-13609,2206,0,3374,0,48511,709,4692,42279,831,0,0,22896,0,22190,8539,5933,671,1935,13651,356,350,55500,39006,17853,1052,3997,-16104,37601,33670,136,-1,3796,-35290,0,-56114,-2766,30120,0,-6530,2311,99292,3278048,1005985,748935,249517,5795,1738,2272063,400623,93353,0,307135,135,86024,27902,5850,41151,11121,95730,51113,44617,1084100,531716,33850,0,518534,0,605587,8935,110568,475291,10793,0,0,3278048,376015,0,368389,126691,103422,5378,17891,241698,3659,3967,2902033
1967,72940,12445,60495,23384,21976,1408,10633,26478,641462,26478,481791,429009,52782,156393,59502,96891,21510,75381,23200,641462,72961,45752,34867,2262,1968,579680,506685,72995,69017,72995,3978,18179,31684,25517,6166,12445,-1060,50838,50838,93218,45190,10291,35009,0,-110,1272,-181,415,-2952,3990,4441,2317,2124,-10542,-12271,929,0,800,0,52857,803,4965,46205,884,0,0,34965,0,34050,17706,5145,8026,4535,16344,288,627,58253,27441,16003,1059,2964,-7415,33291,26796,80,13,6402,171877,0,144231,8194,23865,0,-4413,205168,301626,3614513,1074444,794221,271922,6317,1984,2540069,445900,103731,0,342144,25,87305,27721,6265,38208,15111,100037,53430,46607,1249848,663676,42973,0,543199,0,656980,9738,115533,519848,11861,0,0,3614513,410854,0,402313,144397,108567,13404,22426,257916,3947,4594,3203659
1968,78998,13640,65358,26086,24616,1470,11994,27279,701370,27279,530751,471972,58779,168712,65353,103359,23535,79824,25371,701370,86987,53306,38695,2788,2005,629777,556853,72924,68836,72924,4088,21135,35860,29431,6430,13640,-1085,47701,47701,89787,39096,8928,30168,0,0,3272,2096,-145,-1614,2935,5700,3366,2334,-18173,-23391,2205,0,3013,0,59892,929,4788,53186,989,0,0,25048,0,24146,8719,10757,-6596,4558,15427,355,547,64739,46120,20868,1085,7129,-17038,85498,76009,160,60,9269,191188,0,151209,4351,42085,0,-6457,276686,391642,4031431,1200814,889605,302059,6876,2274,2830617,484971,112659,0,372312,0,90473,29817,6120,36490,18046,105878,56796,49082,1429319,791494,49529,0,588296,0,719976,10667,120321,576138,12850,0,0,4031431,436130,0,426687,153452,119324,6808,27320,273235,4302,5141,3595301
1969,87045,15235,71810,29477,27721,1756,13407,28926,768241,28926,584459,518333,66126,183342,76164,107178,24239,82939,28487,768241,104506,58973,44127,3331,2215,679697,603639,76058,71433,76058,4625,22489,38477,31072,7405,15235,-753,48945,48945,89865,6970,-1724,8694,0,0,30761,11248,5185,10754,3574,-187,-2044,1857,-18566,-21205,2666,0,-27,0,70887,1158,5038,63614,1077,0,0,29052,0,28000,9582,9907,220,-545,18418,386,666,60813,39618,19501,752,7496,-11868,66475,58052,181,91,8151,-112908,0,-131305,-6617,34992,0,-9978,-46433,64618,4123681,1308558,968674,329711,7605,2568,2815123,492052,110925,0,381127,0,121674,41065,11305,47244,22060,103989,54752,49237,1307816,638984,45578,0,623254,0,789592,11825,125359,638481,13927,0,0,4123681,463762,0,453267,163563,129231,7557,26775,289704,4688,5807,3659919
