date,FU706902505.A,FU706330081.A,FU706902605.A,FU706025005.A,FU706020001.A,FU706401001.A,FU706240101.A,FU706402101.A,FU706140005.A,FU706402101.A,FU706150105.A,FU706130101.A,FU706121101.A,FU703092281.A,FU706150005.A,FU706130001.A,FU706120005.A,FU706121001.A,FU706122001.A,FU703192281.A,FU706112001.A,FU706140005.A,FU706220001.A,FU706403001.A,FU706012005.A,FU706012005.A,FU706006385.A,FU706012005.A,FU705440083.A,FU705015085.A,FU705013081.A,FU706330081.A,FU705000995.A,FU705000995.A,FU704090005.A,FU704000005.A,FU703025005.A,FU713113003.A,FU403197033.A,FU704022005.A,FU703069175.A,FU703061105.A,FU703061705.A,FU703062005.A,FU703063005.A,FU704035005.A,FU704041005.A,FU704042005.A,FU703081005.A,FU703064105.A,FU703064205.A,FU703092405.A,FU763092100.A,FU713164003.A,FU763040005.A,FU703096105.A,FU704194005.A,FU704100005.A,FU703127005.A,FU703130205.A,FU704122005.A,FU763163005.A,FU703169175.A,FU704135005.A,FU704141005.A,FU753192305.A,FU703181105.A,FU763164105.A,FU753192103.A,FU703194605.A,FU703196005.A,FU705000005.A,FV708090185.A,FV702010095.A,FV708090085.A,FU707005045.A,FR702010095.A,FR705013665.A,FR705013265.A,FR705013765.A,FR704090085.A,FR704022005.A,FR763092305.A,FR703064105.A,FR703064205.A,FR763092100.A,FR704190085.A,FR753192305.A,FR763164105.A,FR753192103.A,FR703194605.A,FR708200005.A,FC702090095.A,FL702000095.A,LM702010095.A,LM705013665.A,LM705013265.A,LM705013765.A,FL704090005.A,FL704000005.A,FL703025005.A,FL713113003.A,FL403197033.A,LM704022005.A,FL703069175.A,LM703061105.A,LM703061705.A,LM703062005.A,LM703063005.A,FL704035005.A,FL704041005.A,FL704042005.A,FL703065005.A,FL763092305.A,FL703081005.A,LM703064105.A,LM703064205.A,FL703092405.A,LM763092100.A,FL713164003.A,FL763040005.A,FL703096105.A,FL702100005.A,FL704194005.A,FL704100005.A,FL703127005.A,FL703130205.A,FL704122005.A,FL763163005.A,FL703169175.A,FL704135005.A,FL704141005.A,FL753192305.A,FL703181105.A,LM763164105.A,LM753192103.A,FL703194605.A,FL703196005.A,FL702090095.A
2001,195300,25811,169489,95600,80607,14993,5100,68789,61189,68789,357600,352600,2300,2700,365200,306500,60100,60100,0,-1400,0,61189,32200,3000,25989,25989,25989,25989,0,4809,30620,25811,21180,21180,390864,9933,2939,-1567,8561,163656,1071,-20314,90200,7700,84999,160310,-20632,180942,21423,3396,13395,2841,1415,376,0,35542,443472,396032,63130,332902,2490,5655,-3165,37439,35297,2142,51605,8168,4286,39151,-44094,-52609,-21049,-296,53036,73789,-3265,3217,-4931,-1551,-13679,0,-113,-1422,-939,-11205,-15696,0,3769,-19465,0,-1248,3692,8171738,265885,153466,100453,11966,7905853,90469,47330,17478,25661,1782954,1346,180415,1000647,124996,475550,5397249,2709156,2688093,2683526,4567,155080,20542,30967,33013,63185,7373,0,480100,8171738,8113900,5326672,757034,4569638,103068,98303,4765,1185040,1168189,16851,874200,117304,92597,664299,624920,57838
2002,216200,26375,189825,106500,89258,17242,5500,77825,69225,77825,312900,307900,1900,3100,321500,246200,75100,75000,100,200,0,69225,36500,3200,29525,29525,29525,29525,0,2325,28700,26375,27200,27200,638511,7500,488,5063,1949,212514,979,41169,166598,2473,1295,281608,-26429,308037,7414,1348,591,1679,2789,1007,0,129475,711859,312872,-49768,362640,-917,-756,-161,93243,92866,377,76747,5544,1729,69474,229914,-73348,24399,0,124948,100548,-1181,3608,-3471,-1318,-20861,-0,-1,-2736,-813,-17311,-28881,-357,-11222,-17302,0,6839,60764,8833707,271221,160677,97301,13243,8562486,97969,47818,22541,27610,1995468,2325,221584,1167245,127469,476845,5678858,2682729,2996129,2991303,4826,141634,19154,30745,34692,48663,8380,0,648557,8833707,8715105,5639543,707266,4932277,102151,97547,4604,1277927,1261056,16871,929016,118219,77024,733773,766468,118602
2003,235000,27147,207853,116000,99007,16993,5700,86153,57653,86153,284100,278300,1900,3900,312600,221100,90500,90400,100,1000,0,57653,38200,3400,16053,16053,16053,16053,0,2725,29872,27147,13328,13328,616917,-6455,133,517,-7105,177059,-1481,5310,120424,11847,40959,366613,58692,307921,1691,1358,-8572,1863,6575,467,0,78009,555467,383739,47125,336614,6230,6467,-237,18683,19157,-474,59239,9074,4642,45523,87576,61450,31593,0,-16530,-48122,-787,3417,-2707,-1496,20263,0,129,4692,1712,13730,40637,-47,12615,28069,0,-21160,26485,9458846,279012,167535,97251,14226,9179834,91514,47951,23058,20505,2172527,844,150894,1285669,139316,595804,6080100,2775921,3304179,3299289,4890,163459,25204,23885,36555,68968,8847,0,672234,9458846,9313759,6023282,754391,5268891,108381,104014,4367,1296563,1280213,16350,1028939,139908,109735,779296,856594,145087
2004,236200,28404,207796,119100,101572,17528,6200,82496,82096,82496,291400,283600,1800,6000,291800,224100,64400,64300,100,3300,0,82096,42000,3600,36496,36496,36496,36496,0,4622,33026,28404,31874,31874,987372,-7559,-6423,985,-2121,62576,-76,-27398,8954,8895,72201,686143,131590,554553,6910,-1422,-2537,1833,5969,3067,0,239302,986326,543835,47624,496211,12593,12867,-274,115269,110095,5174,210051,5615,12727,191709,104578,1046,-74511,-363,-43320,30828,6338,12731,-3124,-3269,40721,0,-232,2564,468,37921,42335,-174,4261,38248,0,4724,-33291,10443511,303006,187700,99734,15572,10140505,83955,41528,24043,18384,2255102,768,123496,1314623,148211,668004,6766012,2907512,3858500,3851657,6843,211322,26346,21816,38388,112858,11914,0,824114,10443511,10331715,6592548,802015,5790533,120974,116881,4093,1411658,1390308,21350,1270794,139079,160710,971005,935741,111796
2005,262100,29439,232661,128500,108410,20090,6600,97561,78761,97561,365600,363000,2300,300,384400,308400,72900,72800,100,3100,0,78761,54100,4000,20661,20661,20661,20661,0,1777,31216,29439,18884,18884,956459,4333,8553,-5000,780,201810,91,-7147,45181,18456,145229,704553,219589,484964,313,-863,-3329,2075,808,1622,0,45450,803000,572342,-25632,597974,13515,13506,9,127990,128715,-725,96443,8418,10080,77945,-7290,153459,126508,-707,-7360,-134575,8109,16041,-5021,-2912,16126,0,413,1525,-48,14236,-9822,1052,-1147,-9727,0,34057,181226,11419515,325709,210815,98185,16709,11093806,88288,50081,19043,19164,2456912,859,116349,1359804,166667,813233,7470978,3127101,4343877,4336880,6997,227348,27008,18439,40463,127902,13536,0,850280,11419515,11126493,7164890,776383,6388507,134489,130387,4102,1542300,1520623,21677,1356363,146350,161063,1048950,928451,293022
2006,291500,30352,261148,133800,113621,20179,6900,120448,78248,120448,450500,440100,2800,7600,492700,395100,93200,93100,100,4400,0,78248,53300,4200,20748,20748,20748,20748,0,6545,36897,30352,14203,14203,935482,1095,1631,-344,-192,157579,119,528,19565,25053,112314,775402,383127,392275,4802,-385,3156,-67,309,1789,8212,-11608,872278,610550,-43473,654023,29360,29556,-196,105477,103596,1881,156935,10165,11914,134856,-30044,63204,35155,0,-13846,-49001,10247,14829,-2784,-1799,18281,0,355,3912,840,13174,-20181,299,-29978,9498,0,48709,104612,12367488,351862,234783,99468,17611,12015626,89383,51712,18699,18972,2607353,978,112557,1377503,191433,924882,8213143,3475443,4737700,4732324,5376,239848,30535,22435,40396,131157,15325,93392,772507,12367488,11969854,7775440,732910,7042530,160823,159943,880,1648076,1624219,23857,1484082,126537,173775,1183770,901433,397634
2007,302500,31040,271460,139800,118733,21067,7300,124360,64360,124360,489600,477700,3100,8800,549600,439600,107100,107000,100,2900,0,64360,40100,4400,19860,19860,19860,19860,0,4257,35297,31040,15603,15603,1087933,7019,3285,1813,1921,145945,-552,10366,-116429,12571,239989,844958,548100,296858,48044,1434,4294,7620,31571,3125,10899,31068,1044170,505167,18908,486259,24741,24820,-79,284354,292125,-7771,171221,7527,6966,156728,58687,43763,109894,0,81734,-28160,-3769,5769,-6363,-3174,28527,0,854,1656,-670,26687,-84573,1263,-62791,-23045,0,109332,239085,13526898,365707,250533,97290,17884,13161191,96402,54997,20512,20893,2753298,426,122923,1261074,204004,1164871,9036823,4010543,5026280,5018851,7429,331677,33625,26059,48016,205527,18450,104291,838700,13526898,12890179,8280607,740818,7539789,185564,184763,801,1933693,1916344,17349,1530195,71273,118424,1340498,960120,636719
2008,295700,31648,264052,132900,111709,21191,7800,123352,132452,123352,409000,395000,2800,11200,399900,347200,50800,50600,200,1900,0,132452,15200,4600,112652,112652,155452,112652,-42800,4611,36259,31648,150841,150841,1116578,768601,2728,771270,-5397,111304,15259,-20578,143046,20412,-46835,182398,133954,48444,15414,851,1214,-6237,16960,2626,6449,32412,979612,701162,140163,560999,83,53,30,345646,350224,-4578,73939,12104,29330,32505,-141218,136966,311311,-254,325440,13875,5833,11455,-2766,-2856,-124825,0,906,-12283,-2272,-111176,-70673,631,-20501,-50803,0,-48319,418444,14812169,388225,272262,97542,18421,14423944,865003,57725,791782,15496,2867431,15685,102345,1404120,224416,1120865,9177104,4144186,5032918,5023982,8936,260184,22193,25001,41779,150135,21076,110740,1143482,14812169,13757006,8981769,880981,8100788,185315,184816,499,2279970,2266568,13402,1491050,62876,55171,1373003,818902,1055163
2009,282500,32139,250361,147300,125331,21969,8700,94361,179261,94361,397000,380600,1900,14500,312100,263700,47300,47100,200,1100,0,179261,2000,4700,172561,172561,190561,172561,-18000,410,32549,32139,190151,190151,-657228,158513,-2803,160915,401,105676,-15685,94862,173393,3385,-150279,-949507,-780908,-168599,-94,6280,-5522,323,-5739,4564,756,27428,-400771,394603,109692,284911,-28345,-28472,127,-868533,-875561,7028,115543,11639,9559,94345,-14039,-256457,-779954,0,-333346,446608,-23115,-14312,-5554,-3249,55750,0,104,5653,2833,47160,-17502,-170,-32518,15186,0,50137,-539256,13905170,373899,261156,93486,19257,13531271,1023516,54922,952697,15897,2970701,0,197207,1584425,227801,961268,8167637,3369078,4798559,4784550,14009,379360,34126,22312,42102,255180,25640,111496,878561,13905170,13389263,9376356,990671,8385685,176970,176344,626,1411267,1391007,20260,1638458,41997,105764,1490697,786212,515907
2010,266900,31824,235076,151000,128286,22714,8800,75276,177676,75276,385400,362400,2100,20900,283000,226100,54100,53900,200,2800,0,177676,18200,4800,154676,154676,154676,154676,0,-3922,27902,31824,158598,158598,-214225,7990,-2200,11686,-1496,119762,0,102429,133935,29339,-145941,-281255,-111808,-169447,-5090,-1723,-6035,-3220,5004,884,4489,-60121,-54731,212244,81308,130936,113870,-55495,169365,-238436,-239005,569,13715,11911,11798,-9994,-156124,-159494,-348830,0,-30738,318092,-6234,-813,-2899,-2522,14620,0,367,2707,-651,12197,18849,435,9150,9264,0,-10463,-204617,14024904,370837,259463,91731,19643,13654067,1031506,52722,964383,14401,3070721,0,299636,1718062,257140,795883,8265148,3664371,4600777,4588731,12046,411075,35110,15626,38882,294933,26524,115985,759632,14024904,13713614,9584474,1071976,8512498,673269,370734,302535,1173266,1152002,21264,1669643,63058,125882,1480703,612962,311290
